	KRAS	HRAS	BRAF	RAF1	MAP3K1	MAP3K2	MAP3K3	MAP3K4	MAP3K5	MAP2K1	MAP2K2	MAP2K3	MAP2K4	MAP2K5	MAPK1	MAPK3	MAPK4	MAPK6	MAPK7	MAPK8	MAPK9	MAPK12	MAPK14	DAB2	RASSF1	RAB25
TCGA-18-3406-01	-0.61375	-0.042833333	0.22325	-0.543	1.8155	1.5795	-1.085	0.315	2.06475	-0.6215	-0.088	-0.04175	-0.019	-1.4925	0.047625	-0.578833333	-2.77875	0.467166667	-0.5845	0.1875	0.374	-0.603666667	0.9445	-0.838	-0.554333333	2.189166667
TCGA-18-3407-01	-0.183583333	1.242166667	-0.01325	0.05825	1.1145	1.5195	-1.079833333	0.10075	2.48875	-0.39725	1.4525	0.56075	0.134875	-0.6935	-0.30525	-0.378333333	-3.63725	0.815666667	-0.554166667	0.27	-0.08	-0.8545	0.5545	0.057375	-0.757166667	2.075166667
TCGA-18-3408-01	1.118916667	0.068666667	0.21225	-0.76575	0.4625	1.3702	-1.589666667	0.0225	1.9595	-0.507125	-0.097	0.521333333	0.734625	-0.702833333	0.647875	-0.300333333	-3.11025	0.1075	-0.216166667	-0.3265	-0.15925	1.245666667	0.121083333	-0.461375	-0.693083333	2.4145
TCGA-18-3409-01	0.424416667	-0.319	-0.01625	0.14375	1.0915	1.6242	-1.4735	-0.04025	0.92525	-0.196625	-0.677833333	0.40525	0.969125	-0.586666667	-0.0515	-0.597166667	-1.5	0.371666667	-0.303666667	0	-0.326	-1.280166667	-0.01575	0.87575	-0.461833333	1.1555
TCGA-18-3410-01	0.425	0.478	0.81375	-0.2245	-0.5905	1.1962	-1.719833333	0.25825	1.97975	0.003	0.581333333	-0.467666667	-0.234	-0.243833333	-0.087875	-1.2905	-1.96975	0.778666667	-0.441166667	1.058	-0.94375	-1.335	-0.001416667	-0.723125	-0.346916667	2.007
TCGA-18-3411-01	0.006916667	0.544666667	1.431	-0.86125	0.379	0.7195	-1.811833333	-1.06275	1.115	-0.563625	-0.305833333	0.691583333	-0.221375	-0.831	0.623875	-0.883833333	-3.471	0.317	-0.031	-0.3755	-1.2665	0.701833333	0.5825	0.665625	-0.780666667	2.169333333
TCGA-18-3412-01	0.305583333	0.351333333	1.15375	-0.64125	0.1325	0.86	-1.491833333	-0.44375	0.962	-0.4995	-0.116333333	0.217583333	0.062625	-1.114166667	0.342	-0.231666667	-3.39725	0.555166667	-0.694833333	-0.2535	0.0925	0.522333333	0.468916667	-0.547125	-0.718916667	2.548166667
TCGA-18-3414-01	0.25725	-0.192333333	1.28675	0.1405	-0.284	1.0057	-1.249666667	-0.20225	2.4885	0.024	-0.444833333	-0.088083333	-0.109125	-0.757666667	0.307875	-0.668833333	-2.92975	0.495833333	-0.7745	0.1235	-0.397	-0.428833333	-0.293166667	0.245625	-0.43575	2.75
TCGA-18-3415-01	-0.06925	0.870833333	1.159	-0.489	0.861	1.4094	-1.571833333	-0.65075	1.024	-0.3505	0.112	0.088083333	0.1725	-0.951833333	0.757375	-0.3515	-3.032	1.551	-0.541333333	-0.1225	0.14775	0.632833333	0.649666667	-0.195375	-0.143833333	2.637166667
TCGA-18-3416-01	-0.529916667	-0.285166667	0.55925	-0.414	-0.8615	1.2277	-1.078333333	0.585	3.006	-0.423375	-1.436666667	0.291166667	0.877125	-1.3885	0.235125	-1.753	-4.82725	-0.028833333	-0.890166667	-0.962	1.01275	-1.889333333	-0.414166667	0.61525	-0.53325	1.0245
TCGA-18-3417-01	-0.585833333	0.175166667	0.74575	-1.06225	-2.654	0.4024	-1.184833333	0.10275	1.906	-0.200125	-0.500166667	0.575583333	-0.210875	-2.5815	-0.271625	-0.460333333	-2.43075	-0.168166667	-0.275833333	0.478	-0.19725	-0.416833333	-0.308583333	1.549375	-0.69575	2.327333333
TCGA-18-3419-01	0.404583333	0.2385	1.0705	0.246	0.877	1.709	-0.748833333	-0.55125	1.138	0.403625	-0.016833333	-0.022583333	0.0385	-0.060333333	0.767375	-0.293833333	-3.97275	1.309666667	-1.178	0.4055	0.279	0.185666667	0.69975	-0.7775	-0.19125	2.1005
TCGA-18-3421-01	-0.471166667	0.811666667	0.408	-0.82575	0.1175	0.6155	-1.466	-0.1055	0.84725	-0.199875	-0.073666667	-0.274	-0.380625	-0.246833333	-0.129	-0.583166667	-2.63275	1.248333333	-0.840666667	-0.499	-0.3735	0.238666667	-0.383583333	-0.396875	-0.418333333	2.662166667
TCGA-18-4083-01	0.740333333	0.8795	0.85725	-0.17225	-0.222	0.478	-0.772666667	-0.45575	1.35775	-0.224875	-0.329833333	0.10225	0.159875	-0.686166667	-1.01025	-1.091833333	0.854	-0.531166667	-0.108333333	0.0005	-1.692	-1.323166667	-0.636083333	-0.445875	-0.704083333	1.1285
TCGA-18-4086-01	0.83575	1.017833333	-0.36875	-0.683	-0.104	0.3394	-1.009833333	-0.42625	1.73075	0.016375	-0.194	-0.542166667	0.822625	-1.513833333	-0.26125	-0.950166667	-3.04025	0.263833333	-0.700833333	-0.0095	-0.69425	-0.143166667	-0.091	-0.319	-0.873166667	1.7195
TCGA-18-4721-01																										
TCGA-18-5592-01																										
TCGA-18-5595-01																										
