	KRAS	HRAS	BRAF	RAF1	MAP3K1	MAP3K2	MAP3K3	MAP3K4	MAP3K5	MAP2K1	MAP2K2	MAP2K3	MAP2K4	MAP2K5	MAPK1	MAPK3	MAPK4	MAPK6	MAPK7	MAPK8	MAPK9	MAPK12	MAPK14	DAB2	RASSF1	RAB25
TCGA-18-3406-01	-0.424	-0.2	-0.453	-0.467	0.043	-0.068	0.464	0.493	0.511	-0.384	-0.036	-0.485	-0.485	-0.384	-0.03	0.038	0	-0.384	-0.485	-0.231	-0.003	-0.014	0.462	0.043	-0.452	0.09
TCGA-18-3407-01	-0.293	0.165	0.184	-0.303	-0.002	0.174	0.188	-0.082	-0.082	-0.083	1.784	-0.373	-0.373	-0.083	-0.157	0	0.189	-0.083	-0.373	0.135	-0.002	-0.157	-0.082	-0.002	-0.303	-0.085
TCGA-18-3408-01	0.015	-0.771	-0.109	-0.758	-0.753	0.039	0.023	-0.138	-0.138	-0.493	-0.014	0.023	0.023	-0.493	0.929	0.024	0.038	-0.493	0.023	-0.054	-0.753	0.929	-0.138	0.034	-0.758	0.5
TCGA-18-3409-01	-0.012	-0.178	0.11	-0.311	-0.258	0.135	-0.014	0.045	0.045	0.017	-0.219	-0.014	-0.014	0.017	0.402	-0.041	0.06	-0.015	-0.014	-0.062	-0.258	0.463	0.249	-0.258	-0.306	-0.047
TCGA-18-3410-01	0.47	-0.57	-0.016	-0.522	-0.524	0.006	0.304	1.471	-0.004	0.534	0.844	-0.556	-0.584	0.534	-0.056	-0.551	0.006	0.534	0.516	-0.032	-0.527	-0.056	-0.004	0.515	-0.522	-0.004
TCGA-18-3411-01	0	-0.075	0.408	-0.369	-0.063	0.258	0.257	-0.35	-0.35	-0.07	-0.473	2.002	-0.462	-0.07	0.791	-0.08	0.226	-0.07	2.087	-0.393	-0.738	0.122	0.622	0.583	-0.369	0.833
TCGA-18-3412-01	0.969	-0.229	0.776	-0.499	0.974	0.496	0.926	0.444	-0.175	-0.249	-0.619	-0.259	-0.29	-0.249	0.336	0.476	-0.512	-0.249	-0.259	-0.275	-0.157	0.329	-0.131	0.974	-0.499	0
TCGA-18-3414-01	0.006	-0.789	0.185	-0.031	-0.794	-0.07	0.076	-0.035	-0.034	0.195	-0.039	-0.773	-0.826	0.195	0.719	-0.043	-0.246	0.195	-0.773	-0.007	-0.7	0.738	-0.034	2.837	-0.792	0.775
TCGA-18-3415-01	0.031	0.022	0.067	-0.363	-0.345	-0.012	0.762	-0.373	-0.339	0.017	-0.065	-0.369	-0.369	0.017	0.095	0.378	0.045	0.394	-0.369	0.043	-0.369	0.089	0.063	0.334	-0.35	1.079
TCGA-18-3416-01	0.025	-0.38	0.108	-0.374	-0.407	-0.002	0.734	0.377	0.377	-0.379	-0.011	-0.382	-0.382	-0.379	0.063	0.376	-0.378	-0.379	-0.382	0.381	-0.403	0.104	-0.422	-0.038	-0.39	0.387
