	Gold	Silver	Bronze	Total
ALB	0	0	2	2
ARG	1	1	1	3
ARM	0	3	1	4
AUS	18	19	16	53
AUT	2	0	3	5
AZE	2	2	3	7
BEL	3	1	6	10
BGR	3	1	3	7
BHR	2	1	1	4
BRA	3	7	10	20
BWA	1	1	0	2
CAN	9	7	11	27
CHE	1	2	5	8
CHL	1	1	0	2
CHN	40	27	24	91
CIV	0	0	1	1
COL	0	3	1	4
CPV	0	0	1	1
CUB	2	1	6	9
CYP	0	1	0	1
CZE	3	0	2	5
DEU	12	13	8	33
DMA	1	0	0	1
DNK	2	2	5	9
DOM	1	0	2	3
DZA	2	0	1	3
ECU	1	2	2	5
EGY	1	1	1	3
-99	0	0	1	1
ESP	5	4	9	18
ETH	1	3	0	4
FJI	0	1	0	1
FRA	16	26	22	64
GBR	14	22	29	65
GEO	3	3	1	7
GRC	1	1	6	8
GRD	0	0	2	2
GTM	1	0	1	2
HKG	2	0	2	4
HRV	2	2	3	7
HUN	6	7	6	19
IDN	2	0	0	2
IND	0	1	5	6
IRL	4	0	3	7
IRN	3	6	3	12
ISR	1	5	1	7
ITA	12	13	15	40
JAM	1	3	2	6
JOR	0	1	0	1
JPN	20	12	13	45
KAZ	1	3	3	7
KEN	4	2	5	11
KGZ	0	2	4	6
KOR	13	9	10	32
KSV	0	1	1	2
LCA	1	1	0	2
LTU	0	2	2	4
MAR	1	0	1	2
MDA	0	1	3	4
MEX	0	3	2	5
MNG	0	1	0	1
MYS	0	0	2	2
NLD	15	7	12	34
NOR	4	1	3	8
NZL	10	7	3	20
PAK	1	0	0	1
PAN	0	1	0	1
PER	0	0	1	1
PHL	2	0	2	4
POL	1	4	5	10
PRI	0	0	2	2
PRK	0	2	4	6
PRT	1	2	1	4
QAT	0	0	1	1
ROU	3	4	2	9
RUS	1	3	1	5
SGP	0	0	1	1
SRB	3	1	1	5
SVK	0	0	1	1
SVN	2	1	0	3
SWE	4	4	3	11
THA	1	3	2	6
TJK	0	0	3	3
TWN	2	0	5	7
TUN	1	1	1	3
TUR	0	3	5	8
UGA	1	1	0	2
UKR	3	5	4	12
USA	40	44	42	126
UZB	8	2	3	13
ZAF	1	3	2	6
ZMB	0	0	1	1
