	Category	Latitude	Longitude	Month	No_of_days_last	Year
R1	mild	-17	118.5	Jan	3	1940
R2	moderate	-14	156	Feb	9	1940
R3	mild	-22.3	162.2	Feb	2	1940
R4	mild	-13	151.9	Mar	5	1940
R5	mild	-17	158	Mar	3	1940
R6	mild	-14	152	Mar	8	1940
R7	mild	-13	155	Apr	7	1940
R8	severe	-16	118.9	Feb	6	1941
R9	mild	-12.6	150.2	Apr	3	1941
R10	mild	-16.8	148.1	May	2	1941
R11	mild	-16.5	119.7	Jan	2	1942
R12	mild	-16	116	Jan	3	1942
R13	mild	-15	157	Feb	2	1942
R14	mild	-17.2	127.2	Feb	4	1942
R15	mild	-17.2	149.4	Feb	6	1942
R16	mild	-22.6	158.2	Mar	3	1942
R17	moderate	-18.3	118	Dec	2	1942
R18	mild	-18	119	Dec	2	1942
R19	moderate	-14	148	Jan	6	1943
R20	mild	-13.8	154.1	Jan	4	1943
R21	mild	-14.6	150.3	Feb	4	1943
R22	mild	-18.5	117	Feb	3	1943
R23	mild	-16.5	118	Feb	9	1943
R24	moderate	-15.5	129.5	Mar	6	1943
R25	mild	-20	109.5	Mar	1	1943
R26	mild	-18.1	118.7	Apr	1	1943
R27	mild	-12.8	146.6	Dec	2	1943
R28	mild	-16.5	124	Jan	1	1944
R29	moderate	-13	131.3	Mar	12	1944
R30	mild	-17	153	Mar	4	1944
R31	mild	-15	153	Mar	4	1944
R32	severe	-13.2	126.8	Jan	9	1945
R33	mild	-14	149	Feb	2	1945
R34	severe	-14.4	120.4	Mar	7	1945
R35	mild	-15.2	141.9	Mar	4	1945
R36	mild	-13.8	151.2	Mar	6	1945
R37	mild	-19	114	Mar	1	1945
R38	mild	-11.5	104	Apr	3	1945
R39	mild	-14.7	125	Dec	5	1945
R40	mild	-15	148	Jan	4	1946
R41	mild	-17.9	123	Jan	2	1946
R42	mild	-12.7	150.4	Feb	5	1946
R43	mild	-19.7	119.5	Feb	5	1946
R44	mild	-14.1	152.8	Mar	10	1946
R45	mild	-19	113.5	Mar	1	1946
R46	mild	-16	162.2	Mar	6	1946
R47	mild	-15	155	Apr	4	1946
R48	mild	-14	120	Dec	2	1946
R49	mild	-16.1	147.9	Jan	5	1947
R50	mild	-14	159.9	Jan	4	1947
R51	mild	-12.6	146.9	Feb	13	1947
R52	moderate	-15.2	121.7	Feb	3	1947
R53	moderate	-16	118.2	Mar	4	1947
R54	mild	-14	122	Mar	2	1947
R55	mild	-18.9	105	Mar	1	1947
R56	moderate	-16	119	Dec	3	1947
R57	mild	-10.4	141.5	Jan	2	1948
R58	mild	-15	140	Jan	5	1948
R59	mild	-20	157.2	Jan	6	1948
R60	mild	-17.3	164.3	Jan	4	1948
R61	severe	-14	118.2	Feb	5	1948
R62	mild	-12.8	134.3	Feb	5	1948
R63	mild	-14.8	125.2	Mar	3	1948
R64	mild	-10.7	156	Mar	6	1948
R65	mild	-15	123.5	Apr	5	1948
R66	mild	-22.8	153	Apr	3	1948
R67	mild	-12	131	Nov	2	1948
R68	mild	-12	130.8	Dec	3	1948
R69	mild	-13.6	142	Jan	4	1949
R70	mild	-20	114	Jan	2	1949
R71	mild	-14	152	Feb	9	1949
R72	mild	-19.8	109	Feb	2	1949
R73	mild	-14	156	Feb	8	1949
R74	moderate	-14.5	122	Mar	8	1949
R75	mild	-14.4	157.4	Mar	4	1949
R76	mild	-14	146.9	Jan	4	1950
R77	mild	-16	139	Jan	5	1950
R78	mild	-12.3	129	Jan	6	1950
R79	mild	-15.6	153.3	Feb	5	1950
R80	moderate	-19.5	113.5	Feb	3	1950
R81	mild	-13	146.4	Mar	7	1950
R82	mild	-12	134.5	Dec	6	1950
R83	mild	-16.2	140	Jan	15	1951
R84	mild	-24.7	151.7	Jan	5	1951
R85	mild	-14	100	Feb	2	1951
R86	mild	-11	99	Feb	4	1951
R87	mild	-16	122.5	Feb	4	1951
R88	mild	-15	121	Feb	8	1951
R89	mild	-12.5	145.5	Mar	9	1951
R90	mild	-7.4	158.8	Mar	8	1951
R91	mild	-12.5	112	Jan	5	1952
R92	mild	-11.4	139.4	Jan	3	1952
R93	mild	-11	159	Jan	1	1952
R94	mild	-11	95	Jan	2	1952
R95	mild	-18.5	113.7	Feb	2	1952
R96	mild	-15	153	Mar	10	1952
R97	mild	-17	96	Apr	1	1952
R98	severe	-9.1	155.5	Apr	6	1952
R99	mild	-15.7	150	Oct	2	1952
R100	mild	-17.4	158	Dec	1	1952
R101	mild	-17	122	Jan	2	1953
R102	mild	-15.4	140	Jan	2	1953
R103	mild	-8.5	100	Jan	3	1953
R104	mild	-17.4	158.7	Feb	3	1953
R105	moderate	-14.9	120	Mar	5	1953
R106	mild	-23.2	153	Mar	1	1953
R107	mild	-10.4	192.6	Apr	8	1953
R108	mild	-13	142	Jan	5	1954
R109	mild	-15.9	163.8	Jan	6	1954
R110	mild	-14	149	Feb	4	1954
R111	moderate	-16	165	Feb	4	1954
R112	mild	-18.3	151	Mar	4	1954
R113	mild	-8.9	133	Apr	2	1954
R114	mild	-12.2	155	Dec	3	1954
R115	severe	-14	119.3	Dec	2	1954
R116	moderate	-16.2	118	Jan	4	1955
R117	mild	-15.5	109.5	Feb	2	1955
R118	moderate	-14.3	132	Feb	5	1955
R119	mild	-11.7	94.6	Feb	3	1955
R120	moderate	-18	169	Mar	17	1955
R121	mild	-11	164	Mar	15	1955
R122	mild	-11.5	124	Nov	6	1955
R123	mild	-20.4	166.5	Dec	10	1955
R124	mild	-16.5	118.2	Dec	2	1955
R125	moderate	-15	140	Jan	12	1956
R126	moderate	-14.6	122.7	Jan	4	1956
R127	mild	-10	121.6	Jan	7	1956
R128	mild	-13	132.3	Feb	2	1956
R129	moderate	-15.2	123.4	Feb	17	1956
R130	moderate	-17	175	Feb	13	1956
R131	mild	-24.6	165.3	Mar	2	1956
R132	mild	-11.5	138	Mar	2	1956
R133	mild	-14	154	Apr	6	1956
R134	mild	-19.6	105.9	Apr	1	1956
R135	mild	-24.7	104	Aug	1	1956
R136	mild	-9.8	97.4	Oct	3	1956
R137	mild	-12	156	Nov	3	1956
R138	mild	-15	134	Dec	3	1956
R139	mild	-26.3	153.5	Dec	2	1956
R140	mild	-19.6	155.5	Jan	2	1957
R141	mild	-21	151	Jan	2	1957
R142	mild	-11.3	161.5	Jan	7	1957
R143	mild	-14.7	120.7	Jan	3	1957
R144	severe	-9	99	Jan	14	1957
R145	severe	-12.2	140.2	Feb	18	1957
R146	moderate	-14.3	122.3	Feb	6	1957
R147	mild	-11	134	Mar	9	1957
R148	mild	-17	110	Mar	2	1957
R149	mild	-10	135	Apr	4	1957
R150	mild	-16.3	119.4	Dec	3	1957
R151	mild	-11	137	Jan	5	1958
R152	mild	-14.2	121.5	Jan	6	1958
R153	mild	-8	101	Feb	7	1958
R154	mild	-8	93.4	Feb	6	1958
R155	mild	-13	139	Feb	12	1958
R156	mild	-14.3	106.5	Feb	3	1958
R157	mild	-8.2	94.9	Mar	2	1958
R158	moderate	-16	117	Mar	4	1958
R159	mild	-12.6	174.5	Mar	8	1958
R160	severe	-19	115	Mar	2	1958
R161	moderate	-17.4	151	Apr	1	1958
R162	mild	-10	159	Apr	5	1958
R163	mild	-12.5	153	Apr	4	1958
R164	mild	-10.3	139	Apr	6	1958
R165	mild	-12	161	June	8	1958
R166	mild	-28.2	155	June	4	1958
R167	mild	-9	99	Nov	5	1958
R168	mild	-12.9	107.5	Dec	1	1958
R169	mild	-13.9	123.8	Jan	18	1959
R170	mild	-14	165	Jan	5	1959
R171	mild	-10	96	Feb	4	1959
R172	mild	-8.3	99	Feb	4	1959
R173	severe	-17	157	Feb	6	1959
R174	mild	-13	108	Mar	6	1959
R175	mild	-11.5	164.5	Mar	6	1959
R176	mild	-14	107	Mar	6	1959
R177	mild	-10	135	Apr	10	1959
R178	mild	-6	156	Dec	8	1959
R179	mild	-12.2	132	Dec	7	1959
R180	mild	-14	124	Jan	6	1960
R181	moderate	-16.7	155.3	Feb	5	1960
R182	mild	-13.5	154.5	Mar	6	1960
R183	moderate	-12.4	149	Mar	13	1960
R184	mild	-13.7	155	Apr	5	1960
R185	mild	-9	129	Apr	7	1960
R186	moderate	-8	130.9	Dec	10	1960
R187	mild	-7	96	Dec	5	1960
R188	mild	-18.6	146.5	Jan	4	1961
R189	severe	-10	135	Jan	13	1961
R190	mild	-14.3	161	Jan	5	1961
R191	mild	-15	117	Feb	4	1961
R192	mild	-9	99	Feb	5	1961
R193	moderate	-12	116	Feb	10	1961
R194	mild	-13	95	Feb	9	1961
R195	severe	-11	129	Feb	8	1961
R196	mild	-11	136.5	Mar	6	1961
R197	mild	-14	162	Mar	6	1961
R198	mild	-5	98	July	6	1961
R199	mild	-11.3	156.5	Nov	2	1961
R200	mild	-16.7	148.7	Dec	3	1961
R201	mild	-15	118	Jan	5	1962
R202	mild	-12	122.6	Jan	11	1962
R203	mild	-13.3	129.7	Jan	14	1962
R204	mild	-19	118.7	Feb	8	1962
R205	mild	-13	140	Feb	3	1962
R206	mild	-15	101	Mar	4	1962
R207	mild	-16.5	150.5	Dec	2	1962
R208	mild	-17.7	150	Dec	2	1962
R209	mild	-12	117	Jan	7	1963
R210	mild	-13.3	149	Jan	2	1963
R211	mild	-13	124	Jan	11	1963
R212	mild	-15.5	154.4	Jan	2	1963
R213	mild	-11	101	Jan	3	1963
R214	mild	-19	149	Jan	1	1963
R215	mild	-9	89	Jan	4	1963
R216	mild	-16	151.5	Feb	3	1963
R217	severe	-18	119	Feb	6	1963
R218	mild	-18	123	Feb	5	1963
R219	moderate	-15	159	Feb	4	1963
R220	mild	-13	127.5	Feb	4	1963
R221	mild	-14.2	159	Mar	1	1963
R222	mild	-25.3	153.7	Mar	2	1963
R223	mild	-10	101	Mar	9	1963
R224	mild	-15	153.5	Mar	3	1963
R225	mild	-12	139	Mar	1	1963
R226	mild	-10	137	Mar	4	1963
R227	mild	-22	153	Mar	4	1963
R228	mild	-11	137.3	Apr	4	1963
R229	mild	-12	154	Apr	5	1963
