	No Preventive Actions	Physical Distancing	Stay Home Sick
111		92.7	68.7
112	2.4	90.6	64.5
113		91.7	70
114		91.7	60.6
115		92.2	71.3
116		89.9	63
121		94.4	58.5
122	1.8	92.2	69
123	3.2	90.3	65.8
124		93.3	58.1
125	0.9	90.6	67.4
126		90.6	63
127		85.4	53
131	3	91.4	59.5
132	1.2	93.4	64
133		90.4	65.8
134		90.6	58
135		88.7	62.4
136	1.6	90.9	64.5
137	1.7	90.9	65.3
138		94.4	68.4
139		90	65.3
141		88.8	67.9
142	2.2	91	60.9
143	1.8	91.3	66.2
144		92.4	62.2
145		87.5	54
146	3	86.8	63.5
147			
148			
149			
211		92.9	69.8
212	1.7	91.1	63.6
213	1	92.1	66.6
214	1.2	88.9	67.5
215		91.7	67.2
221	0.6	94.5	70.1
222	0.5	94	65.5
223	0.8	94.8	68.3
224	0.9	94	66.7
231	1.2	92.9	66
232	0.5	92.9	65.4
233	0.8	92.9	67.3
234	0.5	94.1	67.1
311	0.4	92.8	64.3
321	0.3	95.5	69.5
322	0.4	95.9	71.1
323		91.3	67.9
324	0.5	95.4	69.1
325		94.3	71.4
326		92.2	66.6
331	0.4	95.3	69
332	0.7	93.7	65.7
333	0.7	95.3	67.2
334	1.7	90.3	63.2
335	1.1	92.7	67.8
336			
337			
411	0.6	94.6	69.2
412	0.8	94.9	68.6
413	0.7	95.4	67.5
414		95.7	67
421	1.1	93.4	65.9
422		93.3	59.5
423	1.2	94.6	64.3
424	0.9	94.8	67.1
425	0.5	95.2	65.6
426	0.6	92.7	67.6
431	1.8	94.3	66.5
432	0.8	93.9	65.9
433			
434			
510			
511		72.9	
512			
513			
514	4.2	86.7	63.5
515		92.5	66.9
516			
517			
518			
519			
521	2.5	87.6	66.2
522			
523			
524	2	90.2	65
531	5.8	81	59.5
532	7.9	79.3	59.5
533			
