	genre
1	Action
2	Adventure
3	Comedy
4	Drama
5	Action
6	Adventure
7	Comedy
8	Drama
9	Action
10	Adventure
11	Comedy
12	Drama
13	Action
14	Adventure
15	Comedy
16	Action
17	Adventure
18	Comedy
19	Drama
20	Action
21	Comedy
22	Drama
23	Action
24	Adventure
25	Comedy
26	Drama
27	Action
28	Comedy
29	Drama
30	Action
31	Adventure
32	Comedy
33	Drama
34	Action
35	Adventure
36	Animation
37	Comedy
38	Drama
39	Action
40	Comedy
41	Drama
42	Action
43	Animation
44	Comedy
45	Drama
46	Action
47	Adventure
48	Animation
49	Comedy
50	Action
51	Adventure
52	Comedy
53	Drama
54	Action
55	Adventure
56	Animation
57	Comedy
58	Drama
59	Action
60	Adventure
61	Animation
62	Comedy
63	Drama
64	Action
65	Comedy
66	Drama
67	Action
68	Animation
69	Comedy
70	Drama
71	Action
72	Adventure
73	Animation
74	Comedy
75	Action
76	Adventure
77	Animation
78	Comedy
79	Action
80	Comedy
81	Drama
82	Action
83	Animation
84	Comedy
85	Drama
86	Action
87	Animation
88	Comedy
89	Drama
90	Action
91	Adventure
92	Animation
93	Comedy
94	Drama
95	Action
96	Adventure
97	Animation
98	Action
99	Adventure
100	Animation
101	Comedy
102	Drama
103	Action
104	Adventure
105	Animation
106	Comedy
107	Action
108	Adventure
109	Animation
110	Comedy
111	Drama
112	Action
113	Adventure
114	Animation
115	Comedy
116	Action
117	Adventure
118	Animation
119	Action
120	Adventure
121	Animation
122	Action
123	Animation
124	Comedy
125	Action
126	Adventure
127	Animation
128	Comedy
129	Action
130	Adventure
131	Animation
132	Action
133	Adventure
134	Animation
135	Comedy
136	Action
137	Adventure
138	Animation
139	Action
140	Adventure
141	Animation
142	Drama
143	Action
144	Adventure
145	Action
146	Animation
147	Action
148	Adventure
149	Animation
150	Action
151	Animation
152	Action
153	Adventure
154	Animation
155	Action
156	Adventure
157	Animation
