id1	id2	value
Id0	Id1	1
Id0	Id2	1
Id0	Id9	1
Id0	Id11	1
Id1	Id78	1
Id2	Id3	1
Id3	Id4	1
Id4	Id5	1
Id5	Id6	1
Id6	Id10	1
Id7	Id8	1
Id7	Id11	1
Id8	Id12	1
Id9	Id18	1
Id10	Id35	1
Id12	Id13	1
Id12	Id14	1
Id12	Id15	1
Id12	Id16	1
Id12	Id17	1
Id12	Id19	1
Id12	Id20	1
Id12	Id21	1
Id12	Id23	1
Id12	Id25	1
Id12	Id26	1
Id12	Id28	1
Id12	Id29	1
Id12	Id31	1
Id13	Id24	1
Id14	Id45	1
Id15	Id22	1
Id16	Id49	1
Id18	Id30	1
Id19	Id39	1
Id20	Id40	1
Id21	Id50	1
Id22	Id27	1
Id23	Id63	1
Id24	Id72	1
Id26	Id60	1
Id27	Id68	1
Id29	Id59	1
Id31	Id32	1
Id31	Id33	1
Id31	Id34	1
Id31	Id36	1
Id31	Id37	1
Id31	Id38	1
Id32	Id58	1
Id33	Id75	1
Id34	Id41	1
Id35	Id48	1
Id36	Id76	1
Id37	Id42	1
Id38	Id44	1
Id38	Id46	1
Id38	Id47	1
Id39	Id43	1
Id40	Id57	1
Id41	Id67	1
Id42	Id74	1
Id43	Id51	1
Id48	Id52	1
Id48	Id53	1
Id48	Id54	1
Id48	Id55	1
Id48	Id56	1
Id48	Id61	1
Id48	Id62	1
Id62	Id64	1
Id62	Id65	1
Id62	Id66	1
Id62	Id69	1
Id69	Id70	1
Id69	Id71	1
Id69	Id73	1
Id69	Id77	1
Id78	Id79	1
