axis	gap	leftId	rightId
y	25	Id0	Id1
y	25	Id0	Id2
y	25	Id0	Id9
y	25	Id0	Id11
y	25	Id1	Id78
y	25	Id2	Id3
y	25	Id3	Id4
y	25	Id4	Id5
y	25	Id5	Id6
y	25	Id6	Id10
y	25	Id7	Id8
y	25	Id7	Id11
y	25	Id8	Id12
y	25	Id9	Id18
y	25	Id10	Id35
y	25	Id12	Id13
y	25	Id12	Id14
y	25	Id12	Id15
y	25	Id12	Id16
y	25	Id12	Id17
y	25	Id12	Id19
y	25	Id12	Id20
y	25	Id12	Id21
y	25	Id12	Id23
y	25	Id12	Id25
y	25	Id12	Id26
y	25	Id12	Id28
y	25	Id12	Id29
y	25	Id12	Id31
y	25	Id13	Id24
y	25	Id14	Id45
y	25	Id15	Id22
y	25	Id16	Id49
y	25	Id18	Id30
y	25	Id19	Id39
y	25	Id20	Id40
y	25	Id21	Id50
y	25	Id22	Id27
y	25	Id23	Id63
y	25	Id24	Id72
y	25	Id26	Id60
y	25	Id27	Id68
y	25	Id29	Id59
y	25	Id31	Id32
y	25	Id31	Id33
y	25	Id31	Id34
y	25	Id31	Id36
y	25	Id31	Id37
y	25	Id31	Id38
y	25	Id32	Id58
y	25	Id33	Id75
y	25	Id34	Id41
y	25	Id35	Id48
y	25	Id36	Id76
y	25	Id37	Id42
y	25	Id38	Id44
y	25	Id38	Id46
y	25	Id38	Id47
y	25	Id39	Id43
y	25	Id40	Id57
y	25	Id41	Id67
y	25	Id42	Id74
y	25	Id43	Id51
y	25	Id48	Id52
y	25	Id48	Id53
y	25	Id48	Id54
y	25	Id48	Id55
y	25	Id48	Id56
y	25	Id48	Id61
y	25	Id48	Id62
y	25	Id62	Id64
y	25	Id62	Id65
y	25	Id62	Id66
y	25	Id62	Id69
y	25	Id69	Id70
y	25	Id69	Id71
y	25	Id69	Id73
y	25	Id69	Id77
y	25	Id78	Id79
