	Cases	Deaths
R1	1	
R2	1	
R3	1	
R4	1	
R5	1	
R6	1	
R7	1	
R8	1	
R9	2	
R10	4	
R11	4	
R12	4	
R13	4	
R14	5	
R15	7	
R16	8	
R17	11	
R18	12	
R19	13	
R20	15	
R21	16	
R22	18	
R23	20	
R24	24	
R25	25	
R26	29	
R27	30	
R28	34	1
R29	41	1
R30	43	1
R31	76	2
R32	80	3
R33	91	3
R34	107	4
R35	118	4
R36	146	4
R37	175	4
R38	197	4
R39	240	4
R40	275	8
R41	300	10
R42	338	12
R43	368	15
R44	424	16
R45	445	16
R46	485	17
R47	532	18
R48	556	18
R49	608	19
R50	666	22
R51	715	23
R52	785	29
R53	841	30
R54	907	30
R55	934	30
R56	997	33
R57	1027	36
R58	1093	36
R59	1177	40
R60	1236	40
R61	1331	43
R62	1464	47
R63	1532	52
R64	1704	58
R65	1830	59
R66	1940	61
R67	2127	64
R68	2291	68
R69	2470	72
R70	2705	85
R71	2895	90
R72	3225	95
R73	3393	104
R74	3564	106
R75	3781	109
R76	4042	115
R77	4403	120
R78	4687	122
R79	4968	127
R80	5227	132
R81	5640	136
R82	6054	153
R83	6403	168
R84	6665	170
R85	7073	173
R86	7654	178
R87	8146	188
R88	8677	194
R89	9219	206
R90	10001	217
R91	10585	219
R92	11176	220
R93	11834	221
R94	12459	228
R95	13039	236
R96	13662	247
R97	14528	250
R98	15208	258
R99	15753	266
R100	16512	274
R101	17270	298
R102	18057	304
R103	18972	313
R104	19554	331
R105	20345	361
R106	20920	373
R107	21462	388
R108	22146	409
R109	22894	430
R110	23550	450
R111	24106	455
R112	24770	475
R113	25531	482
R114	26314	495
R115	26878	508
R116	27536	550
R117	27882	552
R118	28428	573
R119	28837	585
R120	29147	597
R121	29471	617
R122	29705	638
R123	30165	674
R124	30441	682
R125	30606	716
R126	30957	728
R127	31228	740
R128	31507	752
R129	31826	780
R130	32012	809
R131	32314	821
R132	32662	828
R133	32941	866
R134	33180	900
R135	33374	922
R136	33584	939
R137	33898	959
R138	34184	973
R139	34356	996
R140	34441	1012
R141	34595	1040
R142	34730	1064
R143	34984	1096
R144	35060	1117
R145	35219	1149
R146	35279	1166
R147	35453	1183
R148	35493	1185
R149	35605	1188
R150	35717	1192
R151	35918	1213
R152	35978	1227
R153	36026	1249
R154	36147	1261
R155	36253	1271
R156	36358	1272
R157	36463	1273
R158	36532	1283
R159	36665	1284
R160	36700	1285
R161	36701	1286
R162	36737	1290
R163	36773	1290
R164	36820	1296
R165	36928	1301
R166	37006	1310
R167	37046	1315
R168	37083	1321
R169	37153	1329
R170	37260	1346
R171	37336	1356
R172	37422	1365
R173	37497	1370
R174	37542	1371
R175	37590	1376
R176	37667	1378
R177	37710	1382
R178	37750	1384
R179	37852	1386
R180	37885	1386
R181	37944	1386
R182	37990	1388
R183	38045	1390
R184	38061	1398
R185	38103	1402
R186	38119	1402
R187	38130	1403
R188	38133	1403
R189	38155	1403
R190	38159	1403
R191	38193	1407
R192	38243	1410
R193	38288	1410
R194	38304	1410
R195	38324	1410
R196	38398	1413
R197	38494	1416
R198	38520	1419
R199	38544	1421
R200	38572	1421
R201	38606	1421
R202	38641	1421
R203	38716	1421
R204	38772	1427
R205	38815	1428
R206	38855	1438
R207	38872	1438
R208	38897	1439
R209	38919	1439
R210	39044	1443
R211	39074	1446
R212	39096	1447
R213	39145	1448
R214	39170	1453
R215	39186	1453
R216	39192	1455
R217	39227	1455
R218	39239	1458
R219	39254	1460
R220	39268	1460
R221	39285	1460
R222	39290	1460
R223	39297	1464
R224	39341	1464
R225	39422	1468
R226	39486	1469
R227	39548	1471
R228	39616	1472
R229	39693	1474
R230	39703	1475
R231	39799	1479
R232	39870	1481
R233	39928	1482
R234	39994	1483
R235	40026	1483
R236	40088	1487
R237	40141	1490
R238	40200	1494
R239	40287	1499
R240	40369	1501
R241	40510	1503
R242	40626	1507
R243	40687	1509
R244	40768	1513
R245	40833	1516
R246	40937	1520
R247	41032	1525
R248	41145	1531
R249	41268	1534
R250	41334	1535
R251	41425	1538
R252	41501	1538
R253	41633	1544
R254	41728	1547
R255	41814	1551
R256	41935	1557
R257	41975	1557
R258	42033	1559
R259	42159	1565
R260	42297	1577
R261	42463	1580
R262	42609	1584
R263	42795	1594
R264	42969	1598
R265	43035	1608
R266	43240	1620
R267	43468	1635
R268	43681	1641
R269	43924	1648
R270	44177	1653
R271	44363	1666
R272	44503	1678
R273	44706	1690
R274	44988	1702
R275	45174	1715
R276	45384	1728
R277	45600	1737
R278	45723	1740
R279	45844	1752
R280	46116	1774
R281	46274	1795
R282	46516	1822
R283	46718	1841
R284	46837	1846
R285	46837	1846
R286	47072	1864
R287	47306	1874
R288	47516	1900
R289	47716	1906
R290	47851	1919
R291	48053	1935
R292	48116	1945
R293	48229	1956
R294	48527	1965
R295	48718	1969
R296	48952	1995
R297	49161	2011
R298	49378	2025
R299	49621	2030
R300	49681	2047
R301	49817	2067
R302	50013	2082
R303	50190	2096
R304	50433	2117
R305	50655	2126
R306	50810	2139
R307	50886	2149
R308	51039	2160
R309	51280	2174
R310	51350	2179
R311	51405	2181
R312	51526	2191
R313	51526	2191
R314	51526	2191
R315	51526	2191
R316	53011	2237
R317	53105	2244
R318	53105	2244
R319	53207	2253
R320	53332	2257
R321	53400	2264
R322	53489	2277
R323	53538	2288
R324	53584	2301
R325	53584	2301
R326	53775	2314
R327	53831	2324
R328	53938	2336
R329	53984	2339
R330	54062	2343
R331	54141	2346
R332	54278	2354
R333	54403	2363
R334	54483	2370
R335	54559	2373
R336	54595	2378
R337	54672	2385
R338	54750	2389
R339	54854	2389
R340	54891	2397
R341	54939	2399
R342	55008	2400
R343	55023	2400
R344	55059	2404
R345	55121	2405
R346	55174	2406
R347	55231	2407
R348	55265	2407
R349	55330	2408
R350	55335	2410
R351	55359	2413
R352	55384	2414
R353	55402	2418
R354	55420	2419
R355	55445	2424
R356	55473	2427
R357	55492	2427
R358	55514	2427
R359	55518	2428
R360	55540	2428
R361	55557	2430
R362	55575	2430
R363	55580	2430
R364	55604	2432
R365	55617	2433
R366	55646	2435
R367	55664	2436
R368	55680	2438
R369	55696	2442
R370	55707	2443
R371	55714	2443
R372	55733	2444
R373	55759	2446
R374	55770	2446
R375	55775	2446
R376	55827	2449
R377	55840	2449
R378		
R379		
R380		
R381		
R382		
R383		
R384		
R385		
R386		
R387		
R388		
R389		
R390		
R391	2	
R392	10	
R393	12	1
R394	23	1
R395	33	1
R396	38	1
R397	42	1
R398	51	1
R399	55	1
R400	59	2
R401	64	2
R402	70	2
R403	76	2
R404	89	2
R405	104	4
R406	123	5
R407	146	5
R408	174	6
R409	186	8
R410	197	10
R411	212	10
R412	223	11
R413	243	15
R414	259	15
R415	277	16
R416	304	17
R417	333	20
R418	361	20
R419	377	21
