	Country	Date
R1	AFG	2/24/20
R2	AFG	2/25/20
R3	AFG	2/26/20
R4	AFG	2/27/20
R5	AFG	2/28/20
R6	AFG	2/29/20
R7	AFG	3/1/20
R8	AFG	3/2/20
R9	AFG	3/3/20
R10	AFG	3/4/20
R11	AFG	3/5/20
R12	AFG	3/6/20
R13	AFG	3/7/20
R14	AFG	3/8/20
R15	AFG	3/9/20
R16	AFG	3/10/20
R17	AFG	3/11/20
R18	AFG	3/12/20
R19	AFG	3/13/20
R20	AFG	3/14/20
R21	AFG	3/15/20
R22	AFG	3/16/20
R23	AFG	3/17/20
R24	AFG	3/18/20
R25	AFG	3/19/20
R26	AFG	3/20/20
R27	AFG	3/21/20
R28	AFG	3/22/20
R29	AFG	3/23/20
R30	AFG	3/24/20
R31	AFG	3/25/20
R32	AFG	3/26/20
R33	AFG	3/27/20
R34	AFG	3/28/20
R35	AFG	3/29/20
R36	AFG	3/30/20
R37	AFG	3/31/20
R38	AFG	4/1/20
R39	AFG	4/2/20
R40	AFG	4/3/20
R41	AFG	4/4/20
R42	AFG	4/5/20
R43	AFG	4/6/20
R44	AFG	4/7/20
R45	AFG	4/8/20
R46	AFG	4/9/20
R47	AFG	4/10/20
R48	AFG	4/11/20
R49	AFG	4/12/20
R50	AFG	4/13/20
R51	AFG	4/14/20
R52	AFG	4/15/20
R53	AFG	4/16/20
R54	AFG	4/17/20
R55	AFG	4/18/20
R56	AFG	4/19/20
R57	AFG	4/20/20
R58	AFG	4/21/20
R59	AFG	4/22/20
R60	AFG	4/23/20
R61	AFG	4/24/20
R62	AFG	4/25/20
R63	AFG	4/26/20
R64	AFG	4/27/20
R65	AFG	4/28/20
R66	AFG	4/29/20
R67	AFG	4/30/20
R68	AFG	5/1/20
R69	AFG	5/2/20
R70	AFG	5/3/20
R71	AFG	5/4/20
R72	AFG	5/5/20
R73	AFG	5/6/20
R74	AFG	5/7/20
R75	AFG	5/8/20
R76	AFG	5/9/20
R77	AFG	5/10/20
R78	AFG	5/11/20
R79	AFG	5/12/20
R80	AFG	5/13/20
R81	AFG	5/14/20
R82	AFG	5/15/20
R83	AFG	5/16/20
R84	AFG	5/17/20
R85	AFG	5/18/20
R86	AFG	5/19/20
R87	AFG	5/20/20
R88	AFG	5/21/20
R89	AFG	5/22/20
R90	AFG	5/23/20
R91	AFG	5/24/20
R92	AFG	5/25/20
R93	AFG	5/26/20
R94	AFG	5/27/20
R95	AFG	5/28/20
R96	AFG	5/29/20
R97	AFG	5/30/20
R98	AFG	5/31/20
R99	AFG	6/1/20
R100	AFG	6/2/20
R101	AFG	6/3/20
R102	AFG	6/4/20
R103	AFG	6/5/20
R104	AFG	6/6/20
R105	AFG	6/7/20
R106	AFG	6/8/20
R107	AFG	6/9/20
R108	AFG	6/10/20
R109	AFG	6/11/20
R110	AFG	6/12/20
R111	AFG	6/13/20
R112	AFG	6/14/20
R113	AFG	6/15/20
R114	AFG	6/16/20
R115	AFG	6/17/20
R116	AFG	6/18/20
R117	AFG	6/19/20
R118	AFG	6/20/20
R119	AFG	6/21/20
R120	AFG	6/22/20
R121	AFG	6/23/20
R122	AFG	6/24/20
R123	AFG	6/25/20
R124	AFG	6/26/20
R125	AFG	6/27/20
R126	AFG	6/28/20
R127	AFG	6/29/20
R128	AFG	6/30/20
R129	AFG	7/1/20
R130	AFG	7/2/20
R131	AFG	7/3/20
R132	AFG	7/4/20
R133	AFG	7/5/20
R134	AFG	7/6/20
R135	AFG	7/7/20
R136	AFG	7/8/20
R137	AFG	7/9/20
R138	AFG	7/10/20
R139	AFG	7/11/20
R140	AFG	7/12/20
R141	AFG	7/13/20
R142	AFG	7/14/20
R143	AFG	7/15/20
R144	AFG	7/16/20
R145	AFG	7/17/20
R146	AFG	7/18/20
R147	AFG	7/19/20
R148	AFG	7/20/20
R149	AFG	7/21/20
R150	AFG	7/22/20
R151	AFG	7/23/20
R152	AFG	7/24/20
R153	AFG	7/25/20
R154	AFG	7/26/20
R155	AFG	7/27/20
R156	AFG	7/28/20
R157	AFG	7/29/20
R158	AFG	7/30/20
R159	AFG	7/31/20
R160	AFG	8/1/20
R161	AFG	8/2/20
R162	AFG	8/3/20
R163	AFG	8/4/20
R164	AFG	8/5/20
R165	AFG	8/6/20
R166	AFG	8/7/20
R167	AFG	8/8/20
R168	AFG	8/9/20
R169	AFG	8/10/20
R170	AFG	8/11/20
R171	AFG	8/12/20
R172	AFG	8/13/20
R173	AFG	8/14/20
R174	AFG	8/15/20
R175	AFG	8/16/20
R176	AFG	8/17/20
R177	AFG	8/18/20
R178	AFG	8/19/20
R179	AFG	8/20/20
R180	AFG	8/21/20
R181	AFG	8/22/20
R182	AFG	8/23/20
R183	AFG	8/24/20
R184	AFG	8/25/20
R185	AFG	8/26/20
R186	AFG	8/27/20
R187	AFG	8/28/20
R188	AFG	8/29/20
R189	AFG	8/30/20
R190	AFG	8/31/20
R191	AFG	9/1/20
R192	AFG	9/2/20
R193	AFG	9/3/20
R194	AFG	9/4/20
R195	AFG	9/5/20
R196	AFG	9/6/20
R197	AFG	9/7/20
R198	AFG	9/8/20
R199	AFG	9/9/20
R200	AFG	9/10/20
R201	AFG	9/11/20
R202	AFG	9/12/20
R203	AFG	9/13/20
R204	AFG	9/14/20
R205	AFG	9/15/20
R206	AFG	9/16/20
R207	AFG	9/17/20
R208	AFG	9/18/20
R209	AFG	9/19/20
R210	AFG	9/20/20
R211	AFG	9/21/20
R212	AFG	9/22/20
R213	AFG	9/23/20
R214	AFG	9/24/20
R215	AFG	9/25/20
R216	AFG	9/26/20
R217	AFG	9/27/20
R218	AFG	9/28/20
R219	AFG	9/29/20
R220	AFG	9/30/20
R221	AFG	10/1/20
R222	AFG	10/2/20
R223	AFG	10/3/20
R224	AFG	10/4/20
R225	AFG	10/5/20
R226	AFG	10/6/20
R227	AFG	10/7/20
R228	AFG	10/8/20
R229	AFG	10/9/20
R230	AFG	10/10/20
R231	AFG	10/11/20
R232	AFG	10/12/20
R233	AFG	10/13/20
R234	AFG	10/14/20
R235	AFG	10/15/20
R236	AFG	10/16/20
R237	AFG	10/17/20
R238	AFG	10/18/20
R239	AFG	10/19/20
R240	AFG	10/20/20
R241	AFG	10/21/20
R242	AFG	10/22/20
R243	AFG	10/23/20
R244	AFG	10/24/20
R245	AFG	10/25/20
R246	AFG	10/26/20
R247	AFG	10/27/20
R248	AFG	10/28/20
R249	AFG	10/29/20
R250	AFG	10/30/20
R251	AFG	10/31/20
R252	AFG	11/1/20
R253	AFG	11/2/20
R254	AFG	11/3/20
R255	AFG	11/4/20
R256	AFG	11/5/20
R257	AFG	11/6/20
R258	AFG	11/7/20
R259	AFG	11/8/20
R260	AFG	11/9/20
R261	AFG	11/10/20
R262	AFG	11/11/20
R263	AFG	11/12/20
R264	AFG	11/13/20
R265	AFG	11/14/20
R266	AFG	11/15/20
R267	AFG	11/16/20
R268	AFG	11/17/20
R269	AFG	11/18/20
R270	AFG	11/19/20
R271	AFG	11/20/20
R272	AFG	11/21/20
R273	AFG	11/22/20
R274	AFG	11/23/20
R275	AFG	11/24/20
R276	AFG	11/25/20
R277	AFG	11/26/20
R278	AFG	11/27/20
R279	AFG	11/28/20
R280	AFG	11/29/20
R281	AFG	11/30/20
R282	AFG	12/1/20
R283	AFG	12/2/20
R284	AFG	12/3/20
R285	AFG	12/4/20
R286	AFG	12/5/20
R287	AFG	12/6/20
R288	AFG	12/7/20
R289	AFG	12/8/20
R290	AFG	12/9/20
R291	AFG	12/10/20
R292	AFG	12/11/20
R293	AFG	12/12/20
R294	AFG	12/13/20
R295	AFG	12/14/20
R296	AFG	12/15/20
