	issue	value
1	97	0
2	97	0
3	97	0
4	97	0
5	98	0
6	98	0
7	98	0
8	98	0
9	99	0
10	99	0
11	99	0
12	99	0
13	100	0
14	100	0
15	100	0
16	100	0
17	101	0
18	101	0
19	101	0
20	101	0
21	102	0
22	102	0
23	102	0
24	102	0
25	103	0
26	103	0
27	103	0
28	103	0
29	104	0
30	104	0
31	104	0
32	104	0
33	105	0
34	105	0
35	105	0
36	105	0
37	106	0
38	106	0
39	106	0
40	106	0
41	107	0
42	107	0
43	107	0
44	107	0
45	108	0
46	108	0
47	108	0
48	108	0
49	109	0
50	109	0
51	109	0
52	109	0
53	110	0
54	110	0
55	110	0
56	110	0
57	111	0
58	111	0
59	111	0
60	111	0
61	112	0
62	112	0
63	112	0
64	112	0
65	113	0
66	113	0
67	113	0
68	113	0
69	114	0
70	114	0
71	114	0
72	114	0
73	115	0
74	115	0
75	115	0
76	115	0
77	116	0
78	116	0
79	116	0
80	116	0
81	117	0
82	117	0
83	117	0
84	117	0
85	118	0
86	118	0
87	118	0
88	118	0
89	119	0
90	119	0
91	119	0
92	119	0
93	120	0
94	120	0
95	120	0
96	120	0
97	121	0
98	121	0
99	121	0
100	121	0
101	122	0
102	122	0
103	122	0
104	122	0
105	123	0
106	123	0
107	123	0
108	123	0
109	124	0
110	124	0
111	124	0
112	124	0
113	125	0
114	125	0
115	125	0
116	125	0
117	126	0
118	126	0
119	126	0
120	126	0
121	127	0
122	127	0
123	127	0
124	127	0
125	128	0
126	128	0
127	128	0
128	128	0
129	129	0
130	129	0
131	129	0
132	129	0
133	130	0
134	130	0
135	130	0
136	130	0
137	131	0
138	131	0
139	131	0
140	131	0
141	132	0
142	132	0
143	132	0
144	132	0
145	133	0
146	133	0
147	133	0
148	133	0
149	134	0
150	134	0
151	134	0
152	134	0
153	135	0
154	135	0
155	135	0
156	135	0
157	136	0
158	136	0
159	136	0
160	136	0
161	137	0
162	137	0
163	137	0
164	137	0
165	138	0
166	138	0
167	138	0
168	138	0
169	139	0
170	139	0
171	139	0
172	139	0
173	140	0
174	140	0
175	140	0
176	140	0
177	141	0
178	141	0
179	141	0
180	141	0
181	142	0
182	142	0
183	142	0
184	142	0
185	143	0
186	143	0
187	143	0
188	143	0
189	144	0
190	144	0
191	144	0
192	144	0
193	145	0
194	145	0
195	145	0
196	145	0
197	146	0
198	146	0
199	146	0
200	146	0
201	147	0
202	147	0
203	147	0
204	147	0
205	148	0
206	148	0
207	148	0
208	148	0
209	149	0
210	149	0
211	149	0
212	149	0
213	150	0
214	150	0
215	150	0
216	150	0
217	151	0
218	151	0
219	151	0
220	151	0
221	152	0
222	152	0
223	152	0
224	152	0
225	153	0
226	153	0
227	153	0
228	153	0
229	154	0
230	154	0
231	154	0
232	154	0
233	155	0
234	155	0
235	155	0
236	155	0
237	156	0
238	156	0
239	156	0
240	156	0
241	157	0
242	157	0
243	157	0
244	157	0
245	158	0
246	158	0
247	158	0
248	158	0
249	159	0
250	159	0
251	159	0
252	159	0
253	160	0
254	160	0
255	160	0
256	160	0
257	161	0
258	161	0
259	161	0
260	161	0
261	162	0
262	162	0
263	162	0
264	162	0
265	163	0
266	163	0
