	char_costume	char_popular	character	costume	parameter	rank
1	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
2	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
3	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
4	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
5	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
6	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
7	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
8	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
9	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
10	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
11	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
12	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
13	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
14	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
15	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
16	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
17	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
18	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
19	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
20	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
21	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
22	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
23	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
24	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
25	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
26	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
27	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
28	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
29	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
30	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
31	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
32	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
33	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
34	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
35	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
36	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
37	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
38	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
39	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
40	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
41	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
42	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
43	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
44	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
45	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
46	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
47	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
48	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
49	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
50	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
51	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
52	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
53	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
54	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
55	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
56	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
57	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
58	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
59	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
60	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
61	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
62	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
63	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
64	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
65	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
66	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
67	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
68	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
69	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
70	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
71	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
72	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
73	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
74	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
