	eruptions	waiting
R1	3.6	79
R2	1.8	54
R3	3.333	74
R4	2.283	62
R5	4.533	85
R6	2.883	55
R7	4.7	88
R8	3.6	85
R9	1.95	51
R10	4.35	85
R11	1.833	54
R12	3.917	84
R13	4.2	78
R14	1.75	47
R15	4.7	83
R16	2.167	52
R17	1.75	62
R18	4.8	84
R19	1.6	52
R20	4.25	79
R21	1.8	51
R22	1.75	47
R23	3.45	78
R24	3.067	69
R25	4.533	74
R26	3.6	83
R27	1.967	55
R28	4.083	76
R29	3.85	78
R30	4.433	79
R31	4.3	73
R32	4.467	77
R33	3.367	66
R34	4.033	80
R35	3.833	74
R36	2.017	52
R37	1.867	48
R38	4.833	80
R39	1.833	59
R40	4.783	90
R41	4.35	80
R42	1.883	58
R43	4.567	84
R44	1.75	58
R45	4.533	73
R46	3.317	83
R47	3.833	64
R48	2.1	53
R49	4.633	82
R50	2	59
R51	4.8	75
R52	4.716	90
R53	1.833	54
R54	4.833	80
R55	1.733	54
R56	4.883	83
R57	3.717	71
R58	1.667	64
R59	4.567	77
R60	4.317	81
R61	2.233	59
R62	4.5	84
R63	1.75	48
R64	4.8	82
R65	1.817	60
R66	4.4	92
R67	4.167	78
R68	4.7	78
R69	2.067	65
R70	4.7	73
R71	4.033	82
R72	1.967	56
R73	4.5	79
R74	4	71
R75	1.983	62
R76	5.067	76
R77	2.017	60
R78	4.567	78
R79	3.883	76
R80	3.6	83
R81	4.133	75
R82	4.333	82
R83	4.1	70
R84	2.633	65
R85	4.067	73
R86	4.933	88
R87	3.95	76
R88	4.517	80
R89	2.167	48
R90	4	86
R91	2.2	60
R92	4.333	90
R93	1.867	50
R94	4.817	78
R95	1.833	63
R96	4.3	72
R97	4.667	84
R98	3.75	75
R99	1.867	51
R100	4.9	82
R101	2.483	62
R102	4.367	88
R103	2.1	49
R104	4.5	83
R105	4.05	81
R106	1.867	47
R107	4.7	84
R108	1.783	52
R109	4.85	86
R110	3.683	81
R111	4.733	75
R112	2.3	59
R113	4.9	89
R114	4.417	79
R115	1.7	59
R116	4.633	81
R117	2.317	50
R118	4.6	85
R119	1.817	59
R120	4.417	87
R121	2.617	53
R122	4.067	69
R123	4.25	77
R124	1.967	56
R125	4.6	88
R126	3.767	81
R127	1.917	45
R128	4.5	82
R129	2.267	55
R130	4.65	90
R131	1.867	45
R132	4.167	83
R133	2.8	56
R134	4.333	89
R135	1.833	46
R136	4.383	82
R137	1.883	51
R138	4.933	86
R139	2.033	53
R140	3.733	79
R141	4.233	81
R142	2.233	60
R143	4.533	82
R144	4.817	77
R145	4.333	76
R146	1.983	59
R147	4.633	80
R148	2.017	49
R149	5.1	96
R150	1.8	53
R151	5.033	77
R152	4	77
R153	2.4	65
R154	4.6	81
R155	3.567	71
R156	4	70
R157	4.5	81
R158	4.083	93
R159	1.8	53
R160	3.967	89
R161	2.2	45
R162	4.15	86
R163	2	58
R164	3.833	78
R165	3.5	66
R166	4.583	76
R167	2.367	63
R168	5	88
R169	1.933	52
R170	4.617	93
R171	1.917	49
R172	2.083	57
R173	4.583	77
R174	3.333	68
R175	4.167	81
R176	4.333	81
R177	4.5	73
R178	2.417	50
R179	4	85
R180	4.167	74
R181	1.883	55
R182	4.583	77
R183	4.25	83
R184	3.767	83
R185	2.033	51
R186	4.433	78
R187	4.083	84
R188	1.833	46
R189	4.417	83
R190	2.183	55
R191	4.8	81
R192	1.833	57
R193	4.8	76
R194	4.1	84
R195	3.966	77
R196	4.233	81
R197	3.5	87
R198	4.366	77
R199	2.25	51
R200	4.667	78
R201	2.1	60
R202	4.35	82
R203	4.133	91
R204	1.867	53
R205	4.6	78
R206	1.783	46
R207	4.367	77
R208	3.85	84
R209	1.933	49
R210	4.5	83
R211	2.383	71
R212	4.7	80
R213	1.867	49
R214	3.833	75
R215	3.417	64
R216	4.233	76
R217	2.4	53
R218	4.8	94
R219	2	55
R220	4.15	76
R221	1.867	50
R222	4.267	82
R223	1.75	54
R224	4.483	75
R225	4	78
R226	4.117	79
R227	4.083	78
R228	4.267	78
R229	3.917	70
R230	4.55	79
R231	4.083	70
R232	2.417	54
R233	4.183	86
R234	2.217	50
R235	4.45	90
R236	1.883	54
R237	1.85	54
R238	4.283	77
R239	3.95	79
R240	2.333	64
R241	4.15	75
R242	2.35	47
R243	4.933	86
R244	2.9	63
R245	4.583	85
R246	3.833	82
R247	2.083	57
R248	4.367	82
R249	2.133	67
R250	4.35	74
R251	2.2	54
R252	4.45	83
R253	3.567	73
R254	4.5	73
R255	4.15	88
R256	3.817	80
R257	3.917	71
R258	4.45	83
R259	2	56
R260	4.283	79
R261	4.767	78
R262	4.533	84
R263	1.85	58
R264	4.25	83
R265	1.983	43
R266	2.25	60
R267	4.75	75
R268	4.117	81
R269	2.15	46
R270	4.417	90
R271	1.817	46
R272	4.467	74
