	group
R1	A
R2	A
R3	A
R4	A
R5	A
R6	A
R7	A
R8	A
R9	A
R10	A
R11	A
R12	A
R13	A
R14	A
R15	A
R16	A
R17	A
R18	A
R19	A
R20	A
R21	A
R22	A
R23	A
R24	A
R25	A
R26	A
R27	A
R28	A
R29	A
R30	A
R31	A
R32	A
R33	A
R34	A
R35	A
R36	A
R37	A
R38	A
R39	A
R40	A
R41	A
R42	A
R43	A
R44	A
R45	A
R46	A
R47	A
R48	A
R49	A
R50	A
R51	A
R52	A
R53	A
R54	A
R55	A
R56	A
R57	A
R58	A
R59	A
R60	A
R61	A
R62	A
R63	A
R64	A
R65	A
R66	A
R67	A
R68	A
R69	A
R70	A
R71	A
R72	A
R73	A
R74	A
R75	A
R76	A
R77	A
R78	A
R79	A
R80	A
R81	A
R82	A
R83	A
R84	A
R85	A
R86	A
R87	A
R88	A
R89	A
R90	A
R91	A
R92	A
R93	A
R94	A
R95	A
R96	A
R97	A
R98	A
R99	A
R100	A
R101	A
R102	A
R103	A
R104	A
R105	A
R106	A
R107	A
R108	A
R109	A
R110	A
R111	A
R112	A
R113	A
R114	A
R115	A
R116	A
R117	A
R118	A
R119	A
R120	A
R121	A
R122	A
R123	A
R124	A
R125	A
R126	A
R127	A
R128	A
R129	A
R130	A
R131	A
R132	A
R133	A
R134	A
R135	A
R136	A
R137	A
R138	A
R139	A
R140	A
R141	A
R142	A
R143	A
R144	A
R145	A
R146	A
R147	A
R148	A
R149	A
R150	A
R151	A
R152	A
R153	A
R154	A
R155	A
R156	A
R157	A
R158	A
R159	A
R160	A
R161	A
R162	A
R163	A
R164	A
R165	A
R166	A
R167	A
R168	A
R169	A
R170	A
R171	A
R172	A
R173	A
R174	A
R175	A
R176	A
R177	A
R178	A
R179	A
R180	A
R181	A
R182	A
R183	A
R184	A
R185	A
R186	A
R187	A
R188	A
R189	A
R190	A
R191	A
R192	A
R193	A
R194	A
R195	A
R196	A
R197	A
R198	A
R199	A
R200	A
R201	A
R202	A
R203	A
R204	A
R205	A
R206	A
R207	A
R208	A
R209	A
R210	A
R211	A
R212	A
R213	A
R214	A
R215	A
R216	A
R217	A
R218	A
R219	A
R220	A
R221	A
R222	A
R223	A
R224	A
R225	A
R226	A
R227	A
R228	A
R229	A
R230	A
R231	A
R232	A
R233	A
R234	A
R235	A
R236	A
R237	A
R238	A
R239	A
R240	A
R241	A
R242	A
R243	A
R244	A
R245	A
R246	A
