	x	y
R1	55.3846	97.1795
R2	51.5385	96.0256
R3	46.1538	94.4872
R4	42.8205	91.4103
R5	40.7692	88.3333
R6	38.7179	84.8718
R7	35.641	79.8718
R8	33.0769	77.5641
R9	28.9744	74.4872
R10	26.1538	71.4103
R11	23.0769	66.4103
R12	22.3077	61.7949
R13	22.3077	57.1795
R14	23.3333	52.9487
R15	25.8974	51.0256
R16	29.4872	51.0256
R17	32.8205	51.0256
R18	35.3846	51.4103
R19	40.2564	51.4103
R20	44.1026	52.9487
R21	46.6667	54.1026
R22	50	55.2564
R23	53.0769	55.641
R24	56.6667	56.0256
R25	59.2308	57.9487
R26	61.2821	62.1795
R27	61.5385	66.4103
R28	61.7949	69.1026
R29	57.4359	55.2564
R30	54.8718	49.8718
R31	52.5641	46.0256
R32	48.2051	38.3333
R33	49.4872	42.1795
R34	51.0256	44.1026
R35	45.3846	36.4103
R36	42.8205	32.5641
R37	38.7179	31.4103
R38	35.1282	30.2564
R39	32.5641	32.1795
R40	30	36.7949
R41	33.5897	41.4103
R42	36.6667	45.641
R43	38.2051	49.1026
R44	29.7436	36.0256
R45	29.7436	32.1795
R46	30	29.1026
R47	32.0513	26.7949
R48	35.8974	25.2564
R49	41.0256	25.2564
R50	44.1026	25.641
R51	47.1795	28.718
R52	49.4872	31.4103
R53	51.5385	34.8718
R54	53.5897	37.5641
R55	55.1282	40.641
R56	56.6667	42.1795
R57	59.2308	44.4872
R58	62.3077	46.0256
R59	64.8718	46.7949
R60	67.9487	47.9487
R61	70.5128	53.718
R62	71.5385	60.641
R63	71.5385	64.4872
R64	69.4872	69.4872
R65	46.9231	79.8718
R66	48.2051	84.1026
R67	50	85.2564
R68	53.0769	85.2564
R69	55.3846	86.0256
R70	56.6667	86.0256
R71	56.1538	82.9487
R72	53.8462	80.641
R73	51.2821	78.718
R74	50	78.718
R75	47.9487	77.5641
R76	29.7436	59.8718
R77	29.7436	62.1795
R78	31.2821	62.5641
R79	57.9487	99.4872
R80	61.7949	99.1026
R81	64.8718	97.5641
R82	68.4615	94.1026
R83	70.7692	91.0256
R84	72.0513	86.4103
R85	73.8462	83.3333
R86	75.1282	79.1026
R87	76.6667	75.2564
R88	77.6923	71.4103
R89	79.7436	66.7949
R90	81.7949	60.2564
R91	83.3333	55.2564
R92	85.1282	51.4103
R93	86.4103	47.5641
R94	87.9487	46.0256
R95	89.4872	42.5641
R96	93.3333	39.8718
R97	95.3846	36.7949
R98	98.2051	33.718
R99	56.6667	40.641
R100	59.2308	38.3333
R101	60.7692	33.718
R102	63.0769	29.1026
R103	64.1026	25.2564
R104	64.359	24.1026
R105	74.359	22.9487
R106	71.2821	22.9487
R107	67.9487	22.1795
R108	65.8974	20.2564
R109	63.0769	19.1026
R110	61.2821	19.1026
R111	58.7179	18.3333
R112	55.1282	18.3333
R113	52.3077	18.3333
R114	49.7436	17.5641
R115	47.4359	16.0256
R116	44.8718	13.718
R117	48.7179	14.8718
R118	51.2821	14.8718
R119	54.1026	14.8718
R120	56.1538	14.1026
R121	52.0513	12.5641
R122	48.7179	11.0256
R123	47.1795	9.8718
R124	46.1538	6.0256
R125	50.5128	9.4872
R126	53.8462	10.2564
R127	57.4359	10.2564
R128	60	10.641
R129	64.1026	10.641
R130	66.9231	10.641
R131	71.2821	10.641
R132	74.359	10.641
R133	78.2051	10.641
R134	67.9487	8.718
R135	68.4615	5.2564
R136	68.2051	2.9487
R137	37.6923	25.7692
R138	39.4872	25.3846
R139	91.2821	41.5385
R140	50	95.7692
