	dataset
R1	dino
R2	dino
R3	dino
R4	dino
R5	dino
R6	dino
R7	dino
R8	dino
R9	dino
R10	dino
R11	dino
R12	dino
R13	dino
R14	dino
R15	dino
R16	dino
R17	dino
R18	dino
R19	dino
R20	dino
R21	dino
R22	dino
R23	dino
R24	dino
R25	dino
R26	dino
R27	dino
R28	dino
R29	dino
R30	dino
R31	dino
R32	dino
R33	dino
R34	dino
R35	dino
R36	dino
R37	dino
R38	dino
R39	dino
R40	dino
R41	dino
R42	dino
R43	dino
R44	dino
R45	dino
R46	dino
R47	dino
R48	dino
R49	dino
R50	dino
R51	dino
R52	dino
R53	dino
R54	dino
R55	dino
R56	dino
R57	dino
R58	dino
R59	dino
R60	dino
R61	dino
R62	dino
R63	dino
R64	dino
R65	dino
R66	dino
R67	dino
R68	dino
R69	dino
R70	dino
R71	dino
R72	dino
R73	dino
R74	dino
R75	dino
R76	dino
R77	dino
R78	dino
R79	dino
R80	dino
R81	dino
R82	dino
R83	dino
R84	dino
R85	dino
R86	dino
R87	dino
R88	dino
R89	dino
R90	dino
R91	dino
R92	dino
R93	dino
R94	dino
R95	dino
R96	dino
R97	dino
R98	dino
R99	dino
R100	dino
R101	dino
R102	dino
R103	dino
R104	dino
R105	dino
R106	dino
R107	dino
R108	dino
R109	dino
R110	dino
R111	dino
R112	dino
R113	dino
R114	dino
R115	dino
R116	dino
R117	dino
R118	dino
R119	dino
R120	dino
R121	dino
R122	dino
R123	dino
R124	dino
R125	dino
R126	dino
R127	dino
R128	dino
R129	dino
R130	dino
R131	dino
R132	dino
R133	dino
R134	dino
R135	dino
R136	dino
R137	dino
R138	dino
R139	dino
R140	dino
R141	dino
R142	dino
R143	away
R144	away
R145	away
R146	away
R147	away
R148	away
R149	away
R150	away
R151	away
R152	away
R153	away
R154	away
R155	away
R156	away
R157	away
R158	away
R159	away
R160	away
R161	away
R162	away
R163	away
R164	away
R165	away
R166	away
R167	away
R168	away
R169	away
R170	away
R171	away
R172	away
R173	away
R174	away
R175	away
R176	away
R177	away
R178	away
R179	away
R180	away
R181	away
R182	away
R183	away
R184	away
R185	away
R186	away
R187	away
R188	away
R189	away
R190	away
R191	away
R192	away
R193	away
R194	away
R195	away
R196	away
R197	away
R198	away
R199	away
R200	away
R201	away
R202	away
R203	away
R204	away
R205	away
R206	away
R207	away
R208	away
R209	away
R210	away
R211	away
R212	away
R213	away
R214	away
R215	away
R216	away
R217	away
R218	away
R219	away
R220	away
R221	away
R222	away
R223	away
R224	away
R225	away
R226	away
R227	away
R228	away
R229	away
R230	away
R231	away
R232	away
R233	away
R234	away
R235	away
R236	away
R237	away
R238	away
R239	away
R240	away
R241	away
R242	away
R243	away
R244	away
R245	away
R246	away
R247	away
R248	away
R249	away
R250	away
R251	away
R252	away
R253	away
R254	away
R255	away
R256	away
R257	away
R258	away
R259	away
R260	away
R261	away
R262	away
R263	away
R264	away
R265	away
R266	away
R267	away
R268	away
R269	away
R270	away
R271	away
R272	away
R273	away
R274	away
R275	away
R276	away
R277	away
R278	away
R279	away
R280	away
R281	away
R282	away
R283	away
R284	away
R285	hor_lines
R286	hor_lines
R287	hor_lines
R288	hor_lines
R289	hor_lines
R290	hor_lines
R291	hor_lines
R292	hor_lines
R293	hor_lines
R294	hor_lines
R295	hor_lines
R296	hor_lines
R297	hor_lines
R298	hor_lines
R299	hor_lines
R300	hor_lines
R301	hor_lines
R302	hor_lines
R303	hor_lines
R304	hor_lines
R305	hor_lines
R306	hor_lines
R307	hor_lines
R308	hor_lines
R309	hor_lines
R310	hor_lines
R311	hor_lines
R312	hor_lines
R313	hor_lines
R314	hor_lines
R315	hor_lines
R316	hor_lines
R317	hor_lines
R318	hor_lines
R319	hor_lines
R320	hor_lines
R321	hor_lines
R322	hor_lines
R323	hor_lines
R324	hor_lines
R325	hor_lines
R326	hor_lines
R327	hor_lines
R328	hor_lines
R329	hor_lines
R330	hor_lines
R331	hor_lines
R332	hor_lines
R333	hor_lines
R334	hor_lines
R335	hor_lines
R336	hor_lines
R337	hor_lines
R338	hor_lines
R339	hor_lines
R340	hor_lines
R341	hor_lines
R342	hor_lines
R343	hor_lines
R344	hor_lines
R345	hor_lines
R346	hor_lines
R347	hor_lines
R348	hor_lines
R349	hor_lines
R350	hor_lines
R351	hor_lines
R352	hor_lines
R353	hor_lines
R354	hor_lines
R355	hor_lines
R356	hor_lines
R357	hor_lines
R358	hor_lines
R359	hor_lines
R360	hor_lines
R361	hor_lines
R362	hor_lines
R363	hor_lines
R364	hor_lines
R365	hor_lines
R366	hor_lines
R367	hor_lines
R368	hor_lines
R369	hor_lines
R370	hor_lines
R371	hor_lines
R372	hor_lines
R373	hor_lines
R374	hor_lines
R375	hor_lines
R376	hor_lines
R377	hor_lines
R378	hor_lines
R379	hor_lines
R380	hor_lines
R381	hor_lines
R382	hor_lines
R383	hor_lines
R384	hor_lines
R385	hor_lines
R386	hor_lines
R387	hor_lines
R388	hor_lines
R389	hor_lines
R390	hor_lines
R391	hor_lines
R392	hor_lines
R393	hor_lines
R394	hor_lines
R395	hor_lines
R396	hor_lines
R397	hor_lines
R398	hor_lines
R399	hor_lines
R400	hor_lines
R401	hor_lines
R402	hor_lines
R403	hor_lines
R404	hor_lines
R405	hor_lines
R406	hor_lines
R407	hor_lines
R408	hor_lines
R409	hor_lines
R410	hor_lines
R411	hor_lines
R412	hor_lines
R413	hor_lines
R414	hor_lines
R415	hor_lines
R416	hor_lines
R417	hor_lines
R418	hor_lines
R419	hor_lines
R420	hor_lines
R421	hor_lines
R422	hor_lines
R423	hor_lines
R424	hor_lines
R425	hor_lines
R426	hor_lines
R427	ver_lines
R428	ver_lines
R429	ver_lines
R430	ver_lines
R431	ver_lines
R432	ver_lines
R433	ver_lines
R434	ver_lines
R435	ver_lines
R436	ver_lines
R437	ver_lines
R438	ver_lines
R439	ver_lines
R440	ver_lines
R441	ver_lines
R442	ver_lines
R443	ver_lines
R444	ver_lines
R445	ver_lines
R446	ver_lines
R447	ver_lines
R448	ver_lines
R449	ver_lines
R450	ver_lines
R451	ver_lines
R452	ver_lines
R453	ver_lines
R454	ver_lines
R455	ver_lines
R456	ver_lines
R457	ver_lines
R458	ver_lines
R459	ver_lines
R460	ver_lines
R461	ver_lines
R462	ver_lines
R463	ver_lines
R464	ver_lines
R465	ver_lines
R466	ver_lines
R467	ver_lines
R468	ver_lines
R469	ver_lines
R470	ver_lines
R471	ver_lines
R472	ver_lines
R473	ver_lines
R474	ver_lines
R475	ver_lines
R476	ver_lines
R477	ver_lines
R478	ver_lines
R479	ver_lines
R480	ver_lines
R481	ver_lines
R482	ver_lines
R483	ver_lines
R484	ver_lines
R485	ver_lines
R486	ver_lines
R487	ver_lines
R488	ver_lines
R489	ver_lines
R490	ver_lines
R491	ver_lines
R492	ver_lines
R493	ver_lines
R494	ver_lines
R495	ver_lines
R496	ver_lines
R497	ver_lines
R498	ver_lines
R499	ver_lines
R500	ver_lines
R501	ver_lines
R502	ver_lines
R503	ver_lines
R504	ver_lines
R505	ver_lines
R506	ver_lines
R507	ver_lines
R508	ver_lines
R509	ver_lines
R510	ver_lines
R511	ver_lines
R512	ver_lines
R513	ver_lines
R514	ver_lines
R515	ver_lines
R516	ver_lines
R517	ver_lines
R518	ver_lines
R519	ver_lines
R520	ver_lines
R521	ver_lines
R522	ver_lines
R523	ver_lines
R524	ver_lines
R525	ver_lines
R526	ver_lines
R527	ver_lines
R528	ver_lines
R529	ver_lines
R530	ver_lines
R531	ver_lines
R532	ver_lines
R533	ver_lines
R534	ver_lines
