color	height	id	language	name	width
rgb(247,111,109)	14.0	Id0		root	14.0
rgb(247,114,109)	14.0	Id1		lib	14.0
rgb(247,116,109)	14.0	Id2		Doctrine	14.0
rgb(247,118,109)	14.0	Id3		ORM	14.0
rgb(247,121,109)	14.0	Id4		Query	14.0
rgb(247,123,109)	80.6	Id5	PHP	Parser.php	80.6
rgb(247,125,109)	69.9	Id6	PHP	SqlWalker.php	69.9
rgb(247,128,109)	39.7	Id7	PHP	TreeWalkerChain.php	39.7
rgb(247,130,109)	34.5	Id8	PHP	ResultSetMappingBuilder.php	34.5
rgb(247,132,109)	32.8	Id9	PHP	Expr.php	32.8
rgb(247,134,109)	31.9	Id10	PHP	TreeWalkerAdapter.php	31.9
rgb(247,137,109)	29.8	Id11	PHP	ResultSetMapping.php	29.8
rgb(247,139,109)	28.9	Id12	PHP	Lexer.php	28.9
rgb(247,144,109)	26.4	Id13	PHP	QueryException.php	26.4
rgb(247,146,109)	14.0	Id14		Exec	14.0
rgb(247,148,109)	26.1	Id15	PHP	MultiTableUpdateExecutor.php	26.1
rgb(247,150,109)	21.2	Id16	PHP	MultiTableDeleteExecutor.php	21.2
rgb(247,153,109)	13.0	Id17	PHP	SingleTableDeleteUpdateExecutor.php	13.0
rgb(247,155,109)	12.7	Id18	PHP	AbstractSqlExecutor.php	12.7
rgb(247,157,109)	12.1	Id19	PHP	SingleSelectExecutor.php	12.1
rgb(247,160,109)	24.5	Id20	PHP	QueryExpressionVisitor.php	24.5
rgb(247,162,109)	22.1	Id21	PHP	FilterCollection.php	22.1
rgb(247,164,109)	14.0	Id22		AST	14.0
rgb(247,167,109)	14.0	Id23		Functions	14.0
rgb(247,169,109)	20.6	Id24	PHP	SizeFunction.php	20.6
rgb(247,171,109)	19.7	Id25	PHP	IdentityFunction.php	19.7
rgb(247,176,109)	19.6	Id26	PHP	TrimFunction.php	19.6
rgb(247,178,109)	17.8	Id27	PHP	DateAddFunction.php	17.8
rgb(247,180,109)	16.6	Id28	PHP	SubstringFunction.php	16.6
rgb(247,183,109)	16.4	Id29	PHP	LocateFunction.php	16.4
rgb(247,185,109)	14.7	Id30	PHP	DateDiffFunction.php	14.7
rgb(247,187,109)	14.7	Id31	PHP	DateSubFunction.php	14.7
rgb(247,189,109)	14.5	Id32	PHP	BitOrFunction.php	14.5
rgb(247,192,109)	14.5	Id33	PHP	ConcatFunction.php	14.5
rgb(247,194,109)	14.5	Id34	PHP	BitAndFunction.php	14.5
rgb(247,196,109)	14.3	Id35	PHP	ModFunction.php	14.3
rgb(247,199,109)	13.3	Id36	PHP	UpperFunction.php	13.3
rgb(247,201,109)	13.3	Id37	PHP	LengthFunction.php	13.3
rgb(247,203,109)	13.3	Id38	PHP	LowerFunction.php	13.3
rgb(247,206,109)	13.3	Id39	PHP	SqrtFunction.php	13.3
rgb(247,210,109)	13.3	Id40	PHP	AbsFunction.php	13.3
rgb(247,212,109)	12.4	Id41	PHP	FunctionNode.php	12.4
rgb(247,215,109)	12.1	Id42	PHP	CurrentTimeFunction.php	12.1
rgb(247,217,109)	12.1	Id43	PHP	CurrentTimestampFunction.php	12.1
rgb(247,219,109)	12.1	Id44	PHP	CurrentDateFunction.php	12.1
rgb(247,222,109)	18.3	Id45	PHP	Node.php	18.3
