	carat	price
1	1.04	6908
2	0.5	1654
3	1.14	4916
4	0.57	1746
5	0.3	524
6	2	15053
7	1.86	14383
8	0.3	608
9	0.5	1271
10	2.02	17153
11	0.31	749
12	1.19	5497
13	0.36	726
14	0.7	2142
15	2	15330
16	1.38	5641
17	0.41	875
18	1.03	4407
19	1.02	4818
20	0.33	1040
21	1.01	5411
22	1.19	10079
23	1.1	5476
24	1.2	11182
25	1.22	6323
26	1.01	5544
27	1.09	4871
28	1.2	7294
29	0.34	765
30	0.64	2419
31	0.57	1826
32	0.32	524
33	0.7	2116
34	2.2	15092
35	0.74	3170
36	1.47	7573
37	1.01	5534
38	1.06	6663
39	1.52	11033
40	1.23	5820
41	0.32	575
42	0.91	5484
43	0.3	787
44	0.79	3861
45	0.35	1000
46	0.74	2852
47	0.31	802
48	0.33	854
49	2	11189
50	0.51	1080
51	0.5	1242
52	1.04	4828
53	0.63	1196
54	1.2	6703
55	0.7	1990
56	1	5121
57	1.09	6643
58	0.33	1002
59	2.01	11156
60	1.09	6453
61	1.01	9077
62	1.71	16817
63	0.92	2283
64	0.33	445
65	1.6	12210
66	1.26	6332
67	0.56	1803
68	1.01	4638
69	0.75	2850
70	0.48	1088
71	1.5	5141
72	0.31	734
73	0.51	1632
74	1.1	10350
75	0.5	1074
76	0.9	4919
77	0.54	2776
78	0.6	2125
79	1.17	3669
80	0.73	2548
81	0.24	378
82	0.54	1774
83	2.01	12271
84	0.53	1415
85	0.71	1968
86	0.5	1679
87	0.33	723
88	0.35	1024
89	0.39	911
90	1.05	7667
91	1.2	11839
92	0.55	1593
93	0.92	4637
94	1.02	4541
95	0.71	3064
96	0.32	374
97	0.51	1281
98	1.01	7240
99	0.91	4108
100	0.49	1934
101	0.3	421
102	0.74	2604
103	0.56	2117
104	0.71	3112
105	0.28	504
106	1.2	5613
107	1.36	8927
108	0.77	2670
109	0.41	611
110	1.05	9784
111	0.43	919
112	0.53	1697
113	1.3	8256
114	0.59	1816
115	1.16	5576
116	0.43	1207
117	0.53	1739
118	0.7	2110
119	0.51	1574
120	0.34	803
121	2.02	13286
122	1.23	6817
123	0.75	2523
124	0.8	1350
125	0.6	1033
126	0.91	3659
127	0.31	408
128	0.51	1146
129	0.36	1094
130	0.52	1680
131	0.4	730
132	0.93	4534
133	0.7	2504
134	0.33	855
135	0.5	1370
136	0.58	1979
137	0.52	1664
138	2.02	15498
139	0.7	2028
140	0.7	3018
141	1.54	10977
142	0.84	3279
143	0.48	1590
144	0.3	652
145	1.3	7855
146	1.04	6906
147	0.58	1439
148	1.53	15592
149	1	6762
150	2.52	18179
151	1.12	4829
152	0.41	1153
153	2.22	18432
154	1.27	7715
155	0.51	1423
156	0.41	947
157	0.62	1234
158	1.13	3607
159	1	16469
160	0.38	751
161	1.04	6617
162	0.31	571
163	0.53	2001
164	0.4	786
165	0.31	684
166	0.41	1295
167	1.54	15444
168	1.24	4278
169	0.73	3308
170	0.72	2872
171	0.59	1217
172	0.64	1873
173	2.02	15851
174	1.01	5786
175	0.9	4838
176	0.31	687
177	0.36	945
178	0.3	844
179	1.01	4909
180	0.32	540
181	0.71	2173
182	0.7	2034
183	1.03	5105
184	0.39	787
185	0.76	3864
186	1.34	8094
187	0.34	726
188	4.13	17329
189	0.41	969
190	1.04	5311
191	0.31	446
192	0.53	1946
193	0.3	608
194	1.2	5884
195	0.74	2849
196	0.31	698
197	0.3	405
198	0.37	1041
199	0.31	802
200	0.47	1221
201	0.51	1985
202	1.76	9659
203	1.51	13325
204	0.79	2555
205	1.01	6533
206	2.02	13677
207	0.4	516
208	0.28	536
209	0.58	1600
210	0.5	1378
211	2.04	18468
212	2.02	17166
213	0.6	3333
214	0.7	2453
215	0.8	2304
216	1.7	12099
217	0.7	2202
218	1.05	6279
219	1.11	4755
220	0.52	2105
221	0.7	4458
222	0.3	621
223	1.26	7824
224	0.35	773
225	0.32	936
226	1.03	4800
227	1.45	4570
228	0.54	2090
229	0.83	3506
230	0.43	1129
231	0.3	608
232	1.15	8743
233	1.18	6661
234	0.54	1593
235	1.52	10609
236	0.53	2395
237	0.76	2622
238	0.4	596
239	0.71	2340
240	0.52	1815
241	1.01	10993
242	0.33	579
243	0.3	776
244	0.31	698
245	0.3	411
246	0.73	2760
247	0.72	2136
