	clarity	color	cut	depth	table	x	y	z
1	VS2	F	Premium	61.9	58	6.55	6.51	4.04
2	VS2	F	Premium	61.1	60	5.12	5.1	3.12
3	SI1	H	Ideal	62.2	57	6.73	6.67	4.17
4	SI2	F	Premium	62.1	59	5.33	5.29	3.3
5	VS2	F	Very Good	61.4	55	4.32	4.37	2.67
6	SI1	I	Very Good	59.8	59	8.12	8.17	4.87
7	SI1	H	Very Good	62.6	58	7.77	7.82	4.88
8	VS1	I	Ideal	62.5	54	4.32	4.29	2.69
9	VS1	G	Fair	64.9	57	4.98	4.94	3.22
10	VS1	I	Premium	61.2	59	8.13	8.05	4.95
11	VS2	F	Very Good	63.5	55	4.32	4.31	2.74
12	SI2	E	Ideal	61.9	56	6.8	6.84	4.22
13	VS1	G	Premium	61.7	59	4.55	4.59	2.82
14	SI1	I	Good	63.6	61	5.63	5.59	3.57
15	SI1	E	Fair	65.7	60	7.7	7.8	5.09
16	SI2	H	Premium	60.2	60	7.31	7.24	4.37
17	VVS1	I	Ideal	61.7	57	4.73	4.76	2.93
18	SI2	G	Ideal	62.1	56	6.44	6.48	4.01
19	SI2	D	Premium	62.5	59	6.38	6.43	4
20	VVS2	F	Ideal	61.3	56	4.46	4.44	2.73
21	SI1	E	Good	63.2	59	6.27	6.35	3.99
22	VS1	D	Ideal	61.1	57	6.84	6.87	4.19
23	SI1	H	Premium	60.7	59	6.72	6.7	4.07
24	VVS1	F	Good	63.6	57	6.74	6.71	4.28
25	SI1	H	Very Good	62.4	57	6.78	6.82	4.24
26	SI1	D	Good	65.1	57	6.3	6.32	4.11
27	SI1	H	Ideal	61.9	56	6.64	6.61	4.1
28	VS1	H	Ideal	62	57	6.69	6.76	4.17
29	VS1	H	Premium	62.2	58	4.48	4.43	2.77
30	VS2	F	Ideal	62.3	56	5.51	5.53	3.44
31	VS2	E	Very Good	59.5	56	5.45	5.47	3.25
32	SI1	E	Premium	61.2	58	4.37	4.42	2.69
33	SI2	E	Good	61	64	5.63	5.69	3.45
34	VS1	I	Ideal	61.4	57	8.41	8.37	5.15
35	VS1	F	Ideal	62.3	56	5.79	5.76	3.6
36	SI2	H	Premium	59.3	59	7.39	7.34	4.37
37	SI1	E	Ideal	62	56	6.41	6.47	3.99
38	VS1	G	Very Good	62.8	54	6.5	6.56	4.1
39	VVS1	I	Ideal	62.3	55	7.32	7.37	4.58
40	SI2	I	Ideal	61.8	55	6.87	6.91	4.26
41	VVS1	I	Ideal	61.4	56	4.42	4.44	2.72
42	VS2	G	Very Good	62.3	59	6.13	6.17	3.83
43	VVS2	D	Good	63.5	58	4.23	4.31	2.71
44	VS2	E	Ideal	62.2	55	5.97	5.9	3.69
45	VVS1	E	Ideal	61.7	54	4.56	4.58	2.82
46	SI1	G	Ideal	61.3	55	5.85	5.86	3.59
47	VS2	F	Ideal	62.1	57	4.36	4.34	2.7
48	VS2	F	Ideal	61.6	55	4.48	4.45	2.75
49	SI1	J	Very Good	63.3	59	7.95	7.89	5.01
50	SI1	I	Premium	62.7	59	5.09	5.06	3.18
51	VS1	I	Very Good	63	55	5.07	5.09	3.2
52	SI1	F	Good	63.1	57	6.36	6.41	4.03
53	SI2	H	Ideal	61.7	55	5.51	5.56	3.41
54	SI1	E	Very Good	61	59	6.91	6.83	4.19
55	SI2	D	Very Good	60.9	60	5.68	5.72	3.47
56	VS2	H	Very Good	62.9	57	6.31	6.35	3.98
57	VS1	H	Ideal	61.3	54	6.66	6.68	4.09
58	VS2	D	Ideal	61.9	57	4.47	4.42	2.75
59	SI2	E	Fair	65.5	56	7.84	7.79	5.12
60	VS2	H	Ideal	62.9	58	6.56	6.51	4.11
61	VS1	F	Ideal	62.2	56	6.4	6.46	4
62	VS2	G	Ideal	61.8	57	7.7	7.6	4.73
63	SI2	H	Fair	66.1	57	6.22	6	4.05
64	SI1	I	Good	63.2	58	4.36	4.38	2.76
65	VS1	H	Premium	60	59	7.61	7.58	4.56
66	VS1	J	Ideal	62.2	58	6.88	6.92	4.29
67	SI1	D	Ideal	61.9	55	5.31	5.29	3.28
68	SI1	I	Ideal	61.9	59	6.38	6.42	3.96
69	SI1	J	Ideal	61.5	56	5.83	5.87	3.6
70	VS2	G	Good	65.4	59	4.79	4.88	3.16
71	I1	J	Very Good	63.3	58	7.27	7.23	4.59
72	VS2	D	Ideal	61.2	55	4.37	4.39	2.68
73	VS1	F	Ideal	61.8	54	5.15	5.18	3.19
74	VS2	D	Ideal	61.7	56	6.63	6.67	4.1
75	VS2	H	Very Good	61.8	63	5.05	5.08	3.13
76	VS2	E	Very Good	62.1	55	6.14	6.23	3.84
77	VVS2	E	Ideal	61.6	56	5.25	5.27	3.24
78	VS2	D	Ideal	60.4	57	5.53	5.49	3.33
79	I1	H	Premium	62.8	58	6.71	6.69	4.21
80	SI1	D	Very Good	63.6	57	5.68	5.71	3.62
81	VS1	E	Very Good	60.1	57	4.08	4.1	2.46
82	VS1	F	Ideal	61.1	57	5.28	5.3	3.23
83	SI1	I	Very Good	63.5	55	8.07	8.01	5.11
84	SI1	E	Very Good	59.7	59	5.27	5.29	3.15
85	VS2	J	Premium	60.1	61	5.82	5.77	3.48
86	VS1	F	Ideal	62.5	52.4	5.07	5.11	3.18
87	VS2	E	Very Good	62.8	56	4.41	4.45	2.78
88	VVS2	G	Premium	62.8	58	4.48	4.44	2.8
89	VS2	E	Ideal	61.3	56	4.71	4.75	2.9
90	VVS2	G	Very Good	59.8	60	6.54	6.61	3.93
91	VVS2	E	Ideal	62.2	57	6.81	6.77	4.22
92	VVS1	I	Ideal	62.7	57	5.17	5.23	3.26
93	SI1	E	Premium	61.7	57	6.32	6.2	3.86
94	SI2	F	Premium	61.1	59	6.45	6.41	3.93
