	Total	Democrat	Republican	Libertarian	Other
AL	1665573	692611	941173	5893	25896
AK	285560	79004	167398	2636	36522
AZ	1532016	685341	781652	5775	59248
AR	921781	422768	472940	2781	23292
CA	10965822	5861203	4567429	45520	491670
CO	1741368	738227	883748	12799	106594
CT	1459525	816015	561094	3484	78932
DE	327529	180068	137288	774	9399
DC	201894	171923	18073	669	11229
FL	5963110	2912253	2912790	16415	121652
GA	2583208	1116230	1419720	36332	10926
HI	367951	205286	137845	1477	23343
ID	501615	138637	336937	3488	22553
IL	4742108	2589026	2019421	11623	122038
IN	2199302	901980	1245836	15530	35956
IA	1353022	638517	634373	3209	76923
KS	1072216	399276	622332	4525	46083
KY	1544106	638923	872520	2885	29778
LA	1765656	792344	927871	2951	42490
ME	651817	319951	286616	3074	42176
MD	2025212	1144008	813827	5310	62067
MA	2733964	1616487	878502	16366	222609
MI	4232501	2170418	1953139	16711	92233
MN	2438685	1168266	1109659	5282	155478
MS	994184	404614	572844	2009	14717
MO	2359892	1111138	1189924	7436	51394
MT	410986	137126	240178	1718	31964
NE	697019	231780	433862	2245	29132
NV	609426	279978	301575	3311	24562
NH	569081	266348	273559	2757	26417
NJ	3187226	1788850	1284173		114203
NM	598605	286783	286417	2058	23347
NY	6960215	3942215	2258577	7649	751774
NC	2901099	1257692	1631163		12244
ND	288256	95284	174852		18120
OH	4701998	2183628	2350363	13473	154534
OK	1234229	474276	744337	6602	9014
OR	1533950	720342	713577	7447	92584
PA	4923433	2485967	2281127	11248	145091
RI	409112	249508	130555	742	28307
SC	1383902	566037	786892	4760	26213
SD	316269	118804	190700	1662	5103
TN	2076181	981720	1061949		32512
TX	6407637	2433746	3799639	23160	151092
UT	770754	203053	515096	3616	48989
VT	294308	149022	119775	784	24727
VA	2739447	1217290	1437490	15198	69469
WA	2487433	1247652	1108864	13135	117782
WV	648124	295497	336475	1912	14240
WI	2598607	1242987	1237279	6640	111701
WY	213726	60481	147947	1443	3855
