	State	Winner
AL	Alabama	Republican
AK	Alaska	Republican
AZ	Arizona	Republican
AR	Arkansas	Republican
CA	California	Democrat
CO	Colorado	Republican
CT	Connecticut	Democrat
DE	Delaware	Democrat
DC	District of Columbia	Democrat
FL	Florida	Republican
GA	Georgia	Republican
HI	Hawaii	Democrat
ID	Idaho	Republican
IL	Illinois	Democrat
IN	Indiana	Republican
IA	Iowa	Democrat
KS	Kansas	Republican
KY	Kentucky	Republican
LA	Louisiana	Republican
ME	Maine	Democrat
MD	Maryland	Democrat
MA	Massachusetts	Democrat
MI	Michigan	Democrat
MN	Minnesota	Democrat
MS	Mississippi	Republican
MO	Missouri	Republican
MT	Montana	Republican
NE	Nebraska	Republican
NV	Nevada	Republican
NH	New Hampshire	Republican
NJ	New Jersey	Democrat
NM	New Mexico	Democrat
NY	New York	Democrat
NC	North Carolina	Republican
ND	North Dakota	Republican
OH	Ohio	Republican
OK	Oklahoma	Republican
OR	Oregon	Democrat
PA	Pennsylvania	Democrat
RI	Rhode Island	Democrat
SC	South Carolina	Republican
SD	South Dakota	Republican
TN	Tennessee	Republican
TX	Texas	Republican
UT	Utah	Republican
VT	Vermont	Democrat
VA	Virginia	Republican
WA	Washington	Democrat
WV	West Virginia	Republican
WI	Wisconsin	Democrat
WY	Wyoming	Republican
