	dataset
BRCA1	BRCA
BRCA2	BRCA
BRCA3	BRCA
BRCA4	BRCA
BRCA5	BRCA
BRCA6	BRCA
BRCA7	BRCA
BRCA8	BRCA
BRCA9	BRCA
BRCA10	BRCA
BRCA11	BRCA
BRCA12	BRCA
BRCA13	BRCA
BRCA14	BRCA
BRCA15	BRCA
BRCA16	BRCA
BRCA17	BRCA
BRCA18	BRCA
BRCA19	BRCA
BRCA20	BRCA
BRCA21	BRCA
BRCA22	BRCA
BRCA23	BRCA
BRCA24	BRCA
BRCA25	BRCA
BRCA26	BRCA
BRCA27	BRCA
BRCA28	BRCA
BRCA29	BRCA
BRCA30	BRCA
BRCA31	BRCA
BRCA32	BRCA
BRCA33	BRCA
BRCA34	BRCA
BRCA35	BRCA
BRCA36	BRCA
BRCA37	BRCA
BRCA38	BRCA
BRCA39	BRCA
BRCA40	BRCA
BRCA41	BRCA
BRCA42	BRCA
BRCA43	BRCA
BRCA44	BRCA
BRCA45	BRCA
BRCA46	BRCA
BRCA47	BRCA
BRCA48	BRCA
BRCA49	BRCA
BRCA50	BRCA
BRCA51	BRCA
BRCA52	BRCA
BRCA53	BRCA
BRCA54	BRCA
BRCA55	BRCA
BRCA56	BRCA
BRCA57	BRCA
BRCA58	BRCA
BRCA59	BRCA
BRCA60	BRCA
BRCA61	BRCA
BRCA62	BRCA
BRCA63	BRCA
BRCA64	BRCA
BRCA65	BRCA
BRCA66	BRCA
BRCA67	BRCA
BRCA68	BRCA
BRCA69	BRCA
BRCA70	BRCA
BRCA71	BRCA
BRCA72	BRCA
BRCA73	BRCA
BRCA74	BRCA
BRCA75	BRCA
BRCA76	BRCA
BRCA77	BRCA
BRCA78	BRCA
BRCA79	BRCA
BRCA80	BRCA
BRCA81	BRCA
BRCA82	BRCA
BRCA83	BRCA
BRCA84	BRCA
BRCA85	BRCA
BRCA86	BRCA
BRCA87	BRCA
BRCA88	BRCA
BRCA89	BRCA
BRCA90	BRCA
BRCA91	BRCA
BRCA92	BRCA
BRCA93	BRCA
BRCA94	BRCA
BRCA95	BRCA
BRCA96	BRCA
BRCA97	BRCA
BRCA98	BRCA
BRCA99	BRCA
BRCA100	BRCA
BRCA101	BRCA
BRCA102	BRCA
BRCA103	BRCA
BRCA104	BRCA
BRCA105	BRCA
BRCA106	BRCA
BRCA107	BRCA
BRCA108	BRCA
BRCA109	BRCA
BRCA110	BRCA
BRCA111	BRCA
BRCA112	BRCA
BRCA113	BRCA
BRCA114	BRCA
BRCA115	BRCA
BRCA116	BRCA
BRCA117	BRCA
BRCA118	BRCA
BRCA119	BRCA
BRCA120	BRCA
BRCA121	BRCA
BRCA122	BRCA
BRCA123	BRCA
BRCA124	BRCA
BRCA125	BRCA
BRCA126	BRCA
BRCA127	BRCA
BRCA128	BRCA
BRCA129	BRCA
BRCA130	BRCA
BRCA131	BRCA
BRCA132	BRCA
BRCA133	BRCA
BRCA134	BRCA
BRCA135	BRCA
BRCA136	BRCA
BRCA137	BRCA
BRCA138	BRCA
BRCA139	BRCA
BRCA140	BRCA
BRCA141	BRCA
BRCA142	BRCA
BRCA143	BRCA
BRCA144	BRCA
BRCA145	BRCA
BRCA146	BRCA
BRCA147	BRCA
BRCA148	BRCA
BRCA149	BRCA
BRCA150	BRCA
BRCA151	BRCA
BRCA152	BRCA
BRCA153	BRCA
BRCA154	BRCA
BRCA155	BRCA
BRCA156	BRCA
BRCA157	BRCA
BRCA158	BRCA
BRCA159	BRCA
BRCA160	BRCA
BRCA161	BRCA
BRCA162	BRCA
BRCA163	BRCA
BRCA164	BRCA
BRCA165	BRCA
BRCA166	BRCA
BRCA167	BRCA
BRCA168	BRCA
BRCA169	BRCA
BRCA170	BRCA
BRCA171	BRCA
BRCA172	BRCA
BRCA173	BRCA
BRCA174	BRCA
BRCA175	BRCA
BRCA176	BRCA
BRCA177	BRCA
BRCA178	BRCA
BRCA179	BRCA
BRCA180	BRCA
BRCA181	BRCA
BRCA182	BRCA
BRCA183	BRCA
BRCA184	BRCA
BRCA185	BRCA
BRCA186	BRCA
BRCA187	BRCA
BRCA188	BRCA
BRCA189	BRCA
BRCA190	BRCA
BRCA191	BRCA
BRCA192	BRCA
BRCA193	BRCA
BRCA194	BRCA
BRCA195	BRCA
BRCA196	BRCA
BRCA197	BRCA
BRCA198	BRCA
BRCA199	BRCA
BRCA200	BRCA
BRCA201	BRCA
BRCA202	BRCA
BRCA203	BRCA
BRCA204	BRCA
BRCA205	BRCA
BRCA206	BRCA
BRCA207	BRCA
BRCA208	BRCA
BRCA209	BRCA
BRCA210	BRCA
BRCA211	BRCA
BRCA212	BRCA
BRCA213	BRCA
BRCA214	BRCA
BRCA215	BRCA
BRCA216	BRCA
BRCA217	BRCA
BRCA218	BRCA
BRCA219	BRCA
BRCA220	BRCA
BRCA221	BRCA
BRCA222	BRCA
BRCA223	BRCA
BRCA224	BRCA
BRCA225	BRCA
BRCA226	BRCA
BRCA227	BRCA
BRCA228	BRCA
BRCA229	BRCA
BRCA230	BRCA
BRCA231	BRCA
BRCA232	BRCA
BRCA233	BRCA
BRCA234	BRCA
BRCA235	BRCA
BRCA236	BRCA
BRCA237	BRCA
BRCA238	BRCA
BRCA239	BRCA
BRCA240	BRCA
BRCA241	BRCA
BRCA242	BRCA
BRCA243	BRCA
BRCA244	BRCA
BRCA245	BRCA
BRCA246	BRCA
BRCA247	BRCA
BRCA248	BRCA
BRCA249	BRCA
BRCA250	BRCA
BRCA251	BRCA
BRCA252	BRCA
BRCA253	BRCA
BRCA254	BRCA
BRCA255	BRCA
BRCA256	BRCA
BRCA257	BRCA
BRCA258	BRCA
BRCA259	BRCA
BRCA260	BRCA
BRCA261	BRCA
BRCA262	BRCA
BRCA263	BRCA
BRCA264	BRCA
BRCA265	BRCA
BRCA266	BRCA
BRCA267	BRCA
BRCA268	BRCA
BRCA269	BRCA
BRCA270	BRCA
BRCA271	BRCA
BRCA272	BRCA
BRCA273	BRCA
BRCA274	BRCA
BRCA275	BRCA
BRCA276	BRCA
BRCA277	BRCA
BRCA278	BRCA
BRCA279	BRCA
BRCA280	BRCA
BRCA281	BRCA
BRCA282	BRCA
BRCA283	BRCA
BRCA284	BRCA
BRCA285	BRCA
BRCA286	BRCA
BRCA287	BRCA
BRCA288	BRCA
