	GATA3	PTEN	XBP1
BRCA1	2.87	1.36	2.98
BRCA2	2.17	0.43	2.55
BRCA3	1.32	1.31	3.02
BRCA4	1.84	0.81	3.13
BRCA5	-6.03	0.25	-1.45
BRCA6	1.8	1.31	4.04
BRCA7	-4.88	-0.24	-0.72
BRCA8	-3.14	-1.24	-1.19
BRCA9	2.03	1.21	2.28
BRCA10	-0.29	0.29	-1.6
BRCA11	-0.8	-0.17	0.33
BRCA12	2.65	0.58	3.06
BRCA13	-2.31	0	-1.18
BRCA14	-3.76	0.46	-2.44
BRCA15	3.93	0.71	2.09
BRCA16	-1.28	0.37	1.72
BRCA17	1.62	0.92	2.01
BRCA18	1.87	-0.04	1.18
BRCA19	1.47	0.15	1.51
BRCA20	-2.96	1.36	-1.15
BRCA21	2.35	0.94	0.96
BRCA22	2.46	0.64	2.45
BRCA23	3.37	-0.14	2.45
BRCA24	2.98	0.27	3.19
BRCA25	2.26	0.47	2.78
BRCA26	1.99	0.98	1.44
BRCA27	1.54	0.46	1.62
BRCA28	1.48	0.86	1.03
BRCA29	0.04	0.64	1.14
BRCA30	2.31	0.98	0.42
BRCA31	-2.2	0.34	-1.81
BRCA32	1.82	1.1	2.16
BRCA33	-1.29	-0.7	-0.87
BRCA34	2.98	0.27	2.93
BRCA35	2.13	-0.13	2.48
BRCA36	1.99	1.36	2.36
BRCA37	1.38	0.78	1.93
BRCA38	1.8	1.25	2.48
BRCA39	1.83	0.73	1.88
BRCA40	2.95	1.03	3.49
BRCA41	0.79	1.12	3.35
BRCA42	2.79	1.01	1.88
BRCA43	2.64	0.55	3.47
BRCA44	1.71	0.93	2.53
BRCA45	1.55	1.34	2.54
BRCA46	1.76	1.09	2.3
BRCA47	1.22	0.4	2.71
BRCA48	-0.08	1.11	0.6
BRCA49	2.83	0.56	2.29
BRCA50	1.83	0.34	1.88
BRCA51	0.36	0.82	1.5
BRCA52	-1.74	1.22	0.38
BRCA53	2.09	1.25	3.7
BRCA54	0.34	-0.55	0.84
BRCA55	0.11	0.39	1.44
BRCA56	0.16	-1.12	-1.75
BRCA57	2.12	1.27	2.98
BRCA58	2.37	1.14	2.48
BRCA59	1.94	0.94	2.68
BRCA60	1.93	1.39	1.27
BRCA61	1.7	1.09	1.91
BRCA62	2.25	2.2	4.03
BRCA63	2.19	0.86	2.15
BRCA64	-2.94	-1.58	-0.92
BRCA65	1.73	0.85	2.74
BRCA66	1.43	0.28	2.14
