	FL1-A	FL2-A
V1	2376	6343
V2	1072	3098
V3	1344	4923
V4	2004	4568
V5	1075	2779
V6	2696	6920
V7	2262	6384
V8	2114	6248
V9	1437	5432
V10	1512	4212
V11	1839	4728
V12	1980	4912
V13	2085	5957
V14	1049	2982
V15	1939	5944
V16	798	3450
V17	204478	5548
V18	9898	2140
V19	100516	2507
V20	2498	6696
V21	1232	4158
V22	3005	7330
V23	217	283
V24	1916	5408
V25	127	419
V26	3403	4108
V27	173	761
V28	2604	5938
V29	3229	6348
V30	1661	6246
V31	2988	6319
V32	988	2862
V33	1783	5733
V34	1593	5033
V35	1623	3978
V36	2498	4685
V37	17944	3116
V38	2498	6518
V39	1375	4718
V40	1322	4109
V41	1313	6684
V42	1879	5202
V43	67515	3779
V44	1972	2767
V45	1397	4786
V46	894	5098
V47	19839	3177
V48	1117	6020
V49	1164	4739
V50	2410	5536
V51	122181	3389
V52	14640	2485
V53	4052	2914
V54	2213	5171
V55	2346	6895
V56	1697	5719
V57	986	3173
V58	1632	6001
V59	1835	3058
V60	1885	5330
V61	2658	7301
V62	4158	9723
V63	2121	5441
V64	1381	3779
V65	4034	5901
V66	1572	4478
V67	4990	11956
V68	5273	10520
V69	1766	3046
V70	1581	5641
V71	181089	4622
V72	1778	5786
V73	1993	3820
V74	1794	3405
V75	1417	5094
V76	2676	5281
V77	2116	3998
V78	2380	4598
V79	499665	15636
V80	1230	3955
V81	1521	4681
V82	80282	2666
V83	1140	3928
V84	200375	5226
V85	1378	3804
V86	1326	3553
V87	1862	4773
V88	1631	4828
V89	45	199
V90	2668	6708
V91	2179	5613
V92	22390	3155
V93	881	4617
V94	841	3761
V95	211798	3528
V96	1925	5130
V97	1787	5322
V98	1674	3506
V99	2332	6161
V100	4661	6419
V101	2879	5101
V102	2613	6580
V103	40480	3157
V104	2347	5626
V105	1714	5960
V106	1931	4357
V107	1242	2618
V108	2377	4749
V109	13952	3388
V110	849	1330
V111	1234	3845
V112	1405	4058
V113	1359	4748
V114	2168	5698
V115	2224	7488
V116	1845	7033
V117	1760	5956
V118	2183	3261
V119	2704	6396
V120	1679	4843
V121	1485	4948
V122	1785	3136
V123	117151	2536
V124	1061	3340
V125	1667	4272
V126	1138	5269
V127	2162	6019
V128	1729	4756
V129	1214	2935
V130	1875	3229
V131	1659	5584
V132	1940	5430
V133	1023	2868
V134	874	734
V135	1127	4174
V136	2549	5800
V137	351962	8297
V138	1567	3913
V139	1328	3624
V140	1163	782
V141	1438	6438
V142	832	720
V143	369	627
V144	1158	2918
V145	2458	7199
V146	1340	4477
V147	2405	4932
V148	2409	6944
V149	2703	5438
V150	1474	3963
V151	1222	3706
V152	1899	5960
V153	2356	5334
V154	11279	4027
V155	18603	9613
V156	1810	2759
V157	1949	5713
V158	3070	2764
V159	1894	8031
V160	2359	7754
V161	2725	6195
V162	1577	6570
V163	727	513
V164	195	745
V165	2341	5291
V166	2986	8716
V167	2145	5987
V168	1325	3728
V169	2290	5648
V170	1632	4708
V171	2293	5761
V172	2374	6305
V173	1145	4239
V174	2029	5197
V175	1372	4516
V176	286758	5612
V177	2590	5713
V178	2447	3919
V179	3223	6124
V180	1589	5175
V181	2836	6551
V182	524	1776
V183	96604	4017
V184	1895	5753
V185	1161	3405
V186	2101	5565
V187	333	200
V188	2832	6166
V189	1270	3189
V190	256	355
V191	2296	5751
V192	4699	14226
V193	1751	3456
V194	2199	5326
V195	22715	2370
V196	3032	882
V197	1504	4168
V198	1793	3701
V199	3030	6069
V200	1805	6883
V201	1421	3699
V202	2395	5476
V203	1990	5300
V204	512	670
V205	1662	4746
V206	2662	5862
V207	26390	5131
V208	11748	2730
V209	1208	4013
V210	2004	6037
V211	1559	4188
V212	3034	4939
V213	1322	360
V214	2857	7221
V215	2479	7726
V216	3224	8044
V217	10706	2164
V218	1720	3779
V219	3717	3200
V220	780	2910
V221	2912	5260
V222	4852	12246
V223	6426	6165
V224	619	4233
V225	1034	3237
V226	1545	3846
V227	1588	5152
V228	1186	3281
V229	2256	6784
V230	1326	3978
V231	5551	4485
V232	1610	7836
V233	5948	4991
V234	3004	8195
V235	1545	5009
V236	110	245
V237	1911	4232
V238	2419	5181
V239	82465	3980
V240	2530	5091
V241	2403	6693
V242	1723	3690
V243	2556	5903
V244	329	446
V245	65064	2366
V246	2653	4112
V247	1493	4432
V248	2541	4963
V249	1739	5061
V250	1723	3164
V251	1759	6100
V252	395	765
V253	148	610
V254	1979	6161
V255	8952	2935
V256	193	460
V257	2727	7123
V258	2640	6433
V259	979	1643
V260	1357	3463
V261	58	241
V262	5184	9800
V263	2184	5768
V264	1271	5321
V265	189	109
V266	1712	5993
V267	2068	6534
V268	1157	2484
V269	431	721
V270	151	61
V271	781	2721
V272	1928	5769
V273	1390	5951
V274	754	2812
V275	1802	9912
