	year	total_wealth
1	2000	1553
2	2001	1733
3	2002	2004
4	2003	2432
5	2004	2935
6	2005	3266
7	2000	3704
8	2006	3833
9	2001	4136
10	2001	4645
11	2008	4663
12	2000	4704
13	2002	4771
14	2007	4985
15	2009	5645
16	2003	5668
17	2002	5921
18	2001	5990
19	2000	6160
20	2001	6555
21	2000	6565
22	2011	6607
23	2010	6810
24	2004	6840
25	2002	7146
26	2012	7353
27	2013	7541
28	2002	7912
29	2003	7979
30	2014	8283
31	2005	8522
32	2015	8948
33	2003	8955
34	2005	9073
35	2008	9513
36	2003	9557
37	2005	9679
38	2004	9833
39	2016	9886
40	2004	10027
41	2006	10344
42	2006	10394
43	2005	10949
44	2009	11193
45	2010	11199
46	2004	11385
47	2015	11594
48	2011	11619
49	2008	11630
50	2016	11729
51	2017	11769
52	2011	11900
53	2010	11934
54	2015	12009
55	2006	12040
56	2016	12160
57	2018	12182
58	2012	12190
59	2007	12302
60	2009	12425
61	2014	12461
62	2016	12593
63	2012	12665
64	2020	12700
65	2014	12799
66	2008	12907
67	2019	13264
68	2013	13269
69	2006	13296
70	2018	13331
71	2009	13369
72	2012	13384
73	2011	13428
74	2018	13470
75	2010	13526
76	2017	13845
77	2013	13846
78	2015	13978
79	2007	14010
80	2014	14017
81	2019	14063
82	2019	14082
83	2013	14098
84	2021	14225
85	2007	14281
86	2017	14501
87	2007	14524
88	2017	14637
89	2018	14681
90	2019	15356
91	2020	15676
92	2021	16159
93	2021	16261
94	2020	16282
95	2001	16324
96	2020	17390
97	2021	17489
98	2008	17723
99	2002	17765
100	2000	19404
101	2005	19476
102	2006	19686
103	2003	19816
104	2009	19986
105	2004	20131
106	2007	20152
107	2014	21004
108	2015	21519
109	2016	22364
110	2013	23122
111	2009	23743
112	2017	23854
113	2018	24075
114	2008	24129
115	2019	25303
116	2010	25493
117	2021	25692
118	2012	27161
119	2020	27261
120	2010	28640
121	2011	29718
122	2011	30920
123	2001	31736
124	2000	32331
125	2012	34611
126	2002	38045
127	2013	40826
128	2000	43423
129	2014	44887
130	2001	45043
131	2002	45185
132	2015	46535
133	2003	48382
134	2003	50231
135	2016	52028
136	2004	57066
137	2004	57202
138	2005	58751
139	2008	59478
140	2009	61171
141	2017	62361
142	2005	62634
143	2010	64661
144	2011	65788
145	2018	65943
146	2006	66897
147	2007	68235
148	2019	70211
149	2012	70808
150	2006	70942
151	2020	73940
152	2008	76574
153	2013	79226
154	2007	84883
155	2014	85106
156	2021	85107
157	2009	85453
158	2015	87959
159	2010	89622
160	2011	90981
161	2016	93094
162	2015	95156
163	2016	97837
164	2012	98580
165	2014	99197
166	2017	101817
167	2018	102376
168	2013	103366
169	2018	113005
170	2019	114896
171	2017	114962
172	2019	121405
173	2020	126300
174	2020	132568
175	2021	142841
176	2021	145793
