	Dose	Dose-Type	Site	Treatment
S1	0		Site1	Control
S2	0		Site1	Control
S3	0		Site1	Control
S4	0		Site1	Control
S5	0		Site1	Control
S6	5	Dose1	Site2	TreatmentA
S7	5	Dose1	Site2	TreatmentB
S8	10	Dose2	Site2	TreatmentA
S9	10	Dose2	Site2	TreatmentB
S10	15	Dose3	Site2	TreatmentA
S11	15	Dose3	Site2	TreatmentB
S12	20	Dose4	Site2	TreatmentA
S13	20	Dose4	Site2	TreatmentB
S14	25	Dose5	Site2	TreatmentA
S15	25	Dose5	Site2	TreatmentB
S16	5	Dose1	Site3	TreatmentA
S17	5	Dose1	Site3	TreatmentB
S18	10	Dose2	Site3	TreatmentA
S19	10	Dose2	Site3	TreatmentB
S20	15	Dose3	Site3	TreatmentA
S21	15	Dose3	Site3	TreatmentB
S22	20	Dose4	Site3	TreatmentA
S23	20	Dose4	Site3	TreatmentB
S24	25	Dose5	Site3	TreatmentA
S25	25	Dose5	Site3	TreatmentB
