id1	id2
Id0	Id1
Id1	Id2
Id1	Id3
Id1	Id4
Id1	Id5
Id1	Id6
Id1	Id7
Id1	Id8
Id1	Id9
Id1	Id10
Id1	Id11
Id1	Id12
Id0	Id13
Id13	Id14
Id14	Id15
Id14	Id16
Id14	Id17
Id14	Id18
Id14	Id19
Id14	Id20
Id14	Id21
Id14	Id22
Id14	Id23
Id14	Id24
Id14	Id25
Id14	Id26
Id14	Id27
Id14	Id28
Id14	Id29
Id14	Id30
Id14	Id31
Id14	Id32
Id14	Id33
Id13	Id34
Id13	Id35
Id35	Id36
Id35	Id37
Id35	Id38
Id35	Id39
Id39	Id40
Id39	Id41
Id35	Id42
Id42	Id43
Id42	Id44
Id42	Id45
Id42	Id46
Id42	Id47
Id42	Id48
Id42	Id49
Id35	Id50
Id50	Id51
Id35	Id52
Id52	Id53
Id52	Id54
Id52	Id55
Id52	Id56
Id52	Id57
Id35	Id58
Id35	Id59
Id59	Id60
Id35	Id61
Id35	Id62
Id62	Id63
Id35	Id64
Id64	Id65
Id64	Id66
Id35	Id67
Id35	Id68
Id68	Id69
Id68	Id70
Id68	Id71
Id68	Id72
Id35	Id73
Id35	Id74
Id35	Id75
Id35	Id76
Id35	Id77
Id35	Id78
Id35	Id79
Id35	Id80
Id35	Id81
Id35	Id82
Id35	Id83
Id35	Id84
Id35	Id85
Id35	Id86
Id35	Id87
Id35	Id88
Id35	Id89
Id35	Id90
Id35	Id91
Id35	Id92
Id35	Id93
Id35	Id94
Id35	Id95
Id35	Id96
Id35	Id97
Id35	Id98
Id35	Id99
Id35	Id100
Id35	Id101
Id35	Id102
Id35	Id103
Id13	Id104
Id13	Id105
Id13	Id106
Id13	Id107
Id13	Id108
Id13	Id109
Id13	Id110
Id0	Id111
Id111	Id112
Id111	Id113
Id111	Id114
Id111	Id115
Id111	Id116
Id111	Id117
Id111	Id118
Id111	Id119
Id111	Id120
Id111	Id121
Id111	Id122
Id111	Id123
Id111	Id124
Id111	Id125
Id111	Id126
Id126	Id127
Id126	Id128
Id126	Id129
Id111	Id130
Id111	Id131
Id111	Id132
Id111	Id133
Id111	Id134
Id111	Id135
Id111	Id136
Id111	Id137
Id111	Id138
Id0	Id139
Id0	Id140
Id140	Id141
Id140	Id142
