color	height	id	language	name	width
rgb(247,114,109)	14.0	Id0		root	14.0
rgb(247,121,109)	14.0	Id1		speed	14.0
rgb(247,125,109)	113.7	Id2	Javascript	jquery-basis.js	113.7
rgb(247,132,109)	32.0	Id3	HTML	filter.html	32.0
rgb(247,137,109)	31.7	Id4	HTML	find.html	31.7
rgb(247,144,109)	28.8	Id5	Javascript	benchmarker.js	28.8
rgb(247,148,109)	21.6	Id6	HTML	css.html	21.6
rgb(247,155,109)	20.8	Id7	HTML	index.html	20.8
rgb(247,160,109)	19.4	Id8	CSS	benchmarker.css	19.4
rgb(247,167,109)	18.5	Id9	HTML	event.html	18.5
rgb(247,171,109)	17.0	Id10	HTML	slice.vs.concat.html	17.0
rgb(247,178,109)	16.8	Id11	HTML	closest.html	16.8
rgb(247,183,109)	10.8	Id12	Javascript	benchmark.js	10.8
rgb(247,189,109)	14.0	Id13		test	14.0
rgb(247,194,109)	14.0	Id14		unit	14.0
rgb(247,201,109)	82.4	Id15	Javascript	event.js	82.4
rgb(247,206,109)	79.2	Id16	Javascript	ajax.js	79.2
rgb(247,212,109)	76.8	Id17	Javascript	effects.js	76.8
rgb(247,217,109)	75.9	Id18	Javascript	manipulation.js	75.9
rgb(247,224,109)	63.5	Id19	Javascript	core.js	63.5
rgb(247,228,109)	62.7	Id20	Javascript	attributes.js	62.7
rgb(247,235,109)	56.1	Id21	Javascript	css.js	56.1
rgb(247,240,109)	49.7	Id22	Javascript	traversing.js	49.7
rgb(247,247,109)	47.7	Id23	Javascript	data.js	47.7
rgb(242,247,109)	44.7	Id24	Javascript	offset.js	44.7
rgb(235,247,109)	41.5	Id25	Javascript	deferred.js	41.5
rgb(231,247,109)	40.4	Id26	Javascript	dimensions.js	40.4
rgb(224,247,109)	37.6	Id27	Javascript	callbacks.js	37.6
rgb(217,247,109)	36.2	Id28	Javascript	queue.js	36.2
rgb(212,247,109)	27.8	Id29	Javascript	selector.js	27.8
rgb(206,247,109)	24.8	Id30	Javascript	serialize.js	24.8
rgb(201,247,109)	15.8	Id31	Javascript	support.js	15.8
rgb(194,247,109)	7.6	Id32	Javascript	exports.js	7.6
rgb(189,247,109)	4.0	Id33	Javascript	deprecated.js	4.0
rgb(183,247,109)	38.5	Id34	HTML	index.html	38.5
rgb(178,247,109)	14.0	Id35		data	14.0
rgb(171,247,109)	36.1	Id36	Javascript	testrunner.js	36.1
rgb(167,247,109)	33.4	Id37	Javascript	testinit.js	33.4
rgb(160,247,109)	26.4	Id38	CSS	testsuite.css	26.4
rgb(155,247,109)	14.0	Id39		selector	14.0
