	Strata
1	Low
2	Low
3	Low
4	Low
5	Low
6	Low
7	Low
8	Low
9	Low
10	Low
11	Low
12	Low
13	Low
14	Low
15	Low
16	Low
17	Low
18	Low
19	Low
20	Low
21	Low
22	Low
23	Low
24	Low
25	Low
26	Low
27	Low
28	Low
29	Low
30	Low
31	Low
32	Low
33	Low
34	Low
35	Low
36	Low
37	Low
38	Low
39	Low
40	Low
41	Low
42	High
43	High
44	High
45	High
46	High
47	High
48	High
49	High
50	High
51	High
52	High
53	High
54	High
55	High
56	High
57	High
58	High
59	High
60	High
61	High
62	High
63	High
64	High
65	High
66	High
67	High
68	High
69	High
70	High
71	High
72	High
73	High
74	High
75	High
76	High
77	High
78	High
79	High
80	High
81	High
82	High
