color	height	id	language	name	width
rgb(247,109,109)	14.0	Id0		root	14.0
rgb(247,111,109)	14.0	Id1		public	14.0
rgb(247,111,109)	14.0	Id2		vendor	14.0
rgb(247,114,109)	14.0	Id3		pgn4web	14.0
rgb(247,114,109)	103.2	Id4	Javascript	pgn4web.js	103.2
rgb(247,116,109)	14.0	Id5		javascripts	14.0
rgb(247,116,109)	78.5	Id6	Javascript	big.js	78.5
rgb(247,118,109)	14.0	Id7		vendor	14.0
rgb(247,118,109)	14.0	Id8		qtip	14.0
rgb(247,121,109)	72.3	Id9	Javascript	jquery.qtip.js	72.3
rgb(247,121,109)	23.9	Id10	CSS	jquery.qtip.css	23.9
rgb(247,123,109)	4.0	Id11	Javascript	jquery.qtip.min.js	4.0
rgb(247,123,109)	4.0	Id12	CSS	jquery.qtip.min.css	4.0
rgb(247,125,109)	56.8	Id13	Javascript	google.corechart.min.js	56.8
rgb(247,128,109)	48.2	Id14	Javascript	jquery.infinitescroll.js	48.2
rgb(247,128,109)	41.9	Id15	Javascript	jquery.editable-set.js	41.9
rgb(247,130,109)	9.2	Id16	Javascript	zanimo.min.js	9.2
rgb(247,130,109)	4.0	Id17	Javascript	underscore.min.js	4.0
rgb(247,132,109)	4.0	Id18	Javascript	jquery.editable-set.min.js	4.0
rgb(247,132,109)	4.0	Id19	Javascript	jquery.infinitescroll.min.js	4.0
rgb(247,134,109)	31.1	Id20	Javascript	monitor.js	31.1
rgb(247,134,109)	27.1	Id21	Javascript	chart.js	27.1
rgb(247,137,109)	23.0	Id22	Javascript	search.js	23.0
rgb(247,137,109)	21.9	Id23	Javascript	pgn4hacks.js	21.9
rgb(247,139,109)	15.6	Id24	Javascript	user.js	15.6
rgb(247,139,109)	13.3	Id25	Javascript	translation.js	13.3
rgb(247,141,109)	12.4	Id26	Javascript	user-edit.js	12.4
rgb(247,144,109)	10.4	Id27	Javascript	forum.js	10.4
rgb(247,144,109)	8.7	Id28	Javascript	deps.min.js	8.7
rgb(247,146,109)	14.0	Id29		stylesheets	14.0
rgb(247,146,109)	60.8	Id30	CSS	common.css	60.8
rgb(247,148,109)	54.4	Id31	CSS	board.css	54.4
rgb(247,148,109)	42.4	Id32	CSS	opening.css	42.4
rgb(247,150,109)	41.8	Id33	CSS	dark.css	41.8
rgb(247,150,109)	35.0	Id34	CSS	forum.css	35.0
rgb(247,153,109)	32.2	Id35	CSS	team.css	32.2
rgb(247,153,109)	28.6	Id36	CSS	tournament.css	28.6
rgb(247,155,109)	27.9	Id37	CSS	analyse.css	27.9
rgb(247,155,109)	27.8	Id38	CSS	gamelist.css	27.8
rgb(247,157,109)	27.6	Id39	CSS	monitor.css	27.6
rgb(247,160,109)	24.7	Id40	CSS	translation.css	24.7
rgb(247,160,109)	24.5	Id41	CSS	user-show.css	24.5
rgb(247,162,109)	24.4	Id42	CSS	message.css	24.4
rgb(247,162,109)	22.9	Id43	CSS	vendor.css	22.9
rgb(247,164,109)	20.0	Id44	CSS	user-list.css	20.0
rgb(247,164,109)	19.9	Id45	CSS	user-signup.css	19.9
rgb(247,167,109)	19.3	Id46	CSS	search.css	19.3
rgb(247,167,109)	16.8	Id47	CSS	import.css	16.8
rgb(247,169,109)	16.4	Id48	CSS	wiki.css	16.4
rgb(247,169,109)	15.8	Id49	CSS	user-passwd.css	15.8
rgb(247,171,109)	15.6	Id50	CSS	gamestats.css	15.6
rgb(247,171,109)	13.8	Id51	CSS	user-edit.css	13.8
rgb(247,173,109)	10.4	Id52	CSS	developers.css	10.4
rgb(247,176,109)	15.8	Id53	HTML	browser.html	15.8
rgb(247,176,109)	14.0	Id54	HTML	timeout.html	14.0
rgb(247,178,109)	13.5	Id55	HTML	error.html	13.5
rgb(247,178,109)	9.6	Id56	HTML	opera-websocket.html	9.6
rgb(247,180,109)	9.6	Id57	HTML	websocket-fail.html	9.6
rgb(247,180,109)	14.0	Id58		app	14.0
rgb(247,183,109)	14.0	Id59		game	14.0
rgb(247,183,109)	42.5	Id60	Scala	DbGame.scala	42.5
rgb(247,185,109)	33.8	Id61	Scala	GameRepo.scala	33.8
rgb(247,185,109)	26.5	Id62	Scala	DbPlayer.scala	26.5
rgb(247,187,109)	25.3	Id63	Scala	GameHelper.scala	25.3
rgb(247,187,109)	21.6	Id64	Scala	Featured.scala	21.6
rgb(247,189,109)	20.3	Id65	Scala	Export.scala	20.3
rgb(247,192,109)	19.9	Id66	Scala	PaginatorBuilder.scala	19.9
rgb(247,192,109)	18.0	Id67	Scala	Rewind.scala	18.0
rgb(247,194,109)	17.8	Id68	Scala	GameDiff.scala	17.8
rgb(247,194,109)	17.5	Id69	Scala	RawDbClock.scala	17.5
rgb(247,196,109)	16.8	Id70	Scala	Query.scala	16.8
rgb(247,196,109)	16.4	Id71	Scala	Handler.scala	16.4
rgb(247,199,109)	15.4	Id72	Scala	GameEnv.scala	15.4
rgb(247,199,109)	14.9	Id73	Scala	Cached.scala	14.9
rgb(247,201,109)	14.7	Id74	Scala	PgnRepo.scala	14.7
rgb(247,201,109)	14.3	Id75	Scala	Pov.scala	14.3
rgb(247,203,109)	13.8	Id76	Scala	ListMenu.scala	13.8
rgb(247,203,109)	13.0	Id77	Scala	Namer.scala	13.0
rgb(247,206,109)	12.4	Id78	Scala	MoveTime.scala	12.4
rgb(247,208,109)	12.4	Id79	Scala	Metadata.scala	12.4
rgb(247,208,109)	12.4	Id80	Scala	Source.scala	12.4
rgb(247,210,109)	10.8	Id81	Scala	GameJs.scala	10.8
rgb(247,210,109)	9.2	Id82	Scala	IdGenerator.scala	9.2
rgb(247,212,109)	14.0	Id83		round	14.0
rgb(247,212,109)	35.9	Id84	Scala	Hand.scala	35.9
rgb(247,215,109)	30.5	Id85	Scala	Socket.scala	30.5
rgb(247,215,109)	29.8	Id86	Scala	Event.scala	29.8
rgb(247,217,109)	26.9	Id87	Scala	Hub.scala	26.9
rgb(247,217,109)	26.7	Id88	Scala	Finisher.scala	26.7
rgb(247,219,109)	23.8	Id89	Scala	RoundEnv.scala	23.8
rgb(247,219,109)	22.4	Id90	Scala	Messenger.scala	22.4
rgb(247,222,109)	22.0	Id91	Scala	RoundHelper.scala	22.0
rgb(247,224,109)	20.8	Id92	Scala	actorApi.scala	20.8
rgb(247,224,109)	20.7	Id93	Scala	HubMaster.scala	20.7
