	Temperature
1/1/16	24
1/2/16	23
1/3/16	23
1/4/16	17
1/5/16	29
1/6/16	33
1/7/16	30
1/8/16	25
1/9/16	9
1/10/16	11
1/11/16	28
1/12/16	24
1/13/16	33
1/14/16	40
1/15/16	29
1/16/16	19
1/17/16	5
1/18/16	11
1/19/16	22
1/20/16	28
1/21/16	25
1/22/16	22
1/23/16	28
1/24/16	30
1/25/16	26
1/26/16	29
1/27/16	33
1/28/16	41
1/29/16	41
1/30/16	39
1/31/16	35
2/1/16	31
2/2/16	27
2/3/16	17
2/4/16	18
2/5/16	28
2/6/16	24
2/7/16	36
2/8/16	31
2/9/16	26
2/10/16	37
2/11/16	32
2/12/16	23
2/13/16	19
2/14/16	35
2/15/16	36
2/16/16	41
2/17/16	41
2/18/16	48
2/19/16	52
2/20/16	42
2/21/16	40
2/22/16	35
2/23/16	36
2/24/16	35
2/25/16	31
2/26/16	39
2/27/16	50
2/28/16	44
2/29/16	34
3/1/16	32
3/2/16	39
3/3/16	38
3/4/16	45
3/5/16	45
3/6/16	56
3/7/16	55
3/8/16	45
3/9/16	43
3/10/16	46
3/11/16	50
3/12/16	46
3/13/16	55
3/14/16	53
3/15/16	45
3/16/16	40
3/17/16	37
3/18/16	31
3/19/16	30
3/20/16	33
3/21/16	55
3/22/16	58
3/23/16	40
3/24/16	30
3/25/16	38
3/26/16	31
3/27/16	37
3/28/16	45
3/29/16	50
3/30/16	47
3/31/16	39
4/1/16	35
4/2/16	48
4/3/16	60
4/4/16	49
4/5/16	56
4/6/16	52
4/7/16	45
4/8/16	42
4/9/16	46
4/10/16	51
4/11/16	40
4/12/16	50
4/13/16	60
4/14/16	61
4/15/16	63
4/16/16	52
4/17/16	44
4/18/16	46
4/19/16	46
4/20/16	49
4/21/16	57
4/22/16	51
4/23/16	63
4/24/16	63
4/25/16	57
4/26/16	53
4/27/16	44
4/28/16	43
4/29/16	44
4/30/16	43
5/1/16	46
5/2/16	45
5/3/16	52
5/4/16	56
5/5/16	58
5/6/16	66
5/7/16	62
5/8/16	62
5/9/16	58
5/10/16	64
5/11/16	56
5/12/16	55
5/13/16	50
5/14/16	45
5/15/16	45
5/16/16	47
5/17/16	53
5/18/16	53
5/19/16	57
5/20/16	55
5/21/16	62
5/22/16	69
5/23/16	67
5/24/16	66
5/25/16	69
5/26/16	66
5/27/16	65
5/28/16	66
5/29/16	67
5/30/16	70
5/31/16	64
6/1/16	70
6/2/16	67
6/3/16	72
6/4/16	65
6/5/16	67
6/6/16	66
6/7/16	63
6/8/16	75
6/9/16	80
6/10/16	81
6/11/16	81
6/12/16	81
6/13/16	75
6/14/16	73
6/15/16	78
6/16/16	82
6/17/16	81
6/18/16	75
