	Month
1/1/16	January
1/2/16	January
1/3/16	January
1/4/16	January
1/5/16	January
1/6/16	January
1/7/16	January
1/8/16	January
1/9/16	January
1/10/16	January
1/11/16	January
1/12/16	January
1/13/16	January
1/14/16	January
1/15/16	January
1/16/16	January
1/17/16	January
1/18/16	January
1/19/16	January
1/20/16	January
1/21/16	January
1/22/16	January
1/23/16	January
1/24/16	January
1/25/16	January
1/26/16	January
1/27/16	January
1/28/16	January
1/29/16	January
1/30/16	January
1/31/16	January
2/1/16	February
2/2/16	February
2/3/16	February
2/4/16	February
2/5/16	February
2/6/16	February
2/7/16	February
2/8/16	February
2/9/16	February
2/10/16	February
2/11/16	February
2/12/16	February
2/13/16	February
2/14/16	February
2/15/16	February
2/16/16	February
2/17/16	February
2/18/16	February
2/19/16	February
2/20/16	February
2/21/16	February
2/22/16	February
2/23/16	February
2/24/16	February
2/25/16	February
2/26/16	February
2/27/16	February
2/28/16	February
2/29/16	February
3/1/16	March
3/2/16	March
3/3/16	March
3/4/16	March
3/5/16	March
3/6/16	March
3/7/16	March
3/8/16	March
3/9/16	March
3/10/16	March
3/11/16	March
3/12/16	March
3/13/16	March
3/14/16	March
3/15/16	March
3/16/16	March
3/17/16	March
3/18/16	March
3/19/16	March
3/20/16	March
3/21/16	March
3/22/16	March
3/23/16	March
3/24/16	March
3/25/16	March
3/26/16	March
3/27/16	March
3/28/16	March
3/29/16	March
3/30/16	March
3/31/16	March
4/1/16	April
4/2/16	April
4/3/16	April
4/4/16	April
4/5/16	April
4/6/16	April
4/7/16	April
4/8/16	April
4/9/16	April
4/10/16	April
4/11/16	April
4/12/16	April
4/13/16	April
4/14/16	April
4/15/16	April
4/16/16	April
4/17/16	April
4/18/16	April
4/19/16	April
4/20/16	April
4/21/16	April
4/22/16	April
4/23/16	April
4/24/16	April
4/25/16	April
4/26/16	April
4/27/16	April
4/28/16	April
4/29/16	April
4/30/16	April
5/1/16	May
5/2/16	May
5/3/16	May
5/4/16	May
5/5/16	May
5/6/16	May
5/7/16	May
5/8/16	May
5/9/16	May
5/10/16	May
5/11/16	May
5/12/16	May
5/13/16	May
5/14/16	May
5/15/16	May
5/16/16	May
5/17/16	May
5/18/16	May
5/19/16	May
5/20/16	May
5/21/16	May
5/22/16	May
5/23/16	May
5/24/16	May
5/25/16	May
5/26/16	May
5/27/16	May
5/28/16	May
5/29/16	May
5/30/16	May
5/31/16	May
6/1/16	June
6/2/16	June
6/3/16	June
6/4/16	June
6/5/16	June
6/6/16	June
6/7/16	June
6/8/16	June
6/9/16	June
6/10/16	June
6/11/16	June
6/12/16	June
6/13/16	June
6/14/16	June
6/15/16	June
6/16/16	June
6/17/16	June
6/18/16	June
6/19/16	June
6/20/16	June
6/21/16	June
6/22/16	June
6/23/16	June
6/24/16	June
6/25/16	June
6/26/16	June
6/27/16	June
6/28/16	June
6/29/16	June
6/30/16	June
7/1/16	July
7/2/16	July
7/3/16	July
7/4/16	July
7/5/16	July
7/6/16	July
7/7/16	July
7/8/16	July
7/9/16	July
7/10/16	July
7/11/16	July
7/12/16	July
7/13/16	July
7/14/16	July
7/15/16	July
7/16/16	July
7/17/16	July
7/18/16	July
7/19/16	July
7/20/16	July
7/21/16	July
7/22/16	July
7/23/16	July
7/24/16	July
7/25/16	July
7/26/16	July
7/27/16	July
7/28/16	July
7/29/16	July
7/30/16	July
7/31/16	July
8/1/16	August
8/2/16	August
8/3/16	August
8/4/16	August
8/5/16	August
8/6/16	August
8/7/16	August
8/8/16	August
8/9/16	August
8/10/16	August
8/11/16	August
8/12/16	August
8/13/16	August
8/14/16	August
8/15/16	August
8/16/16	August
8/17/16	August
8/18/16	August
8/19/16	August
8/20/16	August
8/21/16	August
8/22/16	August
8/23/16	August
8/24/16	August
8/25/16	August
8/26/16	August
8/27/16	August
8/28/16	August
8/29/16	August
8/30/16	August
8/31/16	August
9/1/16	September
9/2/16	September
9/3/16	September
9/4/16	September
9/5/16	September
9/6/16	September
9/7/16	September
9/8/16	September
9/9/16	September
9/10/16	September
9/11/16	September
9/12/16	September
9/13/16	September
9/14/16	September
9/15/16	September
9/16/16	September
9/17/16	September
9/18/16	September
9/19/16	September
9/20/16	September
9/21/16	September
9/22/16	September
9/23/16	September
9/24/16	September
9/25/16	September
9/26/16	September
9/27/16	September
9/28/16	September
9/29/16	September
9/30/16	September
10/1/16	October
10/2/16	October
10/3/16	October
10/4/16	October
10/5/16	October
10/6/16	October
10/7/16	October
10/8/16	October
10/9/16	October
10/10/16	October
10/11/16	October
10/12/16	October
10/13/16	October
10/14/16	October
10/15/16	October
10/16/16	October
10/17/16	October
10/18/16	October
10/19/16	October
10/20/16	October
10/21/16	October
10/22/16	October
10/23/16	October
10/24/16	October
10/25/16	October
10/26/16	October
10/27/16	October
10/28/16	October
10/29/16	October
10/30/16	October
10/31/16	October
11/1/16	November
11/2/16	November
11/3/16	November
11/4/16	November
11/5/16	November
11/6/16	November
11/7/16	November
11/8/16	November
11/9/16	November
11/10/16	November
11/11/16	November
11/12/16	November
11/13/16	November
11/14/16	November
11/15/16	November
11/16/16	November
11/17/16	November
11/18/16	November
11/19/16	November
11/20/16	November
11/21/16	November
11/22/16	November
11/23/16	November
11/24/16	November
11/25/16	November
11/26/16	November
11/27/16	November
11/28/16	November
11/29/16	November
11/30/16	November
12/1/16	December
12/2/16	December
12/3/16	December
12/4/16	December
12/5/16	December
12/6/16	December
12/7/16	December
12/8/16	December
12/9/16	December
12/10/16	December
12/11/16	December
12/12/16	December
12/13/16	December
12/14/16	December
12/15/16	December
12/16/16	December
12/17/16	December
12/18/16	December
12/19/16	December
12/20/16	December
12/21/16	December
12/22/16	December
12/23/16	December
12/24/16	December
12/25/16	December
12/26/16	December
12/27/16	December
12/28/16	December
12/29/16	December
12/30/16	December
12/31/16	December
