	Chapter Name	Character	Film	Race	Words
R1	The Shire	Frodo	The Fellowship Of The Ring	Hobbit	128
R2	The Shire	Gandalf	The Fellowship Of The Ring	Ainur	197
R3	Very Old Friends	Gandalf	The Fellowship Of The Ring	Ainur	64
R4	A Long Expected Party	Frodo	The Fellowship Of The Ring	Hobbit	32
R5	A Long Expected Party	Gandalf	The Fellowship Of The Ring	Ainur	12
R6	A Long Expected Party	Merry	The Fellowship Of The Ring	Hobbit	19
R7	A Long Expected Party	Pippin	The Fellowship Of The Ring	Hobbit	15
R8	A Long Expected Party	Sam	The Fellowship Of The Ring	Hobbit	7
R9	Farewell Dear Bilbo	Gandalf	The Fellowship Of The Ring	Ainur	148
R10	Keep It Secret Keep It Safe	Frodo	The Fellowship Of The Ring	Hobbit	33
R11	Keep It Secret Keep It Safe	Gandalf	The Fellowship Of The Ring	Ainur	60
R12	The Account of Isildur	Gandalf	The Fellowship Of The Ring	Ainur	107
R13	At The Green Dragon	Frodo	The Fellowship Of The Ring	Hobbit	17
R14	At The Green Dragon	Merry	The Fellowship Of The Ring	Hobbit	53
R15	At The Green Dragon	Pippin	The Fellowship Of The Ring	Hobbit	61
R16	At The Green Dragon	Sam	The Fellowship Of The Ring	Hobbit	10
R17	The Shadow Of ThePast	Frodo	The Fellowship Of The Ring	Hobbit	139
R18	The Shadow Of ThePast	Gandalf	The Fellowship Of The Ring	Ainur	541
R19	The Shadow Of ThePast	Sam	The Fellowship Of The Ring	Hobbit	84
R20	ThePassing Of The Elves	Frodo	The Fellowship Of The Ring	Hobbit	43
R21	ThePassing Of The Elves	Sam	The Fellowship Of The Ring	Hobbit	40
R22	Saruman The White	Gandalf	The Fellowship Of The Ring	Ainur	85
R23	A Shortcut To Mushrooms	Frodo	The Fellowship Of The Ring	Hobbit	37
R24	A Shortcut To Mushrooms	Merry	The Fellowship Of The Ring	Hobbit	58
R25	A Shortcut To Mushrooms	Pippin	The Fellowship Of The Ring	Hobbit	32
R26	A Shortcut To Mushrooms	Sam	The Fellowship Of The Ring	Hobbit	48
R27	Buckleberry Ferry	Frodo	The Fellowship Of The Ring	Hobbit	20
R28	Buckleberry Ferry	Merry	The Fellowship Of The Ring	Hobbit	43
R29	Buckleberry Ferry	Pippin	The Fellowship Of The Ring	Hobbit	14
R30	Buckleberry Ferry	Sam	The Fellowship Of The Ring	Hobbit	9
R31	At The Sign of thePrancingPony	Aragorn	The Fellowship Of The Ring	Men	76
R32	At The Sign of thePrancingPony	Frodo	The Fellowship Of The Ring	Hobbit	68
R33	At The Sign of thePrancingPony	Merry	The Fellowship Of The Ring	Hobbit	6
R34	At The Sign of thePrancingPony	Pippin	The Fellowship Of The Ring	Hobbit	39
R35	At The Sign of thePrancingPony	Sam	The Fellowship Of The Ring	Hobbit	30
R36	The Nazgul	Aragorn	The Fellowship Of The Ring	Men	96
R37	The Nazgul	Frodo	The Fellowship Of The Ring	Hobbit	29
R38	The Nazgul	Merry	The Fellowship Of The Ring	Hobbit	28
R39	The Nazgul	Pippin	The Fellowship Of The Ring	Hobbit	25
R40	The Nazgul	Sam	The Fellowship Of The Ring	Hobbit	17
R41	The Midgewater Marshes	Aragorn	The Fellowship Of The Ring	Men	33
R42	The Midgewater Marshes	Frodo	The Fellowship Of The Ring	Hobbit	12
R43	The Midgewater Marshes	Merry	The Fellowship Of The Ring	Hobbit	9
R44	A Knife In The Dark	Aragorn	The Fellowship Of The Ring	Men	53
R45	A Knife In The Dark	Frodo	The Fellowship Of The Ring	Hobbit	16
R46	A Knife In The Dark	Merry	The Fellowship Of The Ring	Hobbit	13
R47	A Knife In The Dark	Pippin	The Fellowship Of The Ring	Hobbit	12
R48	A Knife In The Dark	Sam	The Fellowship Of The Ring	Hobbit	24
R49	TheCaverns Of Isengard	Gandalf	The Fellowship Of The Ring	Ainur	5
R50	Flight To The Ford	Aragorn	The Fellowship Of The Ring	Men	48
R51	Flight To The Ford	Merry	The Fellowship Of The Ring	Hobbit	5
R52	Flight To The Ford	Pippin	The Fellowship Of The Ring	Hobbit	9
R53	Flight To The Ford	Sam	The Fellowship Of The Ring	Hobbit	34
R54	Many Meetings	Frodo	The Fellowship Of The Ring	Hobbit	107
R55	Many Meetings	Gandalf	The Fellowship Of The Ring	Ainur	104
R56	Many Meetings	Sam	The Fellowship Of The Ring	Hobbit	63
R57	The Fate Of The Ring	Gandalf	The Fellowship Of The Ring	Ainur	102
R58	The Sword That Was Broken	Aragorn	The Fellowship Of The Ring	Men	25
R59	The Sword That Was Broken	Boromir	The Fellowship Of The Ring	Men	39
R60	The Evenstar	Aragorn	The Fellowship Of The Ring	Men	24
R61	TheCouncil Of Elrond	Aragorn	The Fellowship Of The Ring	Men	40
R62	TheCouncil Of Elrond	Boromir	The Fellowship Of The Ring	Men	220
R63	TheCouncil Of Elrond	Frodo	The Fellowship Of The Ring	Hobbit	24
R64	TheCouncil Of Elrond	Gandalf	The Fellowship Of The Ring	Ainur	85
R65	TheCouncil Of Elrond	Gimli	The Fellowship Of The Ring	Dwarf	38
R66	TheCouncil Of Elrond	Legolas	The Fellowship Of The Ring	Elf	34
R67	TheCouncil Of Elrond	Merry	The Fellowship Of The Ring	Hobbit	24
R68	TheCouncil Of Elrond	Pippin	The Fellowship Of The Ring	Hobbit	18
R69	TheCouncil Of Elrond	Sam	The Fellowship Of The Ring	Hobbit	8
R70	Gilraen's Memorial	Aragorn	The Fellowship Of The Ring	Men	11
R71	Bilbo's Gifts	Frodo	The Fellowship Of The Ring	Hobbit	3
R72	The Departure Of The Fellowship	Frodo	The Fellowship Of The Ring	Hobbit	7
R73	The Departure Of The Fellowship	Gandalf	The Fellowship Of The Ring	Ainur	7
R74	The Ring Goes South	Aragorn	The Fellowship Of The Ring	Men	12
R75	The Ring Goes South	Boromir	The Fellowship Of The Ring	Men	15
R76	The Ring Goes South	Gandalf	The Fellowship Of The Ring	Ainur	68
R77	The Ring Goes South	Gimli	The Fellowship Of The Ring	Dwarf	47
R78	The Ring Goes South	Legolas	The Fellowship Of The Ring	Elf	3
R79	The Ring Goes South	Merry	The Fellowship Of The Ring	Hobbit	17
R80	The Ring Goes South	Pippin	The Fellowship Of The Ring	Hobbit	10
R81	The Ring Goes South	Sam	The Fellowship Of The Ring	Hobbit	3
R82	ThePass OfCaradhras	Aragorn	The Fellowship Of The Ring	Men	30
R83	ThePass OfCaradhras	Boromir	The Fellowship Of The Ring	Men	61
R84	ThePass OfCaradhras	Frodo	The Fellowship Of The Ring	Hobbit	6
R85	ThePass OfCaradhras	Gandalf	The Fellowship Of The Ring	Ainur	18
R86	ThePass OfCaradhras	Gimli	The Fellowship Of The Ring	Dwarf	19
R87	ThePass OfCaradhras	Legolas	The Fellowship Of The Ring	Elf	8
R88	Moria	Aragorn	The Fellowship Of The Ring	Men	31
R89	Moria	Boromir	The Fellowship Of The Ring	Men	31
R90	Moria	Frodo	The Fellowship Of The Ring	Hobbit	30
R91	Moria	Gandalf	The Fellowship Of The Ring	Ainur	202
R92	Moria	Gimli	The Fellowship Of The Ring	Dwarf	52
R93	Moria	Legolas	The Fellowship Of The Ring	Elf	7
R94	Moria	Merry	The Fellowship Of The Ring	Hobbit	9
R95	Moria	Pippin	The Fellowship Of The Ring	Hobbit	11
R96	Moria	Sam	The Fellowship Of The Ring	Hobbit	7
R97	A Journey In The Dark	Frodo	The Fellowship Of The Ring	Hobbit	39
R98	A Journey In The Dark	Gandalf	The Fellowship Of The Ring	Ainur	349
R99	A Journey In The Dark	Gimli	The Fellowship Of The Ring	Dwarf	6
R100	A Journey In The Dark	Merry	The Fellowship Of The Ring	Hobbit	8
R101	A Journey In The Dark	Pippin	The Fellowship Of The Ring	Hobbit	10
R102	A Journey In The Dark	Sam	The Fellowship Of The Ring	Hobbit	7
R103	Balin's Tomb	Aragorn	The Fellowship Of The Ring	Men	22
R104	Balin's Tomb	Boromir	The Fellowship Of The Ring	Men	5
R105	Balin's Tomb	Frodo	The Fellowship Of The Ring	Hobbit	8
R106	Balin's Tomb	Gandalf	The Fellowship Of The Ring	Ainur	89
R107	Balin's Tomb	Gimli	The Fellowship Of The Ring	Dwarf	37
R108	Balin's Tomb	Legolas	The Fellowship Of The Ring	Elf	8
R109	Balin's Tomb	Sam	The Fellowship Of The Ring	Hobbit	13
R110	The Bridge Of Khazad-dûm	Aragorn	The Fellowship Of The Ring	Men	45
R111	The Bridge Of Khazad-dûm	Boromir	The Fellowship Of The Ring	Men	17
R112	The Bridge Of Khazad-dûm	Frodo	The Fellowship Of The Ring	Hobbit	4
R113	The Bridge Of Khazad-dûm	Gandalf	The Fellowship Of The Ring	Ainur	83
R114	The Bridge Of Khazad-dûm	Gimli	The Fellowship Of The Ring	Dwarf	7
R115	The Bridge Of Khazad-dûm	Legolas	The Fellowship Of The Ring	Elf	4
R116	Lothlorien	Aragorn	The Fellowship Of The Ring	Men	26
R117	Lothlorien	Boromir	The Fellowship Of The Ring	Men	27
R118	Lothlorien	Gimli	The Fellowship Of The Ring	Dwarf	84
R119	Lothlorien	Legolas	The Fellowship Of The Ring	Elf	7
R120	Lothlorien	Sam	The Fellowship Of The Ring	Hobbit	2
R121	Caras Galadhon	Aragorn	The Fellowship Of The Ring	Men	16
R122	Caras Galadhon	Boromir	The Fellowship Of The Ring	Men	149
R123	Caras Galadhon	Legolas	The Fellowship Of The Ring	Elf	41
R124	Caras Galadhon	Merry	The Fellowship Of The Ring	Hobbit	6
R125	Caras Galadhon	Sam	The Fellowship Of The Ring	Hobbit	49
R126	The Mirror Of Galadriel	Frodo	The Fellowship Of The Ring	Hobbit	36
R127	Farewell To Lorien	Aragorn	The Fellowship Of The Ring	Men	13
