	Latitude	Longitude	Population	State
Marysville	48.0517637	-122.1770818	63269	Washington
Perris	33.7825194	-117.2286478	72326	California
Cleveland	41.49932	-81.6943605	390113	Ohio
Worcester	42.2625932	-71.8022934	182544	Massachusetts
Columbia	34.0007104	-81.0348144	133358	South Carolina
Waterbury	41.5581525	-73.0514965	109676	Connecticut
Eagan	44.8041322	-93.1668858	65453	Minnesota
Southfield	42.4733688	-83.2218731	73006	Michigan
Lafayette	30.2240897	-92.0198427	124276	Louisiana
Boise City	43.6187102	-116.2146068	214237	Idaho
Elkhart	41.6819935	-85.9766671	51265	Indiana
Buena Park	33.8675143	-117.9981181	82882	California
Marietta	33.952602	-84.5499327	59089	Georgia
Parker	39.5186002	-104.7613633	48608	Colorado
West Palm Beach	26.7153424	-80.0533746	102436	Florida
Salem	42.51954	-70.8967155	42544	Massachusetts
Aurora	41.7605849	-88.3200715	199963	Illinois
Leesburg	39.1156615	-77.5636015	47673	Virginia
Doral	25.8195424	-80.3553302	50213	Florida
Westminster	33.7513419	-117.9939921	91739	California
Lubbock	33.5778631	-101.8551665	239538	Texas
Overland Park	38.9822282	-94.6707917	181260	Kansas
Jackson	32.2987573	-90.1848103	172638	Mississippi
Gastonia	35.262082	-81.1873005	73209	North Carolina
Daytona Beach	29.2108147	-81.0228331	62316	Florida
Kansas City	39.0997265	-94.5785667	467007	Missouri
Rancho Palos Verdes	33.7444613	-118.3870173	42448	California
Burnsville	44.7677424	-93.2777226	61434	Minnesota
Rowlett	32.9029017	-96.56388	58043	Texas
Roswell	33.3942655	-104.5230242	48611	New Mexico
Montgomery	32.3668052	-86.2999689	201332	Alabama
Logan	41.7369803	-111.8338359	48913	Utah
Woburn	42.4792618	-71.1522765	39083	Massachusetts
Allentown	40.6084305	-75.4901833	118577	Pennsylvania
Mount Pleasant	32.8323225	-79.8284258	74885	South Carolina
Columbus	32.4609764	-84.9877094	202824	Georgia
Buffalo	42.8864468	-78.8783689	258959	New York
New Berlin	42.9764027	-88.1084224	39834	Wisconsin
North Richland Hills	32.8342952	-97.2289029	67317	Texas
Lima	40.742551	-84.1052256	38355	Ohio
Sacramento	38.5815719	-121.4943996	479686	California
Fort Smith	35.3859242	-94.3985475	87650	Arkansas
East Providence	41.8137116	-71.3700545	47149	Rhode Island
Urbandale	41.6266555	-93.7121656	41776	Iowa
Mount Vernon	40.9125992	-73.8370786	68224	New York
Lakewood	39.7047095	-105.0813734	147214	Colorado
Henderson	36.0395247	-114.9817213	270811	Nevada
Covina	34.0900091	-117.8903397	48508	California
Stamford	41.0534302	-73.5387341	126456	Connecticut
Bloomington	39.165325	-86.5263857	82575	Indiana
Kingsport	36.548434	-82.5618186	52962	Tennessee
Spokane	47.6587802	-117.4260466	210721	Washington
Kennewick	46.2112458	-119.1372338	76762	Washington
Philadelphia	39.9525839	-75.1652215	1553165	Pennsylvania
Bellingham	48.74908	-122.4781473	82631	Washington
Visalia	36.3302284	-119.2920585	127763	California
La Crosse	43.8013556	-91.2395807	51522	Wisconsin
Council Bluffs	41.2619444	-95.8608333	61969	Iowa
North Lauderdale	26.217305	-80.2258811	42757	Florida
Dallas	32.7766642	-96.7969879	1257676	Texas
Antioch	38.0049214	-121.805789	107100	California
Sterling Heights	42.5803122	-83.0302033	131224	Michigan
Deerfield Beach	26.3184123	-80.0997657	78041	Florida
Fishers	39.9567548	-86.01335	83891	Indiana
Cheyenne	41.1399814	-104.8202462	62448	Wyoming
Murrieta	33.5539143	-117.2139232	107479	California
Lenexa	38.9536174	-94.7335709	50344	Kansas
Noblesville	40.0455917	-86.0085955	56540	Indiana
Southaven	34.9889818	-90.0125913	50997	Mississippi
Chino	34.0122346	-117.688944	80988	California
Gaithersburg	39.1434406	-77.2013705	65690	Maryland
Fountain Valley	33.7091847	-117.9536697	56707	California
Frederick	39.4142688	-77.4105409	66893	Maryland
Greenville	35.612661	-77.3663538	89130	North Carolina
