	displ	hwy	cty	cyl
1	1.8	29	18	4
2	1.8	29	21	4
3	2	31	20	4
4	2	30	21	4
5	2.8	26	16	6
6	2.8	26	18	6
7	3.1	27	18	6
8	1.8	26	18	4
9	1.8	25	16	4
10	2	28	20	4
11	2	27	19	4
12	2.8	25	15	6
13	2.8	25	17	6
14	3.1	25	17	6
15	3.1	25	15	6
16	2.8	24	15	6
17	3.1	25	17	6
18	4.2	23	16	8
19	5.3	20	14	8
20	5.3	15	11	8
21	5.3	20	14	8
22	5.7	17	13	8
23	6	17	12	8
24	5.7	26	16	8
25	5.7	23	15	8
26	6.2	26	16	8
27	6.2	25	15	8
28	7	24	15	8
29	5.3	19	14	8
30	5.3	14	11	8
31	5.7	15	11	8
32	6.5	17	14	8
33	2.4	27	19	4
34	2.4	30	22	4
35	3.1	26	18	6
36	3.5	29	18	6
37	3.6	26	17	6
38	2.4	24	18	4
39	3	24	17	6
40	3.3	22	16	6
41	3.3	22	16	6
42	3.3	24	17	6
43	3.3	24	17	6
44	3.3	17	11	6
45	3.8	22	15	6
46	3.8	21	15	6
47	3.8	23	16	6
48	4	23	16	6
49	3.7	19	15	6
50	3.7	18	14	6
51	3.9	17	13	6
52	3.9	17	14	6
53	4.7	19	14	8
54	4.7	19	14	8
55	4.7	12	9	8
56	5.2	17	11	8
57	5.2	15	11	8
58	3.9	17	13	6
59	4.7	17	13	8
60	4.7	12	9	8
61	4.7	17	13	8
62	5.2	16	11	8
63	5.7	18	13	8
64	5.9	15	11	8
65	4.7	16	12	8
66	4.7	12	9	8
67	4.7	17	13	8
68	4.7	17	13	8
69	4.7	16	12	8
70	4.7	12	9	8
71	5.2	15	11	8
72	5.2	16	11	8
73	5.7	17	13	8
74	5.9	15	11	8
75	4.6	17	11	8
76	5.4	17	11	8
77	5.4	18	12	8
78	4	17	14	6
79	4	19	15	6
80	4	17	14	6
81	4	19	13	6
82	4.6	19	13	8
83	5	17	13	8
84	4.2	17	14	6
85	4.2	17	14	6
86	4.6	16	13	8
87	4.6	16	13	8
88	4.6	17	13	8
89	5.4	15	11	8
90	5.4	17	13	8
91	3.8	26	18	6
92	3.8	25	18	6
93	4	26	17	6
94	4	24	16	6
95	4.6	21	15	8
96	4.6	22	15	8
97	4.6	23	15	8
98	4.6	22	15	8
99	5.4	20	14	8
100	1.6	33	28	4
101	1.6	32	24	4
102	1.6	32	25	4
103	1.6	29	23	4
104	1.6	32	24	4
105	1.8	34	26	4
106	1.8	36	25	4
107	1.8	36	24	4
108	2	29	21	4
109	2.4	26	18	4
110	2.4	27	18	4
111	2.4	30	21	4
112	2.4	31	21	4
113	2.5	26	18	6
114	2.5	26	18	6
115	3.3	28	19	6
116	2	26	19	4
117	2	29	19	4
118	2	28	20	4
119	2	27	20	4
120	2.7	24	17	6
121	2.7	24	16	6
122	2.7	24	17	6
123	3	22	17	6
124	3.7	19	15	6
125	4	20	15	6
126	4.7	17	14	8
127	4.7	12	9	8
128	4.7	19	14	8
129	5.7	18	13	8
130	6.1	14	11	8
131	4	15	11	8
132	4.2	18	12	8
133	4.4	18	12	8
134	4.6	15	11	8
135	5.4	17	11	8
136	5.4	16	11	8
137	5.4	18	12	8
138	4	17	14	6
139	4	19	13	6
140	4.6	19	13	8
141	5	17	13	8
142	2.4	29	21	4
143	2.4	27	19	4
144	2.5	31	23	4
145	2.5	32	23	4
146	3.5	27	19	6
147	3.5	26	19	6
148	3	26	18	6
149	3	25	19	6
150	3.5	25	19	6
151	3.3	17	14	6
152	3.3	17	15	6
153	4	20	14	6
154	5.6	18	12	8
155	3.1	26	18	6
156	3.8	26	16	6
157	3.8	27	17	6
158	3.8	28	18	6
159	5.3	25	16	8
160	2.5	25	18	4
161	2.5	24	18	4
162	2.5	27	20	4
163	2.5	25	19	4
164	2.5	26	20	4
165	2.5	23	18	4
166	2.2	26	21	4
167	2.2	26	19	4
168	2.5	26	19	4
169	2.5	26	19	4
170	2.5	25	20	4
171	2.5	27	20	4
172	2.5	25	19	4
173	2.5	27	20	4
174	2.7	20	15	4
175	2.7	20	16	4
176	3.4	19	15	6
177	3.4	17	15	6
178	4	20	16	6
179	4.7	17	14	8
180	2.2	29	21	4
181	2.2	27	21	4
182	2.4	31	21	4
183	2.4	31	21	4
184	3	26	18	6
185	3	26	18	6
186	3.5	28	19	6
187	2.2	27	21	4
188	2.2	29	21	4
189	2.4	31	21	4
190	2.4	31	22	4
191	3	26	18	6
192	3	26	18	6
193	3.3	27	18	6
194	1.8	30	24	4
195	1.8	33	24	4
196	1.8	35	26	4
197	1.8	37	28	4
198	1.8	35	26	4
199	4.7	15	11	8
200	5.7	18	13	8
201	2.7	20	15	4
202	2.7	20	16	4
203	2.7	22	17	4
204	3.4	17	15	6
205	3.4	19	15	6
206	4	18	15	6
207	4	20	16	6
208	2	29	21	4
209	2	26	19	4
210	2	29	21	4
211	2	29	22	4
212	2.8	24	17	6
213	1.9	44	33	4
214	2	29	21	4
215	2	26	19	4
216	2	29	22	4
217	2	29	21	4
218	2.5	29	21	5
219	2.5	29	21	5
220	2.8	23	16	6
221	2.8	24	17	6
222	1.9	44	35	4
223	1.9	41	29	4
224	2	29	21	4
225	2	26	19	4
226	2.5	28	20	5
227	2.5	29	20	5
228	1.8	29	21	4
229	1.8	29	18	4
230	2	28	19	4
231	2	29	21	4
232	2.8	26	16	6
233	2.8	26	18	6
234	3.6	26	17	6
