	class	drv	fl	manufacturer	model	trans	year
1	compact	f	p	audi	a4	auto(l5)	1999
2	compact	f	p	audi	a4	manual(m5)	1999
3	compact	f	p	audi	a4	manual(m6)	2008
4	compact	f	p	audi	a4	auto(av)	2008
5	compact	f	p	audi	a4	auto(l5)	1999
6	compact	f	p	audi	a4	manual(m5)	1999
7	compact	f	p	audi	a4	auto(av)	2008
8	compact	4	p	audi	a4 quattro	manual(m5)	1999
9	compact	4	p	audi	a4 quattro	auto(l5)	1999
10	compact	4	p	audi	a4 quattro	manual(m6)	2008
11	compact	4	p	audi	a4 quattro	auto(s6)	2008
12	compact	4	p	audi	a4 quattro	auto(l5)	1999
13	compact	4	p	audi	a4 quattro	manual(m5)	1999
14	compact	4	p	audi	a4 quattro	auto(s6)	2008
15	compact	4	p	audi	a4 quattro	manual(m6)	2008
16	midsize	4	p	audi	a6 quattro	auto(l5)	1999
17	midsize	4	p	audi	a6 quattro	auto(s6)	2008
18	midsize	4	p	audi	a6 quattro	auto(s6)	2008
19	suv	r	r	chevrolet	c1500 suburban 2wd	auto(l4)	2008
20	suv	r	e	chevrolet	c1500 suburban 2wd	auto(l4)	2008
21	suv	r	r	chevrolet	c1500 suburban 2wd	auto(l4)	2008
22	suv	r	r	chevrolet	c1500 suburban 2wd	auto(l4)	1999
23	suv	r	r	chevrolet	c1500 suburban 2wd	auto(l4)	2008
24	2seater	r	p	chevrolet	corvette	manual(m6)	1999
25	2seater	r	p	chevrolet	corvette	auto(l4)	1999
26	2seater	r	p	chevrolet	corvette	manual(m6)	2008
27	2seater	r	p	chevrolet	corvette	auto(s6)	2008
28	2seater	r	p	chevrolet	corvette	manual(m6)	2008
29	suv	4	r	chevrolet	k1500 tahoe 4wd	auto(l4)	2008
30	suv	4	e	chevrolet	k1500 tahoe 4wd	auto(l4)	2008
31	suv	4	r	chevrolet	k1500 tahoe 4wd	auto(l4)	1999
32	suv	4	d	chevrolet	k1500 tahoe 4wd	auto(l4)	1999
33	midsize	f	r	chevrolet	malibu	auto(l4)	1999
34	midsize	f	r	chevrolet	malibu	auto(l4)	2008
35	midsize	f	r	chevrolet	malibu	auto(l4)	1999
36	midsize	f	r	chevrolet	malibu	auto(l4)	2008
37	midsize	f	r	chevrolet	malibu	auto(s6)	2008
38	minivan	f	r	dodge	caravan 2wd	auto(l3)	1999
39	minivan	f	r	dodge	caravan 2wd	auto(l4)	1999
