	am	carb	cyl	disp	drat	gear	hp	qsec	vs	wt
Mazda RX4	1	4	6	160	3.9	4	110	16.46	0	2.62
Mazda RX4 Wag	1	4	6	160	3.9	4	110	17.02	0	2.875
Datsun 710	1	1	4	108	3.85	4	93	18.61	1	2.32
Hornet 4 Drive	0	1	6	258	3.08	3	110	19.44	1	3.215
Hornet Sportabout	0	2	8	360	3.15	3	175	17.02	0	3.44
Valiant	0	1	6	225	2.76	3	105	20.22	1	3.46
Duster 360	0	4	8	360	3.21	3	245	15.84	0	3.57
Merc 240D	0	2	4	146.7	3.69	4	62	20	1	3.19
Merc 230	0	2	4	140.8	3.92	4	95	22.9	1	3.15
Merc 280	0	4	6	167.6	3.92	4	123	18.3	1	3.44
Merc 280C	0	4	6	167.6	3.92	4	123	18.9	1	3.44
Merc 450SE	0	3	8	275.8	3.07	3	180	17.4	0	4.07
Merc 450SL	0	3	8	275.8	3.07	3	180	17.6	0	3.73
Merc 450SLC	0	3	8	275.8	3.07	3	180	18	0	3.78
Cadillac Fleetwood	0	4	8	472	2.93	3	205	17.98	0	5.25
Lincoln Continental	0	4	8	460	3	3	215	17.82	0	5.424
Chrysler Imperial	0	4	8	440	3.23	3	230	17.42	0	5.345
Fiat 128	1	1	4	78.7	4.08	4	66	19.47	1	2.2
Honda Civic	1	2	4	75.7	4.93	4	52	18.52	1	1.615
Toyota Corolla	1	1	4	71.1	4.22	4	65	19.9	1	1.835
Toyota Corona	0	1	4	120.1	3.7	3	97	20.01	1	2.465
Dodge Challenger	0	2	8	318	2.76	3	150	16.87	0	3.52
AMC Javelin	0	2	8	304	3.15	3	150	17.3	0	3.435
Camaro Z28	0	4	8	350	3.73	3	245	15.41	0	3.84
Pontiac Firebird	0	2	8	400	3.08	3	175	17.05	0	3.845
Fiat X1-9	1	1	4	79	4.08	4	66	18.9	1	1.935
Porsche 914-2	1	2	4	120.3	4.43	5	91	16.7	0	2.14
Lotus Europa	1	2	4	95.1	3.77	5	113	16.9	1	1.513
Ford Pantera L	1	4	8	351	4.22	5	264	14.5	0	3.17
Ferrari Dino	1	6	6	145	3.62	5	175	15.5	0	2.77
Maserati Bora	1	8	8	301	3.54	5	335	14.6	0	3.57
Volvo 142E	1	2	4	121	4.11	4	109	18.6	1	2.78
