	Sepal.Length
s1	5.1
s2	4.9
s3	4.7
s4	4.6
s5	5
s6	5.4
s7	4.6
s8	5
s9	4.4
s10	4.9
s11	5.4
s12	4.8
s13	4.8
s14	4.3
s15	5.8
s16	5.7
s17	5.4
s18	5.1
s19	5.7
s20	5.1
s21	5.4
s22	5.1
s23	4.6
s24	5.1
s25	4.8
s26	5
s27	5
s28	5.2
s29	5.2
s30	4.7
s31	4.8
s32	5.4
s33	5.2
s34	5.5
s35	4.9
s36	5
s37	5.5
s38	4.9
s39	4.4
s40	5.1
s41	5
s42	4.5
s43	4.4
s44	5
s45	5.1
s46	4.8
s47	5.1
s48	4.6
s49	5.3
s50	5
s51	7
s52	6.4
s53	6.9
s54	5.5
s55	6.5
s56	5.7
s57	6.3
s58	4.9
s59	6.6
s60	5.2
s61	5
s62	5.9
s63	6
s64	6.1
s65	5.6
s66	6.7
s67	5.6
s68	5.8
s69	6.2
s70	5.6
s71	5.9
s72	6.1
s73	6.3
s74	6.1
s75	6.4
s76	6.6
s77	6.8
s78	6.7
s79	6
s80	5.7
s81	5.5
s82	5.5
s83	5.8
s84	6
s85	5.4
s86	6
s87	6.7
s88	6.3
s89	5.6
s90	5.5
s91	5.5
s92	6.1
s93	5.8
s94	5
s95	5.6
s96	5.7
s97	5.7
s98	6.2
s99	5.1
s100	5.7
s101	6.3
s102	5.8
s103	7.1
s104	6.3
s105	6.5
s106	7.6
s107	4.9
s108	7.3
s109	6.7
s110	7.2
s111	6.5
s112	6.4
s113	6.8
s114	5.7
s115	5.8
s116	6.4
s117	6.5
s118	7.7
s119	7.7
s120	6
s121	6.9
s122	5.6
s123	7.7
s124	6.3
s125	6.7
s126	7.2
s127	6.2
s128	6.1
s129	6.4
s130	7.2
s131	7.4
s132	7.9
s133	6.4
s134	6.3
s135	6.1
s136	7.7
s137	6.3
s138	6.4
s139	6
s140	6.9
s141	6.7
s142	6.9
s143	5.8
s144	6.8
s145	6.7
s146	6.7
s147	6.3
s148	6.5
s149	6.2
s150	5.9
