	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Var1	2.82	-0.06	1.94	-2.35	4.19	-0.13	2.55	1.49	3.02	-0.7
Var2	3.001	0.3289	2.55	-0.552	3.766	-0.28	4.153	-1.759	3.363	2.09
Var3	2.82	-0.53	2.87	-0.89	4.84	-1.12	3.11	-1.26	1.58	0.19
Var4	2.5	0.86	4.89	1.7	2.54	0.95	2.65	1.22	1.82	0.64
Var5	2.81	0.64	3.47	-0.74	3.17	0.85	1.66	0.89	4.18	-0.17
Var6	2.23	0.18	3.27	-1.53	4.3	-1.49	2.16	-0.48	2.93	2.26
Var7	2.98	-2.8	3.1	-0.03	1.89	-0.48	3.53	0.68	3.71	0.04
Var8	3.49	-0.79	2.36	0.62	5.25	-1.51	2.65	-0.99	2.21	1.18
Var9	3.35	0.47	3.58	-0.5	2.15	-0.7	1.74	-0.82	2.76	1.1
Var10	3.72	0.27	2.91	-0.82	1.42	1.44	4.32	-1.72	2.8	-0.15
Var11	2.53	1.33	-1.41	2.36	-1.2	1.48	0.56	1.48	-0.81	1.39
Var12	-2.23	3.04	-1.05	1.43	0.53	1.14	1.09	2.57	0.37	3.53
Var13	-1.3	1.48	-1.1	1.99	0.25	1.91	-1.11	1.99	-0.62	0.76
Var14	0.4	2.37	0.49	1.07	1.03	2.06	0.11	0.1	1.08	2.02
Var15	-0.42	6.68	0.19	6.96	-0.01	6.49	0.33	5.97	0.24	6.17
Var16	-0.24	6.11	-0.69	6.6	0.2	6.23	0.13	6.6	-0.48	7.22
Var17	0.8	7.04	0.46	5.7	-1.68	6.41	0.48	6.2	-0.36	6.04
Var18	0.02	5.44	0.65	5.03	2.4	6.52	-1.02	6.13	1.16	6.5
Var19	0.01	7.7	1.17	5.98	-2.31	5.01	0.6	4.81	0.25	5.74
Var20	1.28	3.76	0.08	5.34	1.1	5	0.46	6.59	-1.98	7.75
