	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Var1	3.41	0.78	3.53	0.95	3.91	0.92	3.32	0.63	3.57	0.66
Var2	3.58	0.82	3.42	0.03	3.25	0.91	3.48	0.3	3.3	0.65
Var3	3	0.48	3.03	0.28	3.8	0.4	3.38	1	3.11	0.93
Var4	3.61	0.72	3.04	0.97	3.54	0.71	3.58	0.05	3.34	0.13
Var5	3.81	0.47	3.73	0.78	3.96	0.2	3.24	0.61	3.16	0.76
Var6	0.54	0.47	0.83	0.78	0.92	0.99	0.54	0.64	0.74	0.37
Var7	0.22	0.71	0.1	0.57	0.96	0.31	0.8	0.17	0.44	0.7
Var8	0.58	0.09	0.21	0.84	0.3	0.05	0.5	0.77	0.85	0.66
Var9	0.56	0.42	0.34	0.4	0.6	0.56	0.05	0.59	0.43	0.7
Var10	0.3	4.24	0.89	4.28	0.78	4.26	0.21	4.26	0.39	4.37
Var11	3.74	0.36	3.54	0.22	3.54	0.74	3.79	0.42	3.15	0.75
Var12	3.4	0.46	3.19	0.46	3.77	0.5	3.67	0.54	3.9	0.01
Var13	3.28	0.68	3.48	0.62	3.57	0.32	3.55	0.49	3.43	0.5
Var14	3.62	0.68	3.37	0.51	3.36	0.15	3.13	0.53	3.44	0.95
Var15	3.7	0.41	3.92	0.86	3.42	0.7	3.62	0.03	3.85	0.4
Var16	0.9	4.83	0.74	4.16	0.9	4.46	0.71	4.2	0.72	4.55
Var17	0.97	4.81	0.65	4.62	0.88	4.49	0.17	4.57	0.9	4.1
Var18	0.24	4.02	0.83	4.52	0.96	4.62	0.02	4.9	0.07	4.25
Var19	0.11	4.1	0.33	4.56	0.4	4.77	0.24	4.48	0.49	4.9
Var20	0.48	4.36	0.67	4.93	0.25	4.67	0.29	4.01	0.02	4.94
