	Cost	Department	Division	Op-Date	Operator	Program	Req-Date	Requester	Time	Tool
R1	4480	Research	Immuno	8/19/23	Kristin	TRV-AAC1-4	8/6/23	Jason	13	DNA-Seq T/N
R2	2790	Research	Immuno	6/13/23	Travis	NPTX2	6/2/23	Ashley	11	DNA-Seq T/N
R3	370	Research	Immuno	4/29/24	Sean	NPTX3	4/13/24	Kimberly	16	DNA-Seq T/N
R4	6630	Research	Immuno	7/5/24	Katie	TRC-GCA23-1	6/24/24	Robert	11	RNA-Seq
R5	1180	Research	Immuno	8/12/23	Lindsay	TRC-GCA23-2	7/24/23	Jonathan	19	CHIP-Seq
R6	1170	Research	CV	2/28/23	Travis	SNORD89	2/15/23	Megan	13	RNA-Seq
R7	5990	Research	CV	2/14/24	Zachary	MTHFR	2/5/24	Megan	9	Proteomics
R8	8190	Research	CV	2/4/24	Lindsey	DTWD1	1/27/24	Patrick	8	DNA-Seq T/N
R9	1440	Research	CV	10/2/23	Lindsey	DTWD2	9/19/23	Kevin	13	Proteomics
R10	7390	Research	CV	3/24/24	Katie	DTWD3	3/16/24	Lauren	8	DNA-Seq T/N
R11	1860	Research	Neuro	3/7/24	Christine	NECAB3	2/26/24	Jennifer	10	Proteomics
R12	7440	Research	Neuro	4/28/24	Zachary	SPCS3	4/13/24	William	15	RNA-Seq
R13	3700	Research	Neuro	5/5/23	Lindsey	SPCS3	4/15/23	William	20	CRISPR
R14	5850	Research	Neuro	2/6/23	Kristin	SPCS3	1/24/23	Brittany	13	RNA-Seq
R15	8660	Research	Neuro	9/8/24	Dustin	STK17B	8/19/24	Nathan	20	DNA-Seq T/N
R16	8950	Research	Neuro	8/22/24	Gregory	SNHG23	8/14/24	Benjamin	8	RNA-Seq
R17	9040	Research	Neuro	5/2/23	Travis	SNHG23	4/24/23	Benjamin	8	MSI
R18	7970	Research	Neuro	7/19/23	Lindsay	SNHG23	7/1/23	Benjamin	18	DNA-Seq T/N
R19	2630	Research	Neuro	1/16/24	Katie	RAD18	1/5/24	Andrea	11	RNA-Seq
R20	5620	Research	Neuro	6/27/23	Gregory	STK17B	6/17/23	Laura	10	DNA-Seq T only
R21	450	Research	Neuro	2/14/24	Travis	ZPBP	2/2/24	Thomas	12	RNA-Seq
R22	9970	Research	Neuro	12/17/23	Christine	LINC01415	11/28/23	Mark	19	RNA-Seq
R23	8150	Research	Neuro	7/23/23	Katie	LEF1	7/10/23	Stephen	13	Cut&Run
R24	8250	Research	Neuro	3/7/23	Sean	LEF1	2/25/23	Stephen	10	scRNA
R25	7150	Research	Neuro	12/1/23	Zachary	ZPBP	11/17/23	Stephen	14	DNA-Seq T/N
