color	height	id	language	name	width
rgb(247,109,109)	14.0	Id0		root	14.0
rgb(247,109,109)	14.0	Id1		src	14.0
rgb(247,109,109)	14.0	Id2		Symfony	14.0
rgb(247,109,109)	14.0	Id3		Component	14.0
rgb(247,109,109)	14.0	Id4		Translation	14.0
rgb(247,109,109)	14.0	Id5		Loader	14.0
rgb(247,109,109)	14.0	Id6		schema	14.0
rgb(247,109,109)	14.0	Id7		dic	14.0
rgb(247,111,109)	14.0	Id8		xliff-core	14.0
rgb(247,111,109)	86.7	Id9	XSD	xliff-core-1.2-strict.xsd	86.7
rgb(247,111,109)	37.2	Id10	XSD	xml.xsd	37.2
rgb(247,111,109)	25.1	Id11	PHP	MoFileLoader.php	25.1
rgb(247,111,109)	23.5	Id12	PHP	PoFileLoader.php	23.5
rgb(247,111,109)	23.5	Id13	PHP	XliffFileLoader.php	23.5
rgb(247,111,109)	20.2	Id14	PHP	QtFileLoader.php	20.2
rgb(247,111,109)	19.1	Id15	PHP	CsvFileLoader.php	19.1
rgb(247,114,109)	17.7	Id16	PHP	IcuResFileLoader.php	17.7
rgb(247,114,109)	16.2	Id17	PHP	YamlFileLoader.php	16.2
rgb(247,114,109)	15.6	Id18	PHP	ArrayLoader.php	15.6
rgb(247,114,109)	15.4	Id19	PHP	IcuDatFileLoader.php	15.4
rgb(247,114,109)	13.5	Id20	PHP	PhpFileLoader.php	13.5
rgb(247,114,109)	13.5	Id21	PHP	IniFileLoader.php	13.5
rgb(247,114,109)	9.6	Id22	PHP	QtTranslationsLoader.php	9.6
rgb(247,114,109)	9.2	Id23	PHP	LoaderInterface.php	9.2
rgb(247,114,109)	14.0	Id24		Tests	14.0
rgb(247,116,109)	33.9	Id25	PHP	TranslatorTest.php	33.9
rgb(247,116,109)	29.6	Id26	PHP	MessageCatalogueTest.php	29.6
rgb(247,116,109)	20.6	Id27	PHP	PluralizationRulesTest.php	20.6
rgb(247,116,109)	14.0	Id28		Loader	14.0
rgb(247,116,109)	19.9	Id29	PHP	PoFileLoaderTest.php	19.9
rgb(247,116,109)	19.9	Id30	PHP	XliffFileLoaderTest.php	19.9
rgb(247,116,109)	19.4	Id31	PHP	YamlFileLoaderTest.php	19.4
rgb(247,116,109)	18.2	Id32	PHP	IcuDatFileLoaderTest.php	18.2
rgb(247,118,109)	18.0	Id33	PHP	MoFileLoaderTest.php	18.0
rgb(247,118,109)	18.0	Id34	PHP	CsvFileLoaderTest.php	18.0
rgb(247,118,109)	17.5	Id35	PHP	QtFileLoaderTest.php	17.5
rgb(247,118,109)	17.0	Id36	PHP	IniFileLoaderTest.php	17.0
rgb(247,118,109)	16.6	Id37	PHP	IcuResFileLoaderTest.php	16.6
rgb(247,118,109)	16.4	Id38	PHP	PhpFileLoaderTest.php	16.4
rgb(247,118,109)	10.4	Id39	PHP	LocalizedTestCase.php	10.4
rgb(247,118,109)	18.8	Id40	PHP	MessageSelectorTest.php	18.8
rgb(247,121,109)	16.8	Id41	PHP	IdentityTranslatorTest.php	16.8
rgb(247,121,109)	15.2	Id42	PHP	IntervalTest.php	15.2
rgb(247,121,109)	14.0	Id43		Dumper	14.0
rgb(247,121,109)	14.0	Id44	PHP	YamlFileDumperTest.php	14.0
rgb(247,121,109)	13.5	Id45	PHP	IcuResFileDumperTest.php	13.5
rgb(247,121,109)	12.7	Id46	PHP	CsvFileDumperTest.php	12.7
rgb(247,121,109)	12.4	Id47	PHP	PhpFileDumperTest.php	12.4
rgb(247,121,109)	12.4	Id48	PHP	IniFileDumperTest.php	12.4
rgb(247,121,109)	12.4	Id49	PHP	MoFileDumperTest.php	12.4
rgb(247,123,109)	12.4	Id50	PHP	QtFileDumperTest.php	12.4
