	Condition	n
1	Rac	12
2	Rho	32
3	Cdc42	19
4	Rac	12
5	Rho	32
6	Cdc42	19
7	Rac	12
8	Rho	32
9	Cdc42	19
10	Rac	12
11	Rho	32
12	Cdc42	19
13	Rac	12
14	Rho	32
15	Cdc42	19
16	Rac	12
17	Rho	32
18	Cdc42	19
19	Rac	12
20	Rho	32
21	Cdc42	19
22	Rac	12
23	Rho	32
24	Cdc42	19
25	Rac	12
26	Rho	32
27	Cdc42	19
28	Rac	12
29	Rho	32
30	Cdc42	19
31	Rac	12
32	Rho	32
33	Cdc42	19
34	Rac	12
35	Rho	32
36	Cdc42	19
37	Rac	12
38	Rho	32
39	Cdc42	19
40	Rac	12
41	Rho	32
42	Cdc42	19
43	Rac	12
44	Rho	32
45	Cdc42	19
46	Rac	12
47	Rho	32
48	Cdc42	19
49	Rac	12
50	Rho	32
51	Cdc42	19
52	Rac	12
53	Rho	32
54	Cdc42	19
55	Rac	12
56	Rho	32
57	Cdc42	19
58	Rac	12
59	Rho	32
60	Cdc42	19
61	Rac	12
62	Rho	32
63	Cdc42	19
64	Rac	12
65	Rho	32
66	Cdc42	19
67	Rac	12
68	Rho	32
69	Cdc42	19
70	Rac	12
71	Rho	32
72	Cdc42	19
73	Rac	12
74	Rho	32
75	Cdc42	19
76	Rac	12
77	Rho	32
78	Cdc42	19
79	Rac	12
80	Rho	32
81	Cdc42	19
82	Rac	12
83	Rho	32
84	Cdc42	19
85	Rac	12
86	Rho	32
87	Cdc42	19
88	Rac	12
89	Rho	32
90	Cdc42	19
91	Rac	12
92	Rho	32
93	Cdc42	19
94	Rac	12
95	Rho	32
96	Cdc42	19
97	Rac	12
98	Rho	32
99	Cdc42	19
100	Rac	12
101	Rho	32
102	Cdc42	19
103	Rac	12
104	Rho	32
105	Cdc42	19
106	Rac	12
107	Rho	32
108	Cdc42	19
109	Rac	12
110	Rho	32
111	Cdc42	19
112	Rac	12
113	Rho	32
114	Cdc42	19
115	Rac	12
116	Rho	32
117	Cdc42	19
118	Rac	12
119	Rho	32
120	Cdc42	19
121	Rac	12
122	Rho	32
123	Cdc42	19
124	Rac	12
125	Rho	32
126	Cdc42	19
127	Rac	12
128	Rho	32
129	Cdc42	19
130	Rac	12
131	Rho	32
132	Cdc42	19
133	Rac	12
134	Rho	32
135	Cdc42	19
136	Rac	12
137	Rho	32
138	Cdc42	19
139	Rac	12
140	Rho	32
141	Cdc42	19
142	Rac	12
143	Rho	32
144	Cdc42	19
145	Rac	12
146	Rho	32
147	Cdc42	19
148	Rac	12
149	Rho	32
150	Cdc42	19
151	Rac	12
152	Rho	32
153	Cdc42	19
154	Rac	12
155	Rho	32
156	Cdc42	19
157	Rac	12
158	Rho	32
159	Cdc42	19
160	Rac	12
161	Rho	32
162	Cdc42	19
163	Rac	12
164	Rho	32
165	Cdc42	19
166	Rac	12
167	Rho	32
168	Cdc42	19
169	Rac	12
170	Rho	32
171	Cdc42	19
172	Rac	12
173	Rho	32
174	Cdc42	19
175	Rac	12
176	Rho	32
177	Cdc42	19
178	Rac	12
179	Rho	32
180	Cdc42	19
181	Rac	12
182	Rho	32
183	Cdc42	19
184	Rho	32
185	Cdc42	19
186	Rho	32
187	Cdc42	19
188	Rho	32
189	Cdc42	19
190	Rho	32
191	Cdc42	19
192	Rho	32
193	Cdc42	19
194	Rho	32
195	Cdc42	19
196	Rho	32
197	Cdc42	19
198	Rho	32
199	Cdc42	19
200	Rho	32
201	Cdc42	19
202	Rho	32
203	Cdc42	19
204	Rho	32
205	Cdc42	19
206	Rho	32
207	Cdc42	19
208	Rho	32
209	Cdc42	19
210	Rho	32
211	Cdc42	19
212	Rho	32
213	Cdc42	19
214	Rho	32
215	Cdc42	19
216	Rho	32
217	Cdc42	19
218	Rho	32
219	Cdc42	19
220	Rho	32
221	Cdc42	19
222	Rho	32
223	Cdc42	19
224	Rho	32
225	Cdc42	19
226	Rho	32
227	Cdc42	19
228	Rho	32
229	Cdc42	19
230	Rho	32
231	Cdc42	19
232	Rho	32
233	Cdc42	19
234	Rho	32
235	Cdc42	19
236	Rho	32
237	Cdc42	19
238	Rho	32
239	Cdc42	19
240	Rho	32
241	Cdc42	19
242	Rho	32
243	Cdc42	19
244	Rho	32
245	Cdc42	19
246	Rho	32
247	Cdc42	19
248	Rho	32
249	Cdc42	19
250	Rho	32
251	Cdc42	19
252	Rho	32
253	Cdc42	19
254	Rho	32
255	Cdc42	19
256	Rho	32
257	Cdc42	19
258	Rho	32
259	Cdc42	19
260	Rho	32
261	Cdc42	19
262	Rho	32
263	Cdc42	19
264	Rho	32
265	Cdc42	19
266	Rho	32
267	Cdc42	19
268	Rho	32
269	Cdc42	19
270	Rho	32
271	Cdc42	19
272	Rho	32
273	Cdc42	19
274	Rho	32
275	Cdc42	19
276	Rho	32
277	Cdc42	19
278	Rho	32
279	Cdc42	19
280	Rho	32
281	Cdc42	19
282	Rho	32
283	Cdc42	19
284	Rho	32
285	Cdc42	19
286	Rho	32
287	Cdc42	19
288	Rho	32
289	Cdc42	19
290	Rho	32
291	Cdc42	19
292	Rho	32
293	Cdc42	19
294	Rho	32
295	Cdc42	19
296	Rho	32
297	Cdc42	19
298	Rho	32
299	Cdc42	19
300	Rho	32
301	Cdc42	19
302	Rho	32
303	Cdc42	19
