	Condition
Time	
Cell-1	Cdc42
Cell-2	Cdc42
Cell-3	Cdc42
Cell-4	Cdc42
Cell-5	Cdc42
Cell-6	Cdc42
Cell-7	Cdc42
Cell-8	Cdc42
Cell-9	Cdc42
Cell-10	Cdc42
Cell-11	Cdc42
Cell-12	Cdc42
Cell-13	Cdc42
Cell-14	Cdc42
Cell-15	Cdc42
Cell-16	Cdc42
Cell-17	Cdc42
Cell-18	Cdc42
Cell-19	Cdc42
Cell-20	Rac
Cell-21	Rac
Cell-22	Rac
Cell-23	Rac
Cell-24	Rac
Cell-25	Rac
Cell-26	Rac
Cell-27	Rac
Cell-28	Rac
Cell-29	Rac
Cell-30	Rac
Cell-31	Rac
Cell-32	Rac
Cell-33	Rac
Cell-34	Rac
Cell-35	Rac
Cell-36	Rac
Cell-37	Rac
Cell-38	Rac
Cell-39	Rac
Cell-40	Rac
Cell-41	Rac
Cell-42	Rac
Cell-43	Rac
Cell-44	Rac
Cell-45	Rac
Cell-46	Rac
Cell-47	Rac
Cell-48	Rac
Cell-49	Rac
Cell-50	Rac
Cell-51	Rac
Cell-52	Rho
Cell-53	Rho
Cell-54	Rho
Cell-55	Rho
Cell-56	Rho
Cell-57	Rho
Cell-58	Rho
Cell-59	Rho
Cell-60	Rho
Cell-61	Rho
Cell-62	Rho
Cell-63	Rho
