	Cabin	Embarked	Fare	Parch	Pclass	Sex	SibSp	Survived	Ticket
1		S	7.25	0	3	male	1	0	A/5 21171
2	C85	C	71.2833	0	1	female	1	1	PC 17599
3		S	7.925	0	3	female	0	1	STON/O2. 3101282
4	C123	S	53.1	0	1	female	1	1	113803
5		S	8.05	0	3	male	0	0	373450
6		Q	8.4583	0	3	male	0	0	330877
7	E46	S	51.8625	0	1	male	0	0	17463
8		S	21.075	1	3	male	3	0	349909
9		S	11.1333	2	3	female	0	1	347742
10		C	30.0708	0	2	female	1	1	237736
11	G6	S	16.7	1	3	female	1	1	PP 9549
12	C103	S	26.55	0	1	female	0	1	113783
13		S	8.05	0	3	male	0	0	A/5. 2151
14		S	31.275	5	3	male	1	0	347082
15		S	7.8542	0	3	female	0	0	350406
16		S	16	0	2	female	0	1	248706
17		Q	29.125	1	3	male	4	0	382652
18		S	13	0	2	male	0	1	244373
19		S	18	0	3	female	1	0	345763
20		C	7.225	0	3	female	0	1	2649
21		S	26	0	2	male	0	0	239865
22	D56	S	13	0	2	male	0	1	248698
23		Q	8.0292	0	3	female	0	1	330923
24	A6	S	35.5	0	1	male	0	1	113788
25		S	21.075	1	3	female	3	0	349909
26		S	31.3875	5	3	female	1	1	347077
27		C	7.225	0	3	male	0	0	2631
28	C23 C25 C27	S	263	2	1	male	3	0	19950
29		Q	7.8792	0	3	female	0	1	330959
30		S	7.8958	0	3	male	0	0	349216
31		C	27.7208	0	1	male	0	0	PC 17601
32	B78	C	146.5208	0	1	female	1	1	PC 17569
33		Q	7.75	0	3	female	0	1	335677
34		S	10.5	0	2	male	0	0	C.A. 24579
35		C	82.1708	0	1	male	1	0	PC 17604
36		S	52	0	1	male	1	0	113789
37		C	7.2292	0	3	male	0	1	2677
38		S	8.05	0	3	male	0	0	A./5. 2152
39		S	18	0	3	female	2	0	345764
40		C	11.2417	0	3	female	1	1	2651
41		S	9.475	0	3	female	1	0	7546
42		S	21	0	2	female	1	0	11668
43		C	7.8958	0	3	male	0	0	349253
44		C	41.5792	2	2	female	1	1	SC/Paris 2123
45		Q	7.8792	0	3	female	0	1	330958
46		S	8.05	0	3	male	0	0	S.C./A.4. 23567
47		Q	15.5	0	3	male	1	0	370371
48		Q	7.75	0	3	female	0	1	14311
49		C	21.6792	0	3	male	2	0	2662
50		S	17.8	0	3	female	1	0	349237
51		S	39.6875	1	3	male	4	0	3101295
52		S	7.8	0	3	male	0	0	A/4. 39886
53	D33	C	76.7292	0	1	female	1	1	PC 17572
54		S	26	0	2	female	1	1	2926
55	B30	C	61.9792	1	1	male	0	0	113509
56	C52	S	35.5	0	1	male	0	1	19947
57		S	10.5	0	2	female	0	1	C.A. 31026
58		C	7.2292	0	3	male	0	0	2697
59		S	27.75	2	2	female	1	1	C.A. 34651
60		S	46.9	2	3	male	5	0	CA 2144
61		C	7.2292	0	3	male	0	0	2669
62	B28		80	0	1	female	0	1	113572
63	C83	S	83.475	0	1	male	1	0	36973
64		S	27.9	2	3	male	3	0	347088
65		C	27.7208	0	1	male	0	0	PC 17605
66		C	15.2458	1	3	male	1	1	2661
67	F33	S	10.5	0	2	female	0	1	C.A. 29395
68		S	8.1583	0	3	male	0	0	S.P. 3464
69		S	7.925	2	3	female	4	1	3101281
70		S	8.6625	0	3	male	2	0	315151
71		S	10.5	0	2	male	0	0	C.A. 33111
72		S	46.9	2	3	female	5	0	CA 2144
73		S	73.5	0	2	male	0	0	S.O.C. 14879
74		C	14.4542	0	3	male	1	0	2680
75		S	56.4958	0	3	male	0	1	1601
76	F G73	S	7.65	0	3	male	0	0	348123
77		S	7.8958	0	3	male	0	0	349208
78		S	8.05	0	3	male	0	0	374746
79		S	29	2	2	male	0	1	248738
80		S	12.475	0	3	female	0	1	364516
81		S	9	0	3	male	0	0	345767
82		S	9.5	0	3	male	0	1	345779
83		Q	7.7875	0	3	female	0	1	330932
84		S	47.1	0	1	male	0	0	113059
85		S	10.5	0	2	female	0	1	SO/C 14885
86		S	15.85	0	3	female	3	1	3101278
87		S	34.375	3	3	male	1	0	W./C. 6608
88		S	8.05	0	3	male	0	0	SOTON/OQ 392086
89	C23 C25 C27	S	263	2	1	female	3	1	19950
90		S	8.05	0	3	male	0	0	343275
91		S	8.05	0	3	male	0	0	343276
92		S	7.8542	0	3	male	0	0	347466
93	E31	S	61.175	0	1	male	1	0	W.E.P. 5734
94		S	20.575	2	3	male	1	0	C.A. 2315
95		S	7.25	0	3	male	0	0	364500
96		S	8.05	0	3	male	0	0	374910
97	A5	C	34.6542	0	1	male	0	0	PC 17754
98	D10 D12	C	63.3583	1	1	male	0	1	PC 17759
99		S	23	1	2	female	0	1	231919
100		S	26	0	2	male	1	0	244367
101		S	7.8958	0	3	female	0	0	349245
102		S	7.8958	0	3	male	0	0	349215
103	D26	S	77.2875	1	1	male	0	0	35281
104		S	8.6542	0	3	male	0	0	7540
105		S	7.925	0	3	male	2	0	3101276
106		S	7.8958	0	3	male	0	0	349207
107		S	7.65	0	3	female	0	1	343120
108		S	7.775	0	3	male	0	1	312991
109		S	7.8958	0	3	male	0	0	349249
110		Q	24.15	0	3	female	1	1	371110
111	C110	S	52	0	1	male	0	0	110465
112		C	14.4542	0	3	female	1	0	2665
113		S	8.05	0	3	male	0	0	324669
114		S	9.825	0	3	female	1	0	4136
115		C	14.4583	0	3	female	0	0	2627
116		S	7.925	0	3	male	0	0	STON/O 2. 3101294
117		Q	7.75	0	3	male	0	0	370369
118		S	21	0	2	male	1	0	11668
119	B58 B60	C	247.5208	1	1	male	0	0	PC 17558
120		S	31.275	2	3	female	4	0	347082
121		S	73.5	0	2	male	2	0	S.O.C. 14879
