	Age	Class	Sex	Survived
1	Child	1st	Male	No
2	Child	2nd	Male	No
3	Child	3rd	Male	No
4	Child	Crew	Male	No
5	Child	1st	Female	No
6	Child	2nd	Female	No
7	Child	3rd	Female	No
8	Child	Crew	Female	No
9	Adult	1st	Male	No
10	Adult	2nd	Male	No
11	Adult	3rd	Male	No
12	Adult	Crew	Male	No
13	Adult	1st	Female	No
14	Adult	2nd	Female	No
15	Adult	3rd	Female	No
16	Adult	Crew	Female	No
17	Child	1st	Male	Yes
18	Child	2nd	Male	Yes
19	Child	3rd	Male	Yes
20	Child	Crew	Male	Yes
21	Child	1st	Female	Yes
22	Child	2nd	Female	Yes
23	Child	3rd	Female	Yes
24	Child	Crew	Female	Yes
25	Adult	1st	Male	Yes
26	Adult	2nd	Male	Yes
27	Adult	3rd	Male	Yes
28	Adult	Crew	Male	Yes
29	Adult	1st	Female	Yes
30	Adult	2nd	Female	Yes
31	Adult	3rd	Female	Yes
32	Adult	Crew	Female	Yes
