color	height	id	language	name	width
rgb(247,109,109)	14.0	Id0		root	14.0
rgb(247,109,109)	14.0	Id1		wp-admin	14.0
rgb(247,111,109)	14.0	Id2		css	14.0
rgb(247,111,109)	139.9	Id3	CSS	wp-admin.css	139.9
rgb(247,111,109)	82.5	Id4	CSS	wp-admin-rtl.css	82.5
rgb(247,114,109)	80.0	Id5	CSS	colors-classic.css	80.0
rgb(247,114,109)	78.5	Id6	CSS	colors-fresh.css	78.5
rgb(247,116,109)	47.8	Id7	CSS	ie.css	47.8
rgb(247,116,109)	40.4	Id8	CSS	customize-controls.css	40.4
rgb(247,116,109)	38.0	Id9	CSS	media.css	38.0
rgb(247,118,109)	34.9	Id10	CSS	install.css	34.9
rgb(247,118,109)	30.9	Id11	CSS	ie-rtl.css	30.9
rgb(247,121,109)	24.4	Id12	CSS	color-picker.css	24.4
rgb(247,121,109)	21.4	Id13	CSS	media-rtl.css	21.4
rgb(247,121,109)	20.0	Id14	CSS	customize-controls-rtl.css	20.0
rgb(247,123,109)	17.8	Id15	CSS	farbtastic.css	17.8
rgb(247,123,109)	14.0	Id16	CSS	color-picker-rtl.css	14.0
rgb(247,123,109)	4.0	Id17	CSS	ie-rtl.min.css	4.0
rgb(247,125,109)	4.0	Id18	CSS	wp-admin.min.css	4.0
rgb(247,125,109)	4.0	Id19	CSS	install.min.css	4.0
rgb(247,128,109)	4.0	Id20	CSS	customize-controls.min.css	4.0
rgb(247,128,109)	4.0	Id21	CSS	customize-controls-rtl.min.css	4.0
rgb(247,128,109)	4.0	Id22	CSS	ie.min.css	4.0
rgb(247,130,109)	4.0	Id23	CSS	media.min.css	4.0
rgb(247,130,109)	4.0	Id24	CSS	colors-classic.min.css	4.0
rgb(247,132,109)	4.0	Id25	CSS	color-picker.min.css	4.0
rgb(247,132,109)	4.0	Id26	CSS	colors-fresh.min.css	4.0
rgb(247,132,109)	4.0	Id27	CSS	media-rtl.min.css	4.0
rgb(247,134,109)	4.0	Id28	CSS	wp-admin-rtl.min.css	4.0
rgb(247,134,109)	4.0	Id29	CSS	color-picker-rtl.min.css	4.0
rgb(247,137,109)	14.0	Id30		includes	14.0
rgb(247,137,109)	97.7	Id31	PHP	class-pclzip.php	97.7
rgb(247,137,109)	78.2	Id32	PHP	ajax-actions.php	78.2
rgb(247,139,109)	77.0	Id33	PHP	media.php	77.0
rgb(247,139,109)	69.2	Id34	PHP	upgrade.php	69.2
rgb(247,139,109)	66.8	Id35	PHP	class-wp-upgrader.php	66.8
rgb(247,141,109)	66.5	Id36	PHP	template.php	66.5
