Evidence1	Evidence2	Evidence3	Evidence4	color	connectortype	database	elbows	endArrow	endX	endY	exactEnd	graphid	hideTooltip	id1	id2	linestyle	nodeName	point	startX	startY	type	width	zorder
3	1	D	D	ff0000				arrow	0	-1		d2919		ff0	d44		interaction	[{"graphref": "ff0", "relx": "0.0", "rely": "1.0", "x": "720.0", "y": "76.66666666666667"}, {"arrowhead": "Arrow", "graphref": "d44", "relx": "0.0", "rely": "-1.0", "x": "720.0", "y": "116.66666666666669"}]	0	1	solid	1	12288
1	1	C	D					square	-1	0		id632252e2		ec258	f13		interaction	[{"graphref": "ec258", "relx": "1.0", "rely": "0.0", "x": "1199.0", "y": "276.0"}, {"arrowhead": "TBar", "graphref": "f13", "relx": "-1.0", "rely": "0.0", "x": "1224.230706092902", "y": "276.0"}]	1	0	solid	1	12288
2	5	C	A					square	0	1		id76e06696		d254c	fe5		interaction	[{"graphref": "ff3a7", "relx": "0.0", "rely": "-1.0", "x": "395.33333333333337", "y": "435.66666666666663"}, {"arrowhead": "TBar", "graphref": "fe5", "relx": "0.0", "rely": "1.0", "x": "395.33333333333337", "y": "412.3333333333333"}]	0	-1	solid	1	12288
1	1	C	D	0000ff					-0.5	-1		b787a		dbe72	cb0		interaction	[{"graphref": "f02c5", "relx": "1.0", "rely": "0.5", "x": "126.33333333333333", "y": "307.3333333333333"}, {"graphref": "cb0", "relx": "-0.5", "rely": "-1.0", "x": "187.35101802779977", "y": "374.19695452078867"}]	1	0.5	solid	1	12290
1	3	C	E					arrow	0	-1		baf22		cb605	defd7		interaction	[{"graphref": "e9cdc", "relx": "0.0", "rely": "1.0", "x": "116.99999999999994", "y": "425.3333333333335"}, {"arrowhead": "Arrow", "graphref": "c5179", "relx": "0.0", "rely": "-1.0", "x": "117.33333333333331", "y": "462.0"}]	0	1	solid	1	12292
3	4	A	A	0000ff				square	0	1		cc7da		bdb	a5f		interaction	[{"graphref": "bdb", "relx": "0.0", "rely": "-1.0", "x": "666.6666666666666", "y": "728.0000000000001"}, {"arrowhead": "TBar", "graphref": "a5f", "relx": "0.0", "rely": "1.0", "x": "667.3333333333334", "y": "695.3333333333334"}]	0	-1	solid	1	12294
3	3	B	D					arrow	0	-1		bc7e4		cec	e16		interaction	[{"graphref": "cec", "relx": "0.0", "rely": "1.0", "x": "281.33333333333326", "y": "308.66666666666686"}, {"arrowhead": "Arrow", "graphref": "e16", "relx": "0.0", "rely": "-1.0", "x": "280.6666666666667", "y": "359.3333333333333"}]	0	1	solid	1	12296
1	3	C	A	ff0000				arrow	-0.5	-1		b5cd8		f2e	cd5		interaction	[{"graphref": "f2e", "relx": "0.0", "rely": "1.0", "x": "933.3333333333334", "y": "225.33333333333331"}, {"arrowhead": "Arrow", "graphref": "cd5", "relx": "-0.5", "rely": "-1.0", "x": "975.0", "y": "303.3333333333333"}]	0	1	solid	1	12298
1	3	B	D	ff0000				arrow	0	-1		f11ae		cb6	a6d06		interaction	[{"graphref": "cb6", "relx": "0.0", "rely": "1.0", "x": "499.99999999999955", "y": "284.00000000000034"}, {"arrowhead": "Arrow", "graphref": "a6d06", "relx": "0.0", "rely": "-1.0", "x": "627.3333333333314", "y": "387.16666666666674"}]	0	1	solid	1	12300
1	3	D	A	ff0000				arrow	-1	0		bb62f		eed	ac6	Broken	interaction	[{"graphref": "eed", "relx": "1.0", "rely": "0.0", "x": "856.6666666666666", "y": "243.3333333333333"}, {"arrowhead": "Arrow", "graphref": "ac6", "relx": "-1.0", "rely": "0.0", "x": "1080.6666666666667", "y": "245.33333333333317"}]	1	0	dashed	1	12302
3	3	E	B					arrow	-1	0		b8961		ffcf1	cec		interaction	[{"graphref": "b4dc4", "relx": "1.0", "rely": "0.0", "x": "230.33333333333334", "y": "298.66666666666663"}, {"arrowhead": "Arrow", "graphref": "cec", "relx": "-1.0", "rely": "0.0", "x": "251.33333333333326", "y": "298.66666666666686"}]	1	0	solid	1	12304
2	3	A	A	0000ff				square	0	-1		a99ac		ecf	f44cf		interaction	[{"graphref": "ecf", "relx": "0.0", "rely": "1.0", "x": "506.6666666666663", "y": "112.6666666666667"}, {"arrowhead": "TBar", "graphref": "ef1a2", "relx": "0.0", "rely": "-1.0", "x": "507.33333333333326", "y": "135.6666666666666"}]	0	1	solid	1	12306
2	3	E	E		Elbow		[[430.7, 684.7], [384.7, 684.7], [384.7, 666.7]]	arrow	0	1		e2a0c		a21	b98		interaction	[{"graphref": "a21", "relx": "-1.0", "rely": "0.0", "x": "430.6666666666669", "y": "684.6666666666669"}, {"arrowhead": "Arrow", "graphref": "b98", "relx": "0.0", "rely": "1.0", "x": "384.66666666666674", "y": "666.6666666666666"}]	-1	0	solid	1	12308
1	3	A	D	ff0000				arrow	-0.5	-1		a882d		d44	a45		interaction	[{"graphref": "d44", "relx": "0.0", "rely": "1.0", "x": "720.0", "y": "136.66666666666669"}, {"arrowhead": "Arrow", "graphref": "a45", "relx": "-0.5", "rely": "-1.0", "x": "765.0", "y": "270.0"}]	0	1	solid	1	12310
3	4	C	B	ff0000				arrow	-1	0		ab39f		d80	c90		interaction	[{"graphref": "d80", "relx": "1.0", "rely": "0.0", "x": "816.6666666666666", "y": "343.3333333333333"}, {"arrowhead": "Arrow", "graphref": "c90", "relx": "-1.0", "rely": "0.0", "x": "960.0", "y": "360.0"}]	1	0	solid	1	12312
3	1	B	C	ff0000				arrow	0	1		c59f1		a28	aa8		interaction	[{"graphref": "a28", "relx": "0.0", "rely": "-1.0", "x": "600.2695924764896", "y": "462.6562173458724"}, {"arrowhead": "Arrow", "graphref": "aa8", "relx": "0.0", "rely": "1.0", "x": "696.6666666666666", "y": "326.6666666666667"}]	0	-1	solid	1	12314
1	4	D	D	ff0000				arrow	1	0		d0298		a45	dde		interaction	[{"graphref": "a45", "relx": "-1.0", "rely": "0.0", "x": "750.0", "y": "280.0"}, {"arrowhead": "Arrow", "graphref": "dde", "relx": "1.0", "rely": "0.0", "x": "633.3333333333338", "y": "278.66666666666686"}]	-1	0	solid	1	12316
3	5	E	B	ff0000				arrow	0.5	1		c5997		a21	fac		interaction	[{"graphref": "a21", "relx": "0.5", "rely": "-1.0", "x": "475.6666666666669", "y": "674.6666666666669"}, {"arrowhead": "Arrow", "graphref": "fac", "relx": "0.5", "rely": "1.0", "x": "467.4999999999998", "y": "504.33333333333326"}]	0.5	-1	solid	1	12318
1	4	A	A	ff0000				arrow	-1	0		d247b		f2e	cbb	Broken	interaction	[{"graphref": "f2e", "relx": "1.0", "rely": "0.0", "x": "963.3333333333334", "y": "215.33333333333331"}, {"arrowhead": "Arrow", "graphref": "cbb", "relx": "-1.0", "rely": "0.0", "x": "1044.0", "y": "216.0"}]	1	0	dashed	1	12320
3	3	D	E	ff0000				arrow	0.5	-1		ead64		cbb	cd5		interaction	[{"graphref": "cbb", "relx": "-0.5", "rely": "1.0", "x": "1059.0", "y": "226.0"}, {"arrowhead": "Arrow", "graphref": "cd5", "relx": "0.5", "rely": "-1.0", "x": "1005.0", "y": "303.3333333333333"}]	-0.5	1	solid	1	12322
2	3	B	D					arrow	0	-1		e976f		d5d	bd8		interaction	[{"graphref": "d5d", "relx": "0.0", "rely": "1.0", "x": "1250.8973727595687", "y": "336.6666666666667"}, {"arrowhead": "Arrow", "graphref": "bd8", "relx": "0.0", "rely": "-1.0", "x": "1250.8973727595687", "y": "366.6666666666667"}]	0	1	solid	1	12324
1	5	D	D	ff0000				arrow	0	-1		d9f4f		c3d	a6d06		interaction	[{"graphref": "c3d", "relx": "0.0", "rely": "1.0", "x": "630.0000000000005", "y": "349.33333333333326"}, {"arrowhead": "Arrow", "graphref": "a6d06", "relx": "0.0", "rely": "-1.0", "x": "627.3333333333314", "y": "387.16666666666674"}]	0	1	solid	1	12326
1	4	A	D	ff0000				arrow	-1	0		a9925		a5f	f78		interaction	[{"graphref": "a5f", "relx": "1.0", "rely": "0.0", "x": "697.3333333333334", "y": "685.3333333333334"}, {"arrowhead": "Arrow", "graphref": "f78", "relx": "-1.0", "rely": "0.0", "x": "758.6666666666667", "y": "686.3333333333334"}]	1	0	solid	1	12328
3	1	B	B	0000ff				square	-1	0		a147d		a904c	ba6		interaction	[{"graphref": "dce7b", "relx": "0.5", "rely": "-1.0", "x": "899.6666666666669", "y": "387.33333333333326"}, {"arrowhead": "TBar", "graphref": "ba6", "relx": "-1.0", "rely": "0.0", "x": "960.0", "y": "336.6666666666667"}]	0.5	-1	solid	1	12330
1	1	E	E	ff0000				square	0	-1		efd5f		c02	c2232		interaction	[{"graphref": "c02", "relx": "0.0", "rely": "1.0", "x": "395.33333333333337", "y": "273.3333333333333"}, {"arrowhead": "TBar", "graphref": "f3348", "relx": "0.0", "rely": "-1.0", "x": "395.33333333333337", "y": "324.3333333333333"}]	0	1	solid	1	12332
3	2	C	B	ff0000				arrow	-0.5	-1		a89cc		b09	e0e2c		interaction	[{"graphref": "b09", "relx": "0.0", "rely": "1.0", "x": "110.0", "y": "113.33333333333333"}, {"arrowhead": "Arrow", "graphref": "b742d", "relx": "-0.5", "rely": "-1.0", "x": "119.11996154276343", "y": "151.71337179056988"}]	0	1	solid	1	12334
1	5	D	B	0000ff					-1	-0.5		e0d80		dbe72	ffcf1		interaction	[{"graphref": "f02c5", "relx": "1.0", "rely": "-0.5", "x": "126.33333333333333", "y": "279.3333333333333"}, {"graphref": "b4dc4", "relx": "-1.0", "rely": "-0.5", "x": "154.33333333333334", "y": "279.3333333333333"}]	1	-0.5	solid	1	12336
3	1	B	D	0000ff	Elbow		[[880.7, 387.3], [880.7, 374.7], [786.7, 374.7], [786.7, 353.3]]	square	0	1		f03ff		a904c	d80		interaction	[{"graphref": "dce7b", "relx": "0.0", "rely": "-1.0", "x": "880.6666666666669", "y": "387.33333333333326"}, {"x": "833.6666666666667", "y": "374.6666666666667"}, {"arrowhead": "TBar", "graphref": "d80", "relx": "0.0", "rely": "1.0", "x": "786.6666666666666", "y": "353.3333333333333"}]	0	-1	solid	1	12338
2	5	E	B	ff0000				arrow	-1	0		ca4dd		f44cf	eed		interaction	[{"graphref": "ef1a2", "relx": "1.0", "rely": "-0.5", "x": "545.3333333333333", "y": "154.6666666666666"}, {"arrowhead": "Arrow", "graphref": "eed", "relx": "-1.0", "rely": "0.0", "x": "796.6666666666666", "y": "243.3333333333333"}]	1	-0.5	solid	1	12340
1	3	C	D	ff0000				arrow	0	-1		d88b2		d71	a6d06		interaction	[{"graphref": "d71", "relx": "0.0", "rely": "1.0", "x": "474.00000000000006", "y": "334.6666666666667"}, {"arrowhead": "Arrow", "graphref": "a6d06", "relx": "0.0", "rely": "-1.0", "x": "627.3333333333314", "y": "387.16666666666674"}]	0	1	solid	1	12342
1	4	C	A					arrow	0	-1		e2fdd		d2c	f13		interaction	[{"graphref": "d2c", "relx": "0.0", "rely": "1.0", "x": "1250.897372759569", "y": "226.66666666666666"}, {"arrowhead": "Arrow", "graphref": "f13", "relx": "0.0", "rely": "-1.0", "x": "1250.8973727595685", "y": "266.0"}]	0	1	solid	1	12344
1	5	E	D					arrow	-0.5	-1		a3dc6		d43	a9e		interaction	[{"graphref": "d43", "relx": "0.0", "rely": "1.0", "x": "280.0", "y": "435.3333333333333"}, {"arrowhead": "Arrow", "graphref": "a9e", "relx": "-0.5", "rely": "-1.0", "x": "355.0", "y": "700.0"}]	0	1	solid	1	12346
1	4	E	D					arrow	0	-1		b648d		f13	d5d		interaction	[{"graphref": "f13", "relx": "0.0", "rely": "1.0", "x": "1250.8973727595685", "y": "286.0"}, {"arrowhead": "Arrow", "graphref": "d5d", "relx": "0.0", "rely": "-1.0", "x": "1250.8973727595687", "y": "316.6666666666667"}]	0	1	solid	1	12348
3	1	C	A	ff0000				arrow	0	-1		e9678		fac	a6d06		interaction	[{"graphref": "fac", "relx": "1.0", "rely": "0.0", "x": "478.33333333333303", "y": "494.33333333333326"}, {"arrowhead": "Arrow", "graphref": "a6d06", "relx": "0.0", "rely": "-1.0", "x": "627.3333333333314", "y": "387.16666666666674"}]	1	0	solid	1	12350
2	5	C	D					arrow	0	-1		a7094		e0e2c	ffcf1		interaction	[{"graphref": "b742d", "relx": "0.0", "rely": "1.0", "x": "195.9532948760968", "y": "235.71337179056988"}, {"arrowhead": "Arrow", "graphref": "b4dc4", "relx": "0.0", "rely": "-1.0", "x": "192.33333333333334", "y": "260.0"}]	0	1	solid	1	12352
