Row No	Audited	Checksum Changed	CreationTime	Detected Date (LCT)	Detected Time (LCT)	Detected Date (UTC)	Detected Time (UTC)	Eof	FileCode	FileKind	FileName	FileType	GuardianFile	HashAlgorithm	HashValue	Host	Id	LastModified	Licensed	OpenTime	OwnerGroupId	OwnerUserId	ProgId	Security	Subvolume	Type	Virtual	Volume	Who
1	N	N	19:30.6	3/23/20	7:40	3/23/20	15:40	"1,083,392"	100	ENS	BATCHCOM	U	$SYSTEM.SYSTEM.BATCHCOM			\EST1983	"13,257"	45:50.6	N	00:03.6	255	255	N	NUNU	SYSTEM	Added	N	$SYSTEM	SUPPORT.HFELDMAN
2	N	N	17:44.0	8/3/20	7:38	8/3/20	15:38	"2,065,408"	540	ENS	USERID	K	$SYSTEM.SYSTEM.USERID			\GALAXY	"170,474"	35:48.4	N	38:03.4	255	255	N	----	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
3	N	N	17:44.3	8/3/20	7:38	8/3/20	15:38	"585,728"	540	ENS	USERIDAK	K	$SYSTEM.SYSTEM.USERIDAK			\GALAXY	"170,475"	09:13.6	N	38:03.4	255	255	N	----	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
4	N	N	50:02.8	8/3/20	7:38	8/3/20	15:38	"2,048"	843	ENS	ZZEVCONF	E	$SYSTEM.SYSTEM.ZZEVCONF			\GALAXY	"170,476"	14:10.3	N	14:10.3	255	255	N	NUNU	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
5	N	N	34:04.4	12/21/20	7:38	12/21/20	15:38	"1,296,384"	100	ENS	NETBATCH	U	$SYSTEM.SYSTEM.NETBATCH			\GALAXY	"363,261"	17:14.5	Y	52:03.8	255	255	N	****	SYSTEM	Modified	N	$SYSTEM	SUPER.SUPER
6	N	N	12:06.5	3/23/20	7:40	3/23/20	15:40	"10,219,520"	0	ENS	SQLMSG	K	$SYSTEM.SYSTEM.SQLMSG			\EST1983	"12,843"	31:13.4	N	56:28.4	255	255	N	NUNU	SYSTEM	Added	N	$SYSTEM	QA.VAN
7	N	N	08:53.3	1/15/21	11:03	1/15/21	19:03	"92,506"	101	ENS	OSACL	U	$SYSTEM.XYGATEOS.OSACL			\EST1983	"392,236"	08:53.5	N	08:56.0	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
8	N	N	08:56.0	1/15/21	11:03	1/15/21	19:03	"6,832,128"	0	ENS	OSCONFB	U	$SYSTEM.XYGATEOS.OSCONFB			\EST1983	"392,237"	08:58.1	N	09:24.4	253	1	N	NUCU	XYGATEOS	Modified	N	$SYSTEM	SECURITY.ADMIN
9	N	N	08:55.7	1/15/21	11:03	1/15/21	19:03	"92,012"	101	ENS	OLDACL17	U	$SYSTEM.XYGATEOS.OLDACL17			\EST1983	"392,229"	39:49.5	N	08:55.8	253	1	N	NUCU	XYGATEOS	Added	N	$SYSTEM	twilson
10	N	N	37:29.4	1/15/21	11:03	1/15/21	19:03	"6,733,824"	0	ENS	ZZOS0076	U	$SYSTEM.XYGATEOS.ZZOS0076			\EST1983	"392,231"	37:31.8	N	08:56.3	253	1	N	NONO	XYGATEOS	Added	N	$SYSTEM	twilson
