	Chr	Pos	-log10(pValue)
rs1	1	1	0.038
rs2	1	2	0.028
rs3	1	3	0.543
rs4	1	4	0.08
rs5	1	5	0.192
rs6	1	6	0.284
rs7	1	7	0.132
rs8	1	8	0.87
rs9	1	9	0.182
rs10	1	10	0.151
rs11	1	11	0.339
rs12	1	12	0.143
rs13	1	13	0.029
rs14	1	14	0.592
rs15	1	15	0.335
rs16	1	16	0.026
rs17	1	17	0.009
rs18	1	18	0.93
rs19	1	19	0.323
rs20	1	20	0.251
rs21	1	21	0.043
rs22	1	22	0.857
rs23	1	23	0.004
rs24	1	24	0.023
rs25	1	25	1.083
rs26	1	26	0.288
rs27	1	27	0.408
rs28	1	28	0.042
rs29	1	29	0.349
rs30	1	30	0.077
rs31	1	31	0.132
rs32	1	32	0.09
rs33	1	33	0.411
rs34	1	34	0.164
rs35	1	35	2.403
rs36	1	36	0.079
rs37	1	37	2.134
rs38	1	38	0.682
rs39	1	39	0.042
rs40	1	40	0.213
rs41	1	41	0.42
rs42	1	42	0.36
rs43	1	43	1.426
rs44	1	44	0.011
rs45	1	45	0.364
rs46	1	46	0.018
rs47	1	47	0.051
rs48	1	48	0.193
rs49	1	49	0.012
rs50	1	50	0.208
rs51	1	51	0.476
rs52	1	52	0.459
rs53	1	53	0.399
rs54	1	54	0.105
rs55	1	55	1.409
rs56	1	56	0.125
rs57	1	57	0.169
rs58	1	58	0.766
rs59	1	59	0.583
rs60	1	60	0.288
rs61	1	61	0.17
rs62	1	62	0.007
rs63	1	63	0.119
rs64	1	64	0.246
rs65	1	65	0.07
rs66	1	66	0.722
rs67	1	67	0.566
rs68	1	68	0.081
rs69	1	69	0.159
rs70	1	70	0.618
rs71	1	71	1.366
rs72	1	72	0.852
rs73	1	73	0.664
rs74	1	74	0.319
rs75	1	75	0.704
rs76	1	76	0.143
rs77	1	77	2.103
rs78	1	78	0.425
rs79	1	79	0.288
rs80	1	80	2.803
rs81	1	81	0.235
rs82	1	82	0.801
rs83	1	83	0.444
rs84	1	84	0.19
rs85	1	85	0.11
rs86	1	86	0.248
rs87	1	87	0.631
rs88	1	88	1.045
rs89	1	89	1.067
rs90	1	90	0.515
rs91	1	91	0.175
rs92	1	92	3.621
rs93	1	93	0.68
rs94	1	94	0.03
rs95	1	95	0.033
rs96	1	96	0.134
rs97	1	97	0.477
rs98	1	98	0.288
rs99	1	99	0.128
rs100	1	100	0.208
rs101	1	101	0.203
rs102	1	102	0.663
rs103	1	103	0.664
rs104	1	104	0.41
rs105	1	105	0.025
rs106	1	106	0.016
rs107	1	107	0.13
rs108	1	108	0.134
rs109	1	109	0.271
rs110	1	110	2.643
rs111	1	111	0.215
rs112	1	112	0.077
rs113	1	113	0.124
rs114	1	114	0.344
rs115	1	115	0.271
rs116	1	116	0.269
rs117	1	117	2.859
rs118	1	118	0.448
rs119	1	119	0.213
rs120	1	120	0.081
rs121	1	121	0.447
rs122	1	122	0.386
rs123	1	123	0.241
rs124	1	124	0.229
rs125	1	125	0.142
rs126	1	126	0.403
rs127	1	127	0.036
rs128	1	128	0.016
rs129	1	129	0.631
rs130	1	130	0.139
rs131	1	131	0.044
rs132	1	132	0.219
rs133	1	133	0.199
rs134	1	134	0.028
rs135	1	135	0.07
rs136	1	136	0.236
rs137	1	137	0.085
rs138	1	138	0.944
rs139	1	139	0.116
rs140	1	140	0.205
rs141	1	141	0.828
rs142	1	142	1.095
rs143	1	143	0.333
rs144	1	144	0.108
rs145	1	145	0.134
rs146	1	146	0.087
rs147	1	147	0.769
rs148	1	148	0.024
rs149	1	149	0.532
rs150	1	150	0.826
rs151	1	151	0.143
rs152	1	152	0.489
rs153	1	153	0.108
rs154	1	154	0.404
rs155	1	155	0.168
rs156	1	156	0.11
rs157	1	157	0.726
rs158	1	158	1.536
rs159	1	159	0.867
rs160	1	160	0.167
rs161	1	161	0.029
rs162	1	162	0.259
rs163	1	163	0.22
rs164	1	164	0.705
rs165	1	165	0.271
rs166	1	166	0.745
rs167	1	167	0.344
rs168	1	168	0.498
rs169	1	169	0.934
rs170	1	170	0.73
rs171	1	171	0.136
rs172	1	172	0.385
rs173	1	173	0.382
rs174	1	174	0.318
rs175	1	175	0.369
rs176	1	176	0.864
rs177	1	177	0.083
rs178	1	178	0.227
rs179	1	179	0.099
rs180	1	180	0.114
rs181	1	181	0.037
rs182	1	182	0.064
rs183	1	183	0.498
rs184	1	184	0.586
rs185	1	185	0.129
rs186	1	186	0.126
rs187	1	187	0.037
rs188	1	188	0.1
rs189	1	189	0.875
rs190	1	190	0.54
rs191	1	191	0.71
rs192	1	192	0.105
rs193	1	193	0.889
rs194	1	194	0.889
rs195	1	195	1.141
rs196	1	196	1.274
rs197	1	197	0.274
rs198	1	198	0.949
rs199	1	199	0.128
rs200	1	200	0.135
rs201	1	201	0.052
rs202	1	202	0.286
rs203	1	203	0.069
rs204	1	204	0.353
rs205	1	205	0.801
rs206	1	206	0.354
rs207	1	207	0.014
rs208	1	208	0.314
rs209	1	209	0.597
rs210	1	210	0.585
rs211	1	211	0.265
rs212	1	212	0.187
rs213	1	213	0.473
rs214	1	214	1.215
rs215	1	215	0.345
rs216	1	216	0.076
rs217	1	217	0.24
rs218	1	218	0.451
rs219	1	219	0.261
rs220	1	220	0.049
rs221	1	221	0.309
rs222	1	222	0.765
rs223	1	223	0.265
rs224	1	224	0.017
rs225	1	225	0.503
rs226	1	226	0.085
rs227	1	227	0.512
rs228	1	228	0.731
rs229	1	229	1.315
rs230	1	230	0.609
rs231	1	231	0.454
rs232	1	232	0.798
rs233	1	233	0.516
rs234	1	234	1.755
rs235	1	235	0.001
rs236	1	236	0.094
rs237	1	237	1.062
rs238	1	238	0.06
rs239	1	239	0.256
rs240	1	240	0.375
rs241	1	241	1.169
rs242	1	242	0.25
rs243	1	243	1.15
rs244	1	244	0.674
rs245	1	245	0.259
rs246	1	246	0.316
rs247	1	247	0.797
rs248	1	248	0.825
rs249	1	249	0.301
rs250	1	250	0.026
rs251	1	251	0.475
rs252	1	252	0.724
rs253	1	253	0.569
rs254	1	254	0.275
rs255	1	255	1.668
rs256	1	256	0.097
rs257	1	257	0.957
rs258	1	258	0.267
rs259	1	259	0.243
rs260	1	260	0.208
rs261	1	261	0.145
rs262	1	262	0.909
rs263	1	263	0.507
rs264	1	264	0.024
rs265	1	265	0.301
rs266	1	266	0.868
rs267	1	267	0.06
rs268	1	268	0.688
rs269	1	269	0.033
rs270	1	270	0.052
rs271	1	271	0.865
rs272	1	272	0.104
rs273	1	273	0.343
rs274	1	274	0.867
rs275	1	275	0.052
rs276	1	276	0.472
rs277	1	277	0.495
rs278	1	278	0.393
rs279	1	279	0.319
rs280	1	280	0.434
rs281	1	281	0.331
rs282	1	282	1.301
rs283	1	283	0.727
rs284	1	284	0.007
rs285	1	285	0.483
rs286	1	286	0.767
rs287	1	287	0.311
rs288	1	288	1.728
rs289	1	289	0.469
rs290	1	290	1.527
rs291	1	291	0.061
rs292	1	292	0.135
rs293	1	293	0.501
rs294	1	294	0.412
rs295	1	295	0.478
rs296	1	296	1.046
rs297	1	297	0.12
rs298	1	298	0.219
rs299	1	299	0.837
rs300	1	300	1.487
rs301	1	301	0.315
rs302	1	302	0.352
rs303	1	303	1.219
rs304	1	304	0.484
rs305	1	305	0.056
rs306	1	306	0.031
rs307	1	307	0.406
rs308	1	308	0.799
rs309	1	309	0.494
rs310	1	310	0.512
rs311	1	311	0.967
rs312	1	312	0.009
rs313	1	313	0.303
rs314	1	314	1.031
rs315	1	315	0.674
rs316	1	316	0.031
rs317	1	317	0.527
rs318	1	318	0.184
rs319	1	319	0.045
rs320	1	320	0.004
rs321	1	321	0.366
rs322	1	322	0.404
rs323	1	323	0.847
rs324	1	324	0.553
rs325	1	325	0.248
rs326	1	326	0.029
rs327	1	327	0.445
rs328	1	328	0.074
rs329	1	329	0.141
rs330	1	330	0.124
rs331	1	331	0.034
rs332	1	332	2.623
rs333	1	333	0.794
rs334	1	334	0.398
rs335	1	335	0.17
rs336	1	336	0.318
rs337	1	337	0.272
rs338	1	338	0.499
rs339	1	339	0.088
rs340	1	340	0.534
rs341	1	341	0.388
rs342	1	342	1.041
rs343	1	343	0.097
rs344	1	344	0.443
rs345	1	345	1.392
rs346	1	346	1.386
rs347	1	347	0.02
rs348	1	348	0.427
rs349	1	349	0.093
rs350	1	350	0.04
rs351	1	351	0.356
rs352	1	352	0.239
rs353	1	353	1.132
rs354	1	354	0.783
rs355	1	355	0.13
rs356	1	356	0.322
rs357	1	357	0.163
rs358	1	358	0.021
rs359	1	359	0.303
rs360	1	360	0.327
rs361	1	361	0.251
rs362	1	362	0.185
rs363	1	363	0.553
rs364	1	364	0.008
rs365	1	365	0.191
rs366	1	366	0.234
rs367	1	367	0.21
rs368	1	368	0.033
rs369	1	369	0.408
rs370	1	370	0.54
rs371	1	371	1.042
rs372	1	372	0.492
rs373	1	373	0.12
rs374	1	374	0.981
rs375	1	375	0.148
rs376	1	376	0.014
rs377	1	377	0.695
rs378	1	378	0.964
rs379	1	379	1.256
rs380	1	380	0.081
rs381	1	381	0.235
rs382	1	382	0.327
rs383	1	383	0.437
rs384	1	384	0.552
rs385	1	385	0.222
rs386	1	386	0.086
rs387	1	387	1.009
rs388	1	388	0.016
rs389	1	389	0.772
rs390	1	390	1.065
rs391	1	391	0.064
rs392	1	392	0.28
rs393	1	393	0.182
rs394	1	394	0.639
rs395	1	395	0.141
rs396	1	396	0.309
rs397	1	397	0.015
rs398	1	398	0.042
rs399	1	399	0.258
rs400	1	400	1.121
rs401	1	401	1.643
rs402	1	402	0.289
rs403	1	403	0.2
rs404	1	404	0.378
rs405	1	405	0.055
rs406	1	406	0.966
rs407	1	407	0.008
rs408	1	408	0.576
rs409	1	409	1.074
rs410	1	410	0.413
rs411	1	411	0.903
rs412	1	412	0.235
rs413	1	413	0.619
rs414	1	414	0.141
rs415	1	415	0.835
rs416	1	416	0.815
rs417	1	417	0.586
rs418	1	418	0.109
rs419	1	419	0.37
rs420	1	420	1.221
rs421	1	421	0.939
rs422	1	422	0.316
rs423	1	423	0.009
rs424	1	424	0.09
rs425	1	425	0.265
rs426	1	426	1.14
rs427	1	427	0.331
rs428	1	428	0.468
rs429	1	429	0.161
rs430	1	430	0.288
rs431	1	431	0.288
rs432	1	432	0.263
rs433	1	433	0.349
rs434	1	434	1.076
rs435	1	435	0.031
rs436	1	436	1.783
rs437	1	437	0.382
rs438	1	438	0.644
rs439	1	439	1.001
rs440	1	440	0.316
rs441	1	441	0.187
rs442	1	442	0.035
rs443	1	443	0.44
rs444	1	444	0.067
rs445	1	445	0.521
rs446	1	446	0.331
rs447	1	447	0.845
rs448	1	448	0.092
rs449	1	449	0.176
rs450	1	450	1.208
rs451	1	451	0.365
rs452	1	452	0.401
rs453	1	453	0.156
rs454	1	454	0.18
rs455	1	455	0.39
rs456	1	456	0.512
rs457	1	457	0.593
rs458	1	458	0.172
rs459	1	459	0.048
rs460	1	460	0.072
rs461	1	461	0.405
rs462	1	462	1.102
rs463	1	463	0.081
rs464	1	464	1.137
rs465	1	465	0.94
rs466	1	466	0.193
rs467	1	467	0.494
rs468	1	468	0.724
rs469	1	469	0.404
rs470	1	470	0.064
rs471	1	471	0.458
rs472	1	472	2.843
rs473	1	473	0.04
rs474	1	474	0.021
rs475	1	475	0.308
rs476	1	476	0.333
rs477	1	477	0.224
rs478	1	478	0.042
rs479	1	479	0.761
rs480	1	480	0.104
rs481	1	481	0.632
rs482	1	482	0.238
rs483	1	483	0.075
rs484	1	484	0.878
rs485	1	485	0.047
rs486	1	486	0.346
rs487	1	487	0.048
rs488	1	488	0.604
rs489	1	489	1.077
rs490	1	490	1.312
rs491	1	491	0.008
rs492	1	492	0.315
rs493	1	493	0.072
rs494	1	494	0.38
rs495	1	495	0.31
rs496	1	496	0.736
rs497	1	497	0.119
